,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X000568.SZ,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X300124.SZ,X000651.SZ,X600104.SH,X300014.SZ,X002129.SZ,X003816.SZ,X000725.SZ,X600031.SH,X000596.SZ,X002371.SZ,X000625.SZ,X002049.SZ,X000063.SZ,X002179.SZ,X000338.SZ,X600089.SH,X600703.SH,X002180.SZ,X300142.SZ,X000661.SZ,X002241.SZ,X000733.SZ,X601877.SH,X600522.SH,X000100.SZ,X600741.SH,X002074.SZ,X600460.SH,X000157.SZ,X600702.SH,X600584.SH,X300003.SZ,X600884.SH,X600487.SH,X002414.SZ,X002294.SZ,X000066.SZ,X000799.SZ,X002007.SZ,X600563.SH,X002236.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00459022462007928,0.158101879891777,0,0.256228857688682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.131230300051312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735171502852489,0,0,0,0,-0.00259824367846909,0,0,0,0,0,0,0
X000858.SZ,0,0,0.00838670049825494,0,0.354501525373827,0,0,0,0.208975716823142,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.122352217721771,0,0,0,0,-0.0160658360062022,0,0,0,1.73472347597681e-18,0,0.0367066630950466,0,-0.016321990514443,0,0,0,0,0,0,0
X600809.SH,0.15809697534581,0,0,0,0.564095425124641,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.153439956743742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0496907079352838,0,0.119805302979134,0,0,0,0,0,0,0,0,0,0,0,0,-0.00414446933717785,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112171245066749,0,0.0175864705660091,0,0.01816257217767,0,0,0,0.108678536884078,0,0,0,0.0928537457820063,0,0,0,0,0,0,0,0,0,0,0,0.108732864025653,0,0.0386164836601997,0.176804069067952,0.103666496893664,0.0396193257866958,0,0,0.0124480335265858,0,-0.00709926196801009,-0.0317301494465046,0,0,0,0,0,0
X000568.SZ,0.405990232836543,0.0911956245347698,0.535168471123915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0564624956656061,0,0,0,0,0,0,0,0,0,0,0,0,-0.00810394062305709,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0128260169079728,0,0,0,0,0,0,0,0,-0.0584294965470805,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.138012630592394,0,-0.173072433151349,0,0.074708502698934,0,0,0.0778665524459088,0,0.0371673269385221,0,-0.00507255794228037,0,0,0,0,0,0,0
X600690.SH,0.123497034753069,0,0,0,0.231930067827145,0,0,0,0,0,0.100366736282579,0,0,0.084343614284048,0,0,0,0,0,0,0,0,0,0,0,0.00565137335203045,-0.0360865849191342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.016190761269483,0,0,0,0,-0.0296665477856444,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0.195234780368484,0,0,0.0118970948275211,0,0,0,0,0,0,0,0,0,-0.0904895045349375,0,0,0,0,0,0,0.355253887784747,0,0,0,0,0,0,0,0,0.135421790516669,0,0,0,0,0,0.00698447194427623,0,0,0,0,0,0,-0.00808836320407043,0.0069093403202442,0,0,0,0,0,0
X002304.SZ,0.206834681291681,0.150277044042306,0,0,0,0,0,0.0688736598436175,0,0,0,0,-0.0321514118640952,0,0,0,0,0.00687437762498005,0,0.0537494533728974,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0574453567374163,0.107963708698171,0,0,0.178513782352576,0,0,0,0,-0.197996007613835,0,0,0,0,0,0,0,-0.00160003343064223,-0.0572150797362873,0,0,0,0,0,0
X300124.SZ,0,0,-0.0775030594356625,0,0,0,0,0.223602081632224,0,0,0,0,0.0408363135527513,0,0,0,0,0,-0.117777464352756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.251279285510341,0,0,0,0,0,0,0,0.0627349121679725,0,0,0,0,0,0,0,0.0125434776557503,0,0,0,0,0,0,0
