,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X000651.SZ,X300124.SZ,X000063.SZ,X600104.SH,X003816.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X000625.SZ,X600031.SH,X000338.SZ,X300014.SZ,X002129.SZ,X002179.SZ,X600703.SH,X002049.SZ,X600089.SH,X000100.SZ,X600372.SH,X002236.SZ,X000977.SZ,X600741.SH,X000661.SZ,X600584.SH,X000157.SZ,X601877.SH,X002241.SZ,X600522.SH,X600702.SH,X000733.SZ,X002074.SZ,X002180.SZ,X002463.SZ,X000800.SZ,X601799.SH,X300142.SZ,X002028.SZ,X002007.SZ,X000066.SZ,X600487.SH,X300003.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.327025714999554,0.0418985932566815,0,0,0.0203952171653136,0,0,0,0,0,0,0,0,0,0,0,0.0142095158039537,0,0,0,0.0319718389107388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.135070030885697,0,0,0,-0.0575240670234497,0,0,0,0,0,0,0,0,0,-0.0104661164681628,0,0,0,0,0,0,0
X000858.SZ,0.289720083613216,0,0.409635054072346,0,0,0,0,0,0,0.0157487435635092,0,0,0,0,0,0,0,0.050234422186612,0,0,0,0,0,-0.00467556784709777,0,0,0,0,0,-0.0032222037914517,0,0,0,0,0,0,0,0,0,0,0.0122978598157639,0,0,0,0.131037548423633,0,0,0,0,0,0,-0.0151084118945028,0.0541463288661481,0,0,0,0,0,0
X000568.SZ,0,0.447367508886754,0,0,0,0,0,0,0,0,-0.0504760507542379,-0.0149701665048882,0,0,0,0.331069066978965,0,0,0,0,0,0,0,0,0,0,0,0,-0.0349225779365156,0,0,0,0,0,0,0,0,0.160999316355503,0,0,0,0,0,0,0,0,0,0,0.0272879844973854,0,0,0.0398879355967751,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.252787359526806,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.193792160713628,0,0,0,0,0.345305073430537,0,0,0,0,0,0,0,-0.206969538267835,0,0,0,0.0397754246887796,0,0,-0.00518060366918125,0,0,-0.0601586832272963,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.0165992142130494,0,0,-0.0241762466094601,0,0,0,0,-0.118350289123379,0,0,0,0,0,0.0480844412606864,0.122969011042789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311214013960217,0,0,0,0,0,0,0,0,0,0,0.0717312042586923,0,0,0.0541026599350067,0.0251505257675989,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0.144778003959564,0,0,0,0,-0.0695465878499945,0,0,0,0,0,0,-0.364437742407035,0,0,0,0,-0.131355919822923,0.0571618490072924,0,0.289821586108702,0,0,0,0,0.0667987574728486,0,0,0,0,-0.0961075263026261,0,0,0,0,0,0,0,0,0,-0.0195383458975951,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0590594619442519,0,0,0,0,0,0,0.0391606820126755,0,0,0,0.128788243099589,0.0497779746858949,0,0,0.0527763508978712,0,0,0.157438558391185,0,0,0,0,0,0.0201949922483501,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.147808210130126,0,0,0,0,0,0,0,0.0603674412853265,0,0,0,0,0,0,0.015737101090117,-3.46944695195361e-18,0.0691600770135743,0,0.0212028421882583,0.13205590291544,0,0,0,0,0,0,0,0.0216041492097303,0,0,0,0,0,0,0,0.00697770913667585,0,0,0,0,0,0,0.0105380457601096,0,0,0,-0.00572000308878187,0,0,0,0.0179440331525662,0,0,0,0,0,0
X002304.SZ,0,0.319386363943299,0.216253832553225,0,0.0504151123628496,0,0,0,0,0,0.038365788780362,0,0,0,0,0,0,0.0576284216705761,0,0,0,0,0,0,0,0,0,0,0.00248303002792247,0.0259750220695299,0,0,0,0,0,0,0,0.0118795530429544,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00198936999577067,0,-0.0114424837756791,0,0,0,0,0
X000651.SZ,0.147313804604956,0.0658434142733309,0,0,0,0,0,0.163882154291251,0,0,0,0,0,0,0,0,0,0.0516532942005895,0,0,0,0.0484931494793397,0,-1.73472347597681e-18,0,0,0,0,-0.0524306794881315,-0.0424414224274285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
