,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X000661.SZ,X002304.SZ,X000063.SZ,X600031.SH,X000725.SZ,X000568.SZ,X003816.SZ,X600809.SH,X600690.SH,X002241.SZ,X000338.SZ,X300142.SZ,X600703.SH,X002007.SZ,X002371.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X300124.SZ,X002049.SZ,X600584.SH,X300003.SZ,X600741.SH,X002129.SZ,X002414.SZ,X601877.SH,X000157.SZ,X600183.SH,X000800.SZ,X002236.SZ,X000066.SZ,X300136.SZ,X000977.SZ,X002456.SZ,X000625.SZ,X002179.SZ,X600118.SH,X002185.SZ,X002008.SZ,X002463.SZ,X002180.SZ,X601799.SH,X000021.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.237040180273553,0,0.0372462696940559,0,0,0,0,0,0,0,0,0.0795638301886593,0,0,0,0.0165754404308261,0,0,0.000976895513362895,0,0,0.0519229345753859,0,0,0,0.0466457643650553,0.0190600873672032,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00248666744276376,-0.00254298989904554,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.117353253776113,0,0,0,0.19209871617031,0,0.21728989072232,0,0.105347803718609,0,0.00601114216861716,0,0,0,0.021845417241165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.0316394937585014,0,0,0,0,0,0.230730490531021,0.0374072674295753,0,0,0,0,0,0,0,0.0616113340306788,0,0,0,0,0.00508378263020711,0,0,0,0,0.0588007415108091,0,0,0,0.0103414435301017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00972177900613759,-0.00701703718955849,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.311024207489914,0,0,0,0.0497409249096462,0,0.0636379047637189,0,0,0,0.0368032449651333,0.0779408060631869,0,0,0.0172507428906844,0,0,0,0,0,0,0,0.0965594543913612,0,0.0724141620156145,0,0,0,0.0027113856436426,0,0,0,0,0,0,-0.0017000887356833,-0.0256504815250344,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.110871859862791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0456005781283117,0,0,0,0,0,0,0,0,0,0.220914948329049,0.0514042458053342,0,0.122624324262732,8.67361737988404e-19,0,0,0,0,0.0396925521162113,0,0.028012888409436,0,0,0,-0.00232219062267196,-0.00798233970102195,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0372013113792797,0,0,0.178617175809788,0.070677639104188,0.0103876081728424,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0847187549393927,0,0,0,0,0.0132557534221359,0,0,0,0,0,0.0119944828316729,-0.0167984854079869,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0730920122980086,0,0,0,0,0,0.0388775231272221,0,0,0,0,0,0,0,-0.0911322642345981,0,0,0,0,0,0,0,0,0.00981523538343082,0,0,0.0674382119003302,0.0934459557071554,0.117318795292372,0,0,0,0.130705245937366,0,0,0.0268012331027344,0,0,0,0,0,-0.0306167754059245,-0.0157129784379265,-2.16840434497101e-19,0,0,0,0,0,0
X000661.SZ,0,0,0.112205319262343,0.189659889057576,0,0,0,0,0,0,0,-0.0323609169804708,0,0,0.0558564344281919,0.0441347326826425,0,0,0,0,0.12968098764235,0,0.0306850731294515,0,0,0,0,0,0.118920432045147,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,-0.098664971502011,0,0.0441228007842154,0,0.0101976395169215,-0.0247685637219933,0,0,0,0,0,0
X002304.SZ,0,0.159546885267119,0,0,0,0,0,0,0,0,0,0,0.481235368946149,0,0.0183380612825452,0,0,0,0,0,0,0.0226845569230734,0.108333459340789,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0118355599539431,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0.197958867120166,0,0,0,0.113205366517867,0,0,0,0.0376057775997652,0,0,0,0,0,0,0.0681556375082026,0,0,0,0,0,0,0,0,0,0.0462928920153552,0.0764381796738427,0,0,0,0,0,0,0,0,0,0.0817619131836065,0,0,0,0.00110611847750642,0,0,0,0,0,0,0
