,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X002475.SZ,X000568.SZ,X600741.SH,X601877.SH,X600703.SH,X600271.SH,X000100.SZ,X300003.SZ,X300124.SZ,X002236.SZ,X600498.SH,X600487.SH,X000625.SZ,X002008.SZ,X600809.SH,X000661.SZ,X300142.SZ,X600867.SH,X002007.SZ,X000157.SZ,X002179.SZ,X000596.SZ,X600066.SH,X600089.SH,X600177.SH,X600522.SH,X002506.SZ,X002456.SZ,X300146.SZ,X600566.SH,X002180.SZ,X600372.SH,X002241.SZ,X600699.SH,X600118.SH,X300136.SZ,X600183.SH,X002294.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.42582214179595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0321622776626802,0,0,0,0,0,0,0,0,0,0.457002963218461,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.095859675983708,0,0,0,0,0,0,0,0,0,0,0.0202619934191439,0,0.136404325625337,0.110566236577741,0,0,0,0.0385803151715902,0,0,-0.12840346660296,0,0,0,0,0,0,0,0,0,0,0,0.372647856152059,0,0,0,0,0,0,0,0,0,-0.0191292466824047,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.734180159913432,0,0,0,0.0549187211533056,0,0,-0.0460829083220798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.141889408814184,0,-0.0133868137040158,0.00287160240886537,0,0,0,0,0,0
X000651.SZ,0.268515258746517,0,0,0,0,0.0305744038329689,0,0,0,0,0,0,0,0,0.0710550086864584,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0509570480829649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.188378410906549,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.12795195424723,0,0.143523733506077,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.321855047920203,0,0,0,0,0,0,0,0.0589080571699836,0.0738793081791249,0,0,0,0,0,0,0,0,0,0,0,0.00340877914280907,0,0,0,0,0,0.00435187010869114,0,0,0.170170800738892,-0.0515623458921244,0.00646285693457138,0.039275992804279,0,0,0,0,0,0
X000858.SZ,0.204460664069294,0,0,0,0,0,0.331327507961398,0,0.0218567697320417,0,0,0,0.0479303871283841,0,0,0,0,0,0,0,0,0,0.0348677343760157,0,0,0,0.113424167630876,0,0,0,0.00164565237440446,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00918482009267836,0.0283281559954953,0,0,0,0,0,0
X002304.SZ,0.0178080699959288,0,0,0,0,0,0,0,0,0,0,0,0,0.505071816965796,0,0,0,0,0,0,0,0,0,0,0,0,0.1060190198377,0,-0.0139779252010293,0,0,0,0,0.379612156342555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00237227360503398,0.0197985738472677,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.13457477638712,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0442539373124773,0.0973363892839983,0,0.020768740536979,0,0,0,0,0,0,0,0,0,0,0,0,0.0340399834879787,0,0,0,0,0,0,0,0.00913632699729719,0,0.00800633348746368,0,-0.00121270750081772,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350876674230494,0,0,0,0,0,0,0.104693352762903,0,0,0,0,0,0.0991385494312783,0,0,0,0,0,0,0.20863325896173,0.0364503849627276,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00397855845278496,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0131376734860624,0,0,0,0,0,0,0,0,0,0.581584782278702,0.0912454175422052,0,0,0,0,0.102915218404875,0,0,0,0,0,0,0,0,0.0249521356027983,0,0,0,0,0,0,0,0,0,0.109129410563743,0.0365170029675178,0,0,0,0,0,0,0,0.0301156140080909,0,0
X600031.SH,0,0,0.204067348705925,0,0,0,0,0,0,0,0,0,0,0,0.000760555155098429,0,0,0,0,0,0,0,0,0,0,0,0.0442145248840722,0,0,0,0.159165896996417,0.0685761894790857,0,0.0489621985563042,0,0,0,0,0,0,0,0.0252286630365903,0,0.0182909018636121,0,0,0,0,0,0,0,-0.0069025028711207,0,0,0,0,0,0,0
X000338.SZ,0,0.0172837766695343,0,0,0,0,0,0.0787498416556848,0.000990666765237711,0,0,0,0,0,0,0,0,0,0,0,0.0393270588028888,-4.33680868994202e-19,0,0,0.053500816089057,0,0.0835902507537361,0,0.0793449985143912,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00234322470404374,-4.33680868994202e-19,0,0,0,0,0,0
X002475.SZ,0.173707136884006,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.537076617381294,0.01625790445345,0,0,0,0,0,0,0.12775609388647,0,0,0,-0.016846098584489,0.0844045141641724,0,0,0,0,0,0
X000568.SZ,0.0483672202259162,0,0,0,0.059090685074308,0,0.186032070973259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.355645801926533,0,0,0.0577148626836615,0.100008011577989,0,0,0,0,0,0,0,0,0,0.126864763815863,0,0,0,0,0,0,0,0,0,0,-0.0253837911305987,0.0419714891329788,0,0,0,0,0,0
X600741.SH,0,0,1.73472347597681e-18,0.143305207039427,0,0,0.071577457169903,0,0,0,0,0,0,0,0,0,0,0.0612669179262279,0,0,0.0595158587187295,0,0,0,0,0,0.0850521586057651,0,0,0,0,0,0,0,0.206388791145237,0,0,0,0,0.114439062805383,0,0,0,0,0,0,0,0,0,0,0,-0.0174508123211419,0.0456603608742461,0,0,0,0,0,0
X601877.SH,0,0,0,0,0,0,0,0,0.067585269817109,0.0751232294679441,0,0,0,0,0,0,0,0,0.0285144371667882,0.00454375060993059,0,0.057655093442584,0,0,0.061123147152765,0,0,0.0211138357868675,0.0802928139607395,0,0,0,0,0,0,0,0,0,0,0,0,0.0298323488473231,0.0483970703073188,0,0,0.0972058209341956,0,0,0,0,0,0.00412336846593487,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0,0,0,0.00469561436272671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.168419715234677,0,0,0.21066863993348,0,0,0,0,0,0,0,0,0,0,0,0,0,0.145340296809357,0,0,0.142685046284693,0,0,0,0.126473343437673,0,0,0,0.0140056341393264,-0.00389951256073019,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.147420762235074,0,0,0,0,0,0,0.312559733243249,0,0,0,0,0.246540602675471,0,0,0,0.0709370815142731,0,0.0921246279742224,0,0,0,0,0,0,0,0,0,0,0,0,0.051846095205988,0,0,0.0337743615038483,-0.0168256407405982,-0.0457068390879698,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0659282231464946,0,0,0.206438781614187,0,0,0,0.0693814375175322,0,0,0,0,0,0,0,0,0,0,0.0224001117301039,0,0,0.0707034217429204,0,0,0,0.372777179762122,0,0,0,0,0.000506855352785215,0,0,0,0,0,0,0
X300003.SZ,0,0,0,0,0.493561757607938,0,0,0,0,0,0,0,0.00722936956743236,0,0,0,0,0,0,0,0.0484659474613605,0,0,0,0,0,0,0,0,0,0.0923357176481953,0,0,0,0,0,0,0,0,0,0,0.324376779120831,0,0,0,0,0,0,0,0,0,0.0345297033244331,-0.100708795934987,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0,0,0,0.254706323877699,0,0,0,0,0,0,0,0,0,0,0,0,1.38777878078145e-17,0,0,0.579329793105604,0,0,0,0.0248335364356823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00398981785251494,0,0,0,0,0,0,0
X002236.SZ,0,0,0.547295938118406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.12821589291956,0.043912138000951,0,0,0,0,0.172868543933431,0,0.00891264640696884,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0517233842970248,0,0,0,-0.00569692523502677,0,0,0,0,0,0,0
