,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X300014.SZ,X600104.SH,X000651.SZ,X600031.SH,X000725.SZ,X002241.SZ,X002371.SZ,X300124.SZ,X600703.SH,X000338.SZ,X000063.SZ,X003816.SZ,X000596.SZ,X002049.SZ,X000625.SZ,X002129.SZ,X000661.SZ,X601877.SH,X002179.SZ,X002074.SZ,X300142.SZ,X000100.SZ,X600460.SH,X600089.SH,X600741.SH,X600702.SH,X000799.SZ,X002236.SZ,X600779.SH,X000157.SZ,X601799.SH,X600522.SH,X002414.SZ,X002180.SZ,X600884.SH,X000733.SZ,X600584.SH,X600183.SH,X002007.SZ,X002008.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.518673574818793,0,0,0.0529451830940778,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0379470985375819,0,0,0,0,0.0181399176838468,0,0,0,0,0,0,0,0.0355948635747301,0.0300453750669128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,-0.00160676922460597,0,0
X000858.SZ,0,0,0,0.375031413671097,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0294178281113399,0,0,0,0.274178895653091,0,0,0,0,0,0,0,0,0.0181482158136098,0.0415025288622253,0,0.11504133537846,0,0,0,0,0,0.025010648508199,0,0,0,0,0,0,0,-0.00253191641036096,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,1.73472347597681e-18,0.215098587498881,0,0,0,0,0,0,0,0,0,0,0,-0.0375148079497821,0.0197960530166656,0,0,0,0,0,0,0,0,0,-0.0112662316524368,0,0.0312098462063241,0,0,0,0,0,0,0,0.0225577904167121,0,0,0,0,0,0,0,0,0,0,0.0035942446164082,0,0,0,0,0,0
X600809.SH,0,0.310445968755636,0,0,0,0,0,0,0,0,0,0,0,0,-0.032252598320076,0,0,0,0,0,0,0,0,0,0,0.166203316174859,0,0,0,0,-0.0339029407247824,0,0,0,0,0.122365192755308,0,0,0,0,0,0,0,0.0549981892543983,0,0,0,0,0,0,0,-0.0586685430673301,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025552566759361,0,0.0711277232381446,0,0,0,0,0.262899800581982,4.33680868994202e-19,0,0,0.236610286923837,0,0,0,0,0,0,0,0,0,0,0,0.168249047634666,0,0,-0.111497705173413,-0.128277147938675,-0.0196601663880936,0,0,0,0,0.0451687334987622,0,0,0,0.00906225473948986,0.0205331491949666,0,0,0,0,0,0
X002475.SZ,0,0.197308436249958,0,0,0,0,0.0828412366952753,0,0,0,0,0,0,0,0.071858091979812,0,0.138834383995662,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.214459214661611,0,0,0,0,0,0.0364143625791412,0,0,0,0.0893353814734614,0,0,0,-0.00314311682761284,4.33680868994202e-19,0,0,0,0,0,0.0127869241220152,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,-0.0798312377892257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208317007928802,0.0150551956107685,0.15015350847405,-0.160325685137937,0,0.0466994372120825,0.137769810315656,0,0,0,0,0,0,0,0,0,0,0,0,-0.105599192872423,0,0,0,0.124741952973582,-0.151144131080302,0,0,1.0842021724855e-19,1.73472347597681e-18,0,0,0,-0.00925288238911734,0,0
X600690.SH,0,0.00608102029089318,0,0,0,0,0,0,0.00515658291859897,0,0,0.0795110211164773,0.0132886453647003,0,0,0,0,0,0,0,-0.0731907075321906,0.0532031703390989,0,0,0,0,0,0,0,0,0.254128705439278,-0.163244843226308,0.0338558838987278,0,-0.00873774960292391,0,0,0,0,0,0,0,0,-0.0433334507608541,0,0,0,0,0,0,0,-0.000986651531932377,0,0,0,0,0,0,0
X002304.SZ,0,0.301279290445823,8.67361737988404e-19,0.193789920671454,0,0,0,0.143360934892836,0,0,0,0,0,0,0,0,0,0,0,0,-0.0930622646198454,0,0,0,0,0,0,0,0,0.0151733839567231,0,0,0,0,0,0,0.0432851493498805,0.100971245100065,0,0,-0.0293112296544428,0,0,0,0,0,0,0,0,0,0,0.0235122485474934,0,0,0,0,0,0,0
X300014.SZ,0,0,-0.155614365599442,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164384092063448,0,0,0,0,0,0,0.0239037744648478,0,0.0959331013246584,0,0,0.234125822280627,0.0124784971372106,0,0,0,0,0,0,-0.0246321790138733,0,0,0,-0.0824060882217195,0,0,0,0,0,0,0,0,0,0,0,0.068179117214633,0,0,0,0,0,0
