,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600276.SH,X600690.SH,X600703.SH,X000063.SZ,X000100.SZ,X600031.SH,X600271.SH,X600118.SH,X000338.SZ,X000157.SZ,X600372.SH,X600741.SH,X002292.SZ,X002236.SZ,X002475.SZ,X600066.SH,X600089.SH,X002241.SZ,X300124.SZ,X600177.SH,X601877.SH,X002129.SZ,X000559.SZ,X002456.SZ,X300003.SZ,X600839.SH,X600582.SH,X000016.SZ,X000568.SZ,X002294.SZ,X002276.SZ,X002223.SZ,X600435.SH,X000550.SZ,X000869.SZ,X002008.SZ,X000623.SZ,X000066.SZ,X600060.SH,X002007.SZ,X000800.SZ,X000581.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.069101282242638,0,0,0.0477721610403216,0.0899270782089212,0,0,0,0,0,0.111721207159241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0666374120324635,0,0,0,0,0,0,0,0,0,0,0,0.0475398814590367,0,0,0,0,0,0,0,0,0,0,0,0.00702935886453271,0,0,0,0,0,0,0
X600104.SH,0.0472385484233969,0,0,0,0.0938411223115063,0.257902517717784,0,0.0128081627637322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184008700865813,0.18061027081379,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0835214513504371,0,0,0,0,0,0,0,0,0,0,0,0,0.00865779470961561,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.143989137460868,0,0,0,0,0,0.153939266783662,0,0,0,0,0.162495492286731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0830957982865256,0.0647133470469977,0,0.0560712732165143,0,0,0,0,0,0,0,0,0.0260004946036014,0,0,0,0.205513556700807,0,0.00733605164478225,-0.00768698674776518,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0197163322017379,0,0.104833742172061,0,0,0,0,0,0,0,0,0,0.0644459349905513,0,0,0.0771971908332428,0,0,0,0,0,0.434552456490165,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0199044076208851,0.0106300179471114,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0242125990249648,0,0,0,0,0,0,0.224958401289887,0,0,0.0587556736739968,0,0,0,0,0,0,0,0,0.0724557970739744,0,0,0,0,0,0,0,0.0472662427927548,0.0190936238435455,0,0,0,0,0.0264648032993313,0,0,0,0,0,0,-0.0145051069692276,0,0,0,0,0,0,0
X002304.SZ,0,0.166081357598304,0,0,0,0,0.3724611115154,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.231431357654412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299646522845013,0,0,0,0,0,0,0.00313169322617195,0,0,0,0,-1.0842021724855e-19,2.16840434497101e-19,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.232040642568622,0,0,0.0731197546827505,0,0,0,0,0.00695435091960799,0,0,0.221609627559108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.463631608776959,0,0,0,0,0,0.0158674045992277,0,0,0,0,0,0,0,0,-0.00876111501610499,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.0777880932075989,0,0.0403237861592954,0,0,0,0.134381669971143,0,0,0,0.0189759570298178,0,0.0745871799747481,0.11705362935957,0,0,0,0,0,0,0,0.0977214206631593,0,0,0,0,0,0.0128077319961144,0,0,0.11381862127996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00243290269369445,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0210914887800928,0,0,0,0,0,0,0,0,0,0,0,0,0.0334331366091155,0,0,0,0.0841914316545697,0,0,0,0.141795459759826,0,0,0,0,0,0.0347129972220299,0,0,0,0,0,0,0.0208021291396991,0,0,0,0,0,0.0391348659243051,0,0,0,0,-0.0163392320556424,0.0140739923957821,0,0,0,0,0,0
X600690.SH,0,0,0,0.282601210625056,0,0.11323970651486,0.0109173615547988,0,0,0,0,0,0,0,0,0,0,0,0,0.0026637346747324,0,0,0,0,0,0,0.0916212350759262,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.161323547082806,0,0,0,0,0,0,0.0826267367247991,0,0,-0.00129008870236595,0.00211104960028213,0,0,0,0,0,0
X600703.SH,0,0,0.112929259735312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0532196598777485,0,0.26234824056845,0,0,0,0,0,0,0.156093651571656,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0230588844672931,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0329666550256648,0.0778160846764853,0,0,0,0,0,0,0,0,0,0.296851435189602,0,0,0.130647786569871,0,0,6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0760953374501976,0,0,0,0,-0.0262235470519888,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.158674368001842,0,0,0,0.154850084851021,0,0.119212269828041,0,0,0,0,0,0,0,0.130491252238367,0,0,0,0,0,0.0814574192568529,0,0,0,0,0,0,0,0.138703260032023,0,0,0,0,0,0,0.0445391912047761,0,0,-0.00679149888029195,0,0,0,0,0,0,0
