,X600519.SH,X000858.SZ,X600809.SH,X000568.SZ,X002415.SZ,X002304.SZ,X600690.SH,X002475.SZ,X600276.SH,X600104.SH,X000651.SZ,X300014.SZ,X000625.SZ,X300124.SZ,X002129.SZ,X600031.SH,X000725.SZ,X002371.SZ,X003816.SZ,X002049.SZ,X000596.SZ,X000063.SZ,X002241.SZ,X000338.SZ,X600703.SH,X002179.SZ,X600089.SH,X000661.SZ,X601877.SH,X600522.SH,X002180.SZ,X002074.SZ,X300142.SZ,X600741.SH,X000733.SZ,X600884.SH,X600460.SH,X000100.SZ,X600702.SH,X000157.SZ,X000799.SZ,X600563.SH,X601799.SH,X002236.SZ,X600584.SH,X002176.SZ,X002414.SZ,X000800.SZ,X002056.SZ,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.269807762175076,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035117740885133,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0665079813980312,0,0,0,0,0,0,0.0503542644268369,0,0,0,0,0,0,0,0,0,0.0051177846992514,0.00193312137063229,0,0,0,0,0,0
X000858.SZ,0,0,0.151411053120827,0.0965791924697615,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0439776800255063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0507303758854836,0,0,0,-0.0179422456268811,0,0,0,0,0,0,-0.00787778753240234,-0.0703963235083785,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0.553419270185011,0.0126863532657495,0,0,0,0,0,0,0,-0.0496328692827739,0,0,0,0,0,0,0,0.0368169093132688,0,0,0,0,0,0,0,0,0,0,0.0578769462922477,0,0,0,0,0.0602221146783943,0,0.0785297178244834,0,0.0506923830566817,0,0,0,0,-0.176695620235923,0,0,0,0,0,0,0,0,0,0,-0.00714707004138541,0,0
X000568.SZ,0,0.0672741395062952,0.129373526167841,0,0,0,0,0.0122903766415578,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0440895565032972,-0.0350862591239808,0,0,0,0,0,0.00767715610649131,0,0,0,0.443784141425619,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0216693963439896,0,0,0,-0.0135038943565962,0,0
X002415.SZ,0,0,0,0,0,0.459559892536707,0,0,0,0,0,0,-0.128617922542031,0,0,0,0,0,0,0,0,0,0,0,0.05689454849782,0,0,0,0,-0.0133044276681626,0,0,0,0,0,0,0,0,0,0,0,0,-0.0111787388204825,0.748857341641652,0,0,0,0,0.036943739492096,0,0,0.144714727718601,0,0,0,0,0.00782101814411377,0,0
X002304.SZ,0,0,0,0.29057084424739,0.0158876868548255,0,0.0144605853158795,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0681027348696967,0,0,0,0.169905079674853,0,0,0.0562003615070054,0,0,0,0,0,0,0,0.0159350982807062,0,0.0162032274092916,0,0,0,0,-0.0192200933575872,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0.47187521626205,-0.0641550016580428,0,0,0,0.0792667496278491,0,0,0,0,0,0.0877305177197344,0.0985085269854534,0,0,0,0,0,-0.0271148194284734,0,0,0,0.199715221491002,0,0,0,0,0,0.0297914810257687,0,0,0,0,0,0,0,0.0788510550281876,0,0,0,0,1.27986231959927e-06,0,0,0,0,-0.00194395118718758,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10004955532094,0,0,0,0,0.203753855097576,0,0.135566036762217,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.262318897409912,0.0169547814037234,0.0339697867453851,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,-0.000810461524275783,0,0
X600276.SH,0,0,0,0,0,0,0.0266448013361085,0,0,0,0,0.0647020479469573,0,0,0,0,0,0,0,0,0,0,0,0,0.172987415774361,0,0,0.134355708827577,0,0,0,0,0.051958269286726,-0.113277930988638,0,0,0,0.0889154336561405,0,0,0,0.0712401701812699,-0.061940924369119,0,0,0,0,0,0,0,0,1.35525271560688e-20,0,0,0,0,0.0056168758975591,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.00864865938884522,0.00688346685548971,0,0.0418633420912098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0290577674123748,-0.0506968685578873,0,0,0.215901101197742,0,0,0,0.0375088241730338,0.125350703823199,0,0,0,0,0,0,-0.0168764131149527,0,0.195373834658343,0.0319234933166047,0,0,0,0,0,0,0,0,0,0
