,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X000568.SZ,X000651.SZ,X003816.SZ,X002475.SZ,X600104.SH,X000625.SZ,X300124.SZ,X002371.SZ,X000338.SZ,X000725.SZ,X002304.SZ,X000063.SZ,X600031.SH,X000596.SZ,X000100.SZ,X000157.SZ,X300014.SZ,X600089.SH,X002179.SZ,X002236.SZ,X002463.SZ,X600703.SH,X600741.SH,X000977.SZ,X600372.SH,X600066.SH,X002049.SZ,X002028.SZ,X002241.SZ,X000661.SZ,X000921.SZ,X600584.SH,X600522.SH,X002129.SZ,X601877.SH,X000800.SZ,X600566.SH,X601799.SH,X600183.SH,X002223.SZ,X600060.SH,X002007.SZ,X600177.SH,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0.126121952667202,0,0,0,0,0.0749720226516642,0,0,0,0,0.056544974333156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00514484125081526,0.00804140519265813,0,0,0,0,0.0140065465756555,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0.0646296208461693,0,-0.016685915161989,0.0103400780649427,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0292339951470285,0,0.0552801759444102,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0468717052728779,0.0130903471065383,0,0,0,0,0.528183945401057,0,-0.00528043473943697,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,-0.00258677752834731,0,0,0.229325566936017,0,0,0,-0.0307698946433182,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104526410187673,0,0,0,0,0,0.0835279159774723,0,0,0,0,0,0,0,0,0,0,0.0708284676771539,0.0318969269381326,0,1.73472347597681e-18,0.234101272503777,0,0,0,-0.00293116837984427,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.109643680238733,0,0,0,0,0,0,0,0.0531273311718305,0,0,0,0,0,0,0,0.0621333631781606,0,0,0.00995393080119328,0.053896717316709,0,0.245180300153526,0,0,0,0,0,0,0,0,0,0,0,0,0.0222609780732738,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0,0,0.0872083649339193,0,0,0.123439983728837,0,0,0,0,0,0,0,0,0,0.316613761906029,-8.67361737988404e-19,0,0,0,0,-0.0119544240491979,0,-0.0912374254519566,0,0.237640843737289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0082528801936082,0,-0.0273886651758479,-0.0634206010761002,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0694679808010628,0,0,0,0,0,0,0,0,0.306794980770111,0,0,0,0,0,0,0.0798803214517734,0,0,0,0,0.0373393594624585,0,0,0,0,0,0,0,0,0,0,0,0.025647735437153,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0779932110930909,0,0,0.121767223438339,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.151005464720787,0,0,0,0,0,0,0,0,0,0.0520497675504022,0,0,0.051124815045862,0,0.0165927410427982,0.0451442611553528,0.0378151041905792,0,0,0,-0.0391833763269072,0.0157208209563802,0,0,0,0,0,0,-0.0136343062401354,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,-0.0219043803633081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101315739075512,0,0,0.158776951293924,0.0524690107320014,0,0.229429743123198,0,0,0,0.114196774220559,-0.029666609799717,0.243613221634671,0.0797991711341646,0,0,0,0,0,0,0,0,0.0436411589796201,0,0,-0.0362670986199737,0,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.0842757602551164,0,0,0,0,0.0773813901932545,0,0.0640764020576337,0,0,0,0,0,0.0566391551887123,0,0,0,0,0,0,0,0,0,0,0,0.101683820180047,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0593689214850598,0.0480793911874458,0,0,0,0,0,0
X000596.SZ,0,0.292236250964998,0,0.16716365006377,0,0,0.323156745155528,0,0,0.0124310184557504,0,0.0471572652186598,0,0,0,0,0,-0.0208495638947468,0,0,0.0902419527808285,0,0,0,0,0,0,0.0730979284063388,0,0,0,0,-0.0684122536031975,0,0,0,0.0588521167178401,0,0,0,0,0,0,0,0,0.0834969344406421,0,0,0,0,0,-0.00684307583460442,0,0,0,0,0,0,0
