,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000625.SZ,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X002241.SZ,X600031.SH,X600066.SH,X000338.SZ,X002456.SZ,X002508.SZ,X000100.SZ,X601877.SH,X300124.SZ,X300136.SZ,X600271.SH,X600522.SH,X300003.SZ,X002008.SZ,X600177.SH,X000157.SZ,X002294.SZ,X002007.SZ,X002085.SZ,X600118.SH,X600089.SH,X600487.SH,X600566.SH,X600699.SH,X600867.SH,X600809.SH,X600372.SH,X000559.SZ,X300115.SZ,X000623.SZ,X002180.SZ,X000980.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600703.SH,0,0,0.116150191342885,0,0,0,0.0559569281969405,0,0,0.0577519870666547,0,0,0,0,0,0,0,0,0,0,0.0559130922481747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187543394958656,0,0,0,0,0,0,0,0,0,0,0,0.0184642269635297,-0.0015097691174834,0,0,0,0,0,0
X000625.SZ,0,0,-0.00300626851028512,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.287584211335003,0,-0.125995669331046,0,0,0.0311033129003954,0,0,0,0,0.0620712266161765,0,0,0,0,0,-0.00712899455619384,0,0,0.0365251528299581,0,0,0,0,0,0.0889189320235827,0,0,0,0,0,-0.0384528626569847,0.0152098022940851,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.774852807373897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0.0235456085138724,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0869124098226577,0,0,0,0,0,0,0,0,-0.00143985616991977,0,0,0,0,0,0
X600741.SH,0,0.48736337898262,0,0,0,0,0,0.130110183970977,0.0146893634880278,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0094648457821701,0.0264710346632008,0,0,0,0,0,0,0,0,0,0,-0.0144104099346362,0.0121326802216608,0,0,0,0,0,0
X002475.SZ,0,0,0.0322516641003771,0,0,0,0,0,0,0,0,0,0,0,0,0.155273040671226,0.0605734770655224,0,0,0,0,0.0223277087471553,0,0,0,0.195999162273977,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0211701145005232,0,0,0,0,0,0
X002236.SZ,0,0,0.212908062262603,0.0781171295822844,0,0,-0.0960392671347167,0,0,0,0,0,0,0,0.51498896330824,0,0,0,0.266237456925143,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.187399398559202,0,0,0.00782060383742724,0,0,-0.0601404163195772,0,0,0,0,0,0
X002241.SZ,0,0,0.00646760643033979,0,0,0,0,0,0,0,0,0,0,0,0.150643193461784,0,0,0,0,0,0.1773939551048,0.00481839928982052,0,0,0,0,-2.16840434497101e-19,0,0,0.0539324937948571,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0251031460866277,0,0,0,0,0.0320529046705817,-6.7762635780344e-21,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0.117157775028456,0,0,0,0,2.74917474555811e-06,0,0,0,0,-0.0931123683956024,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.244384832947833,0,0,0,0,0,0,0.111864318484019,0.144984500548866,0,0,0,0,0,0,0.0497717385037539,0.0715189492998846,0,-0.00764197599521301,-0.0178409756057677,0,0,0,0,0,0
X600066.SH,0,0.00100990493527501,0,0.0401573976962774,0,0,0,0,0,0,0,0.193041072782858,0,0,-0.111059550646955,0.0784195025127195,0,0,0,0,0,0.0419654211207323,0,0,0,0,0,0,0,0,0,0,0,0,-0.103562725227057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00881774201732925,0,0,0,0,0,0,0
X000338.SZ,0,0,0,-0.509235218997837,0,0,0.215905008210088,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.237125120463899,0.12848659404279,0.138590893061756,0,0,0,0,0,0.107746498878838,0,0,0,0,0,0.136370195393294,0,0.00698153063079001,0,0.0349992611968535,0,0,0,0,0,0,0,0,-0.0100250613454675,0,0,0,-0.232404582109466,0,0
