,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X000651.SZ,X002304.SZ,X002475.SZ,X600690.SH,X600031.SH,X600104.SH,X000725.SZ,X300014.SZ,X000661.SZ,X300124.SZ,X000338.SZ,X000063.SZ,X003816.SZ,X600703.SH,X002241.SZ,X000625.SZ,X000596.SZ,X000100.SZ,X002371.SZ,X300142.SZ,X002129.SZ,X000157.SZ,X002179.SZ,X002049.SZ,X600741.SH,X600702.SH,X000799.SZ,X002007.SZ,X601877.SH,X002236.SZ,X600584.SH,X600779.SH,X002414.SZ,X300146.SZ,X601799.SH,X300003.SZ,X600460.SH,X600183.SH,X000800.SZ,X002074.SZ,X000066.SZ,X000977.SZ,X002508.SZ,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.00225413633944809,0,0,0,0.00432425123049857,0,0.0663178022729727,0,0,0,0,0,0,0,0,0,0,0,0,0.00830990417468526,0,0,0,0.0904663047926632,0,0,0,0,0,0,0,0.0884344497340737,0,0,0,0,0.0420074320712679,0,0,0.0120563322178306,0,0,0,0,0.171729399301989,0,0,0,0,0,0,0,0,0,0,-0.00482431015680639,0,0
X000858.SZ,0,0,0,0,0,0.460073585117454,0,0,0,0,0,0,0,0.092473344696241,0.0274272244994944,0,0,0,0,0,0,0,0,0,0,0,0,0.0400354411934546,0.0351631150855406,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149944080697732,0,0,0,0,0,0,0,0,0,0,-0.0175844029862341,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0566572256096518,0,0,0,0,0,0.131888174108297,0,0.00749829358850571,0,0,0,0,0,0.0340294914843661,0,0.0181779086031154,0.0603099324002251,0,0,0,1.73472347597681e-18,0,0,0,0.055355184896643,0,0.0870143100741042,0,0,0,0,0,0,0,0,-0.0124086209606589,0,0,0,0,0.0100152377382911,0,0
X600276.SH,0,0.142229432984333,0,0,0,0,0,0.0285633830882519,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00620453236193748,0,0,0,0.0708006140006369,0,0,0,0,0,0,0,0,0,-0.0234662872163242,0.0655080610814216,0,0.00252739203461144,0,0,0,0,0,0,0,0,0.147652910391719,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.110233075617363,0,0,0,0,0,0,0,0.0158858475896973,0,0.0176130418216518,0,0,0,0,0,0.00575972262928973,0,0,0,0,0,0,0,0.0459362716349775,0,0.0646371216386744,0.477434304377442,0,0,0,0,-1.73472347597681e-18,0,-0.0373832131933392,0.053801347198403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0503753792605358,0,0
X000568.SZ,0,0.514352012879876,0,0,0.0991645346122951,0,0,0.097119030858775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191568350475491,0,0.0931360922296631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0268223442763575,0,0,0,0,0.17119113999976,0,0,0,0,0,0,0,0,0,0,0.00220308574630455,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0823674751385294,0,0.0387691626244588,0.0112628219978409,0,0,0,0,0,0,0,0,0,0,0.0192246815045329,0,0.144728321792388,0,0,8.67361737988404e-19,0.0794713410185941,0,0,0.0301515066228742,0.0415080366408255,0,0,0,0,0,0.00483714323129109,0,0,0,0,-0.0488645533403165,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00109462338697063,0,0
X002304.SZ,0,0,0,0,0.255278207215418,0,0,0,0.0308697999768618,0,0,0,0,0,0,0,0,0,0,0.188844227693673,0,0,0.163305249202797,0,0,0,0,0.0422331560082111,0,0,0,0,0,0,0,0,0,0.0428638322698778,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0406768425073284,-0.0310403245569466,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0334289722168691,0,0,0,0.0203968263008173,0.0187167998002788,0,0.106398455198384,0,0.263950463495237,0.108049631281549,-0.101579996351057,0,0.137011145250637,0,0,0.127471033385713,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0537603993334206,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.054804934059306,0,0
X600690.SH,0,0,3.46944695195361e-18,0,0,0,0.265610141623355,0,0.124946240126923,0,0,0,0.00263451957763298,0,0,0.0978562674043367,0,0.00450518513703221,0,0,0,0,0,0,0.00371269779765991,0,0,0,0,0,0,0,0.0636637636694733,0,0.245604798449602,0.0764925524749061,0,0,0,0,0,0,0,0,0,0,-0.0941528108507379,0,0,0,0,0,0,0,0,0,0.0236070553712638,0,0
