,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000725.SZ,X000625.SZ,X600690.SH,X000063.SZ,X600741.SH,X600066.SH,X600703.SH,X000568.SZ,X600271.SH,X000100.SZ,X002236.SZ,X600118.SH,X600031.SH,X002241.SZ,X600177.SH,X002292.SZ,X002007.SZ,X600372.SH,X000338.SZ,X002475.SZ,X000559.SZ,X002456.SZ,X002506.SZ,X002074.SZ,X000157.SZ,X300003.SZ,X002180.SZ,X600522.SH,X002294.SZ,X002426.SZ,X600867.SH,X600089.SH,X002508.SZ,X300124.SZ,X000981.SZ,X002085.SZ,X601877.SH,X000869.SZ,X600498.SH,X000050.SZ,X002465.SZ,X600435.SH,X002249.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.268715133378511,0,0.113456501827321,0.12501667947298,0,0,0,0.119043027984357,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0426832039935484,0,0,0,0.00688264837956444,-0.0754193248882948,0,0.0236168797542877,0,0,0.0285163001435513,0,0,0,0,0,0,0.147506230036136,0,0,0,0,0,0,0,0,0,0,0.00843722875085933,0,0,0,0,0,0,0
X600104.SH,0.101006230055038,0,0.0776435739124028,0,0,0,0,0.224922300462882,0.105878042462868,0,0,0,0,0,0,0,0,0,0,0,0,-0.0363692831822381,0,0,0,0,0.017790047768347,0,-0.00345270152691245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218518720280466,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0183841718163844,0,0,0,0,0.0253281345508973,0,0,0,0,0.0152345143241074,0,0,0,0,0,0,0,0.0799908411544568,0.0607118196176728,0,0,0.0413008692065731,0,0,0,0.108804130777264,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0229826615953874,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.264622868790493,0,0,0,0.333112985020319,0,0,0,0,0.162784765368715,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0350448996395697,0,0,0.0107322765783294,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.749185965960552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104397639128739,0,0,0,0,0,0,0,0,0,0.0470934560716629,0.0467732850390964,0,0,0,0,0,0,0,0.0173929735918105,0,0,0,0,0,0,0
X600276.SH,0,0,0.0230135206698859,0,0,0,0,0,0.175584906082638,0,0,0.0597518239856837,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015224670579278,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0514558804383489,0,0,0.186615537384053,0,0,0.112722788874122,0,0,0,0,0.0800735297365447,0.110315899080872,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0.0323800337853359,0,0,0,0,0.0790863118643143,0,0,0,0,-0.0266877186738088,0,0,0,0,0,0,0
X000625.SZ,0,0.221351659111807,0,0,0,0,0,0,0.106945721005371,0,0.166027472316491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035328507188029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0429808830391209,0,0,0,0.0725039393384465,0,0,0,0,0,0
X600690.SH,0,0,0.172193921740013,0.0424415308859151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062087578317039,0,0,0,0.00211527420431637,0,0,0,0,0,0.0260088772004474,0,0,0,0,0,0.104661214566693,0,0,0,0,0,0,0.101449841490744,0,0.0649762532758124,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.1102589809396,0,0,0,0.16232959506555,0,0,0,0,0,0,0,0,0,0,0,0,0.0783246642550357,0,0,0,0,0,0.122388084405205,0,0,0,0,0.0197810481249531,0.0278187305134431,0,0.0197977084722076,0,0,0.00237523053018797,0,0.0974056628052526,0,0,0,0,0,0,0.00615603165141382,0,0,0,0,0,0,0,0,0,0
X600741.SH,0,0.284254848147355,0.0400594855482243,0.0575923098150461,0,0,0,0.0145202720216553,0,0,0,0,0,0.0219221307090642,0,0,0,0,0,0,0,0,0,0,0,0,0.031612072066736,0,0,0.0972167076338181,0,0,0.015674433853543,0,0,0,0,0,0,0,0,0,0,0,0,0.0504008115936466,0,0.110633111592933,0,0,0,0,0,0,0,0,0,0
X600066.SH,0,0,0,0,0,3.46944695195361e-18,0,0,0.0648232833058109,0,0.0844339463941672,0,0,0.0555486719772112,0,0,0,0,0,0,0,0,-0.0842699470749117,0,0,0,0.135142337021332,0.0257764960481973,-0.119277858038693,0,0,0,0,0,0,0,0,0,0,0,-0.172350802157297,0,0,0,0,1.73472347597681e-18,0,0.101794166524307,0,0,-0.00415959808683853,0,0,0,0,0,0,0
X600703.SH,0,0,0,0,0,0,0.096882335459003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.157523205579125,0,0,0,0,-0.00608799622274653,0.0356509889426049,0,-0.0555310621597065,0,0,-0.084979921933347,0.0540380142790482,0,0,0,0,0,0.0257224296009705,0,0,0,0.0757389605371544,0,0,0,0,-0.0171838940104778,0,0,0,0,0,0,0
X000568.SZ,0.444308005405306,0,0,0,0.21141826004524,0,0,0,0,0,0.102666802859206,0,-0.131200391000917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0733336745864457,0.0643288933670085,0,0,0,0,0,0,0.0608455735422711,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.00305295932617372,0,0,0,0,0,0,0
X600271.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244641908161424,0,0,0.0305303066927884,0.0595138232960977,0,0.260818934075509,0.0798459633109887,0.09020608550874,0,0,0,0,0,0,0,0,0,0.0339176853618311,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0.135247414581387,0.0641399414791558,0,-0.0406238529046982,0,0,0,0,0,0,0
X000100.SZ,0,0,0,0,0,0,0.0464386299745106,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.33680868994202e-19,0,0.170936986938245,0,0,3.46944695195361e-18,0.03053637254666,0,0,0,0,0,0,0,0,0,0,0,0,0.0581147784621408,0,0,0,0,0.0556742288659459,0,0.0382057874279114,0.0362994768272498,0,0,0,0,0,0,0,0,0
