,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X600809.SH,X000568.SZ,X002475.SZ,X600690.SH,X000651.SZ,X300124.SZ,X003816.SZ,X000625.SZ,X002304.SZ,X600104.SH,X000725.SZ,X002371.SZ,X000063.SZ,X000338.SZ,X000596.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X002241.SZ,X600089.SH,X600703.SH,X600372.SH,X002129.SZ,X002236.SZ,X000661.SZ,X000157.SZ,X002049.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600522.SH,X600183.SH,X002463.SZ,X002028.SZ,X002007.SZ,X000800.SZ,X002074.SZ,X600460.SH,X300142.SZ,X601799.SH,X002294.SZ,X002223.SZ,X002156.SZ,X600418.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.104850700222805,0.327740291448109,0,0.0809737291740096,0,0,0,0.00249313801539448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.134126249317927,0,0,0,0,0,0.0713602895447365,0,0,0,0,0,-0.00657330213410734,0,0,0,0,0,0,0
X000858.SZ,0.156069238418379,0,0,0,0,0.431346106215349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0793865093495121,0,0.0378464495256273,0,0,0,0,0.026470335627291,0,0,0,0,0,0,0,0,0.0443532434700954,0,0,0,0,0,0,0,0,0,0,0,0,0.00640494056944532,0,-0.00270694207165239,4.33680868994202e-19,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.00806766494448434,0.0652622041166506,0,0,0,0,0,0,0,0.0468520538159051,0.0397435569274431,0,0.144218454205885,0,0.108373913537732,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,-0.00976186813958761,0,0,0,-0.0771834339594654,0,0
X600276.SH,0,0,0,0,0,0,0,0.10713749011584,0,0,0,0.0153444648024277,0,0,0,0,0,0.112738652232492,0,0,0,0,0,0,0,0.00118461536670111,0,0,0,0.141720144736075,0,0,0.0327017575112999,0,-0.043281423371244,0,0,0,0,0,0.0174681739564304,0,0,0,0,0,0.154289873837323,0.0543138124803963,0,0,0,0.0183717507929339,-0.0215499705383084,0,0,0,0,0,0
X600809.SH,-4.33680868994202e-19,0,0,0,0,0.534242643820044,0,0,0,0,0,0,0,0,0,0,0,0,0.305085233520238,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00931647166901829,0,0,-0.0532615666488341,0,0,0,0,0,0,0.0466276488397127,0,0,-0.0325984615175537,0.0189368892477636,0,0,0,0,0,0
X000568.SZ,0,0.415437622749199,0,0,0.521523022851069,0,0,0,0,0,0,0,0,0,0,0,0,0.042726472532457,0,0,0,-0.0260302632311852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.105827295669392,0,0,0,0,0,0,0,0,0,0,0,-0.0379126992337179,0,0.00992727925887417,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117763313594935,0,0,0.187239723139643,0,0,0,0,0.0362556925627707,0,0,0,0,0,-0.0627253589874455,0,0,0.15502794561644,0,0,0,0,0,0,0,0,0,0,0,0.074023047567171,0,-0.00775799688695912,0.023829842113137,0,0,0,0,0,0
X600690.SH,0.0603526816677812,0,0,0,0,0.282227666461656,0,0,0,0,0,0,0,0,0,0,0,0.0299379854472635,0,0,0,0,0,0,0,0,0,0,0,0.0412062060534583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00756967829241325,0,0.00552853348170346,0.0147502779113034,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0701746045386242,0,0.0230277315904916,0,0,0,0,0,0,0,0,0,0.0918541449294886,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00729723350828761,0.0929825662246028,0,0,0,0,0,-0.0206815723189188,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0,0.160434745237604,0.0253030153284432,0,0,0,0,0,0,0.243972696729595,0,0,0,0.0281167325471119,0,0,-0.127571567370307,0,0,0.05752541974717,0,0,0,0,0.120766027440672,0,0.0375944201175453,0,0.0442994025990069,0,0,0,0,0,0,0,0,-0.0471606234006528,-0.190395744525109,0,0.307690431027767,0,0,0,0,0,0,-8.67361737988404e-19,0.0120028320320306,0,0,0,0,0,0
