,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X600690.SH,X600031.SH,X600372.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600741.SH,X600089.SH,X000100.SZ,X002236.SZ,X000581.SZ,X600118.SH,X002475.SZ,X000559.SZ,X000050.SZ,X601877.SH,X000550.SZ,X600839.SH,X600271.SH,X600066.SH,X002294.SZ,X002129.SZ,X000568.SZ,X002456.SZ,X600435.SH,X002292.SZ,X300124.SZ,X300003.SZ,X000400.SZ,X000869.SZ,X000800.SZ,X002007.SZ,X000623.SZ,X002008.SZ,X002049.SZ,X000977.SZ,X002038.SZ,X600177.SH,X600867.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0.0969695631625148,0,0,0,0,0,0,0,0,0,0,0,0.316876624615798,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0250508360213065,0,0,0.0779257268108162,0,0,0,0,0,0,0,0,0,0,0,0,0,-6.87356845502042e-05,0.00729436839638844,0,0,0,0,0,0
X600519.SH,0.137111734241643,0,0,0,0,0,0,0.135181679658532,0,0,4.33680868994202e-19,-0.0645371666867923,0.07081594858937,0,0,0,0,0,0,0,0,0,0,0,0,0.0472206488640528,0,0,-0.0382262564190109,0,0,0,0,0.061449153307319,0,1.0842021724855e-19,0,0,-0.0499108189632659,0,0,0,-0.0663429280141076,0,0,0,0,0,0,0,0,-0.00287611911020316,-0.0180456882245777,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724586117970656,0.171169013085278,0,0,0,-0.0142935915404762,0,0,0,0.0553012316281585,0,0,0,0,0.0368076111649232,0,0,0,0,0.105817631075573,-0.0183869017254436,0,0,0,0,0,0,0,0,0,0,0,0,0.00930163191799878,0,0,0,0,0,0,0
X000651.SZ,0.0264584833014245,0.0358992515882971,0,0,0,0,0,4.33680868994202e-19,0,0,0.253911040682861,0,0,0,0,0,0,0,0,0.0337808850284564,0,0,0,0,0,0,0.128602621798301,0.0184998474627088,0,0,0,0,0,0,0,0,0.0563524997058343,0,0,0,0.0113347788966875,0,0,0,-0.0242382412130105,0,0,0.0250149947549052,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0538599277711655,0,0.0679623980936783,0,0,0,0,0,0,0,0.210350869600516,0,0,0,0,0.00641474535925477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106991421461828,0.184582983887577,0,0,0,0,0,0,0.0128163014049625,0,0,0,0,0,0
X000625.SZ,0.185257638366152,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116639983784857,0.1121129657193,0,0,0,0,0.0448172659149947,0,0,0,0,0,0.0222718972107599,0,0,0,0,0,0.130187728374299,0,0,0,0,0,0,0.159586887249526,0,0,0.0723662627831215,0,0,0,0,0,0,-0.0128903745251168,0,0,0,0,0,0,0
X000858.SZ,0.0430462328429236,0,0,0,0,0,0,0,0,0,0,0,0.0572574082709109,0,0,0,0,0.0395676142443216,0,0,0.0206956897447282,0,0,0,0.0507449550404178,0,0,0.0552483349142095,0,0,0,0,0,0.240061202274414,0,0,0,0,0,0,0.164316332646405,0,0,0,0,0.0144573787064432,0,0,0,0,0,0.00549984540327366,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0663981735040381,0.0349216665125342,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,-0.102850764436408,0,0,0,0,0,0,0.000424328144224455,0.289211006613897,0,0,8.67361737988404e-19,0,0,0,0.131465536966406,0,0,0,0,0,0,0.128165181891943,0,0,0,0,0.0352713566807788,0,0,0,-0.038205958003086,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185871617098442,0,0,0,0.01579454003977,0,0,0,0.138824567866893,0,0,0,-0.0902548597290211,0,0,0,0,0,0,0,0,0,0.0307472320113873,0,0,0,0.0955206761608462,0,0,0,-0.0258207644452541,0,0,0.0507240601527261,0,0.0126924905848768,0.0109411619448635,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0396994573446083,0,0,0,0,0,0,0,0,0,0,0,0.0450110617418788,0,0,0.106563637852554,0,0,0,0,0.0381479659735641,0,0,0,0,0,0,0,0,0.124315817304325,0,0,3.46944695195361e-18,0.0770979196828318,0,0,0,0.0860696157496716,0,0.0161061248494701,0,0,0,0,0,0,-0.00124858145306863,-0.000869956064213101,0,0,0,0,0,0
