,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000568.SZ,X600031.SH,X600809.SH,X600690.SH,X000725.SZ,X002241.SZ,X000661.SZ,X000063.SZ,X003816.SZ,X300124.SZ,X000338.SZ,X000596.SZ,X300014.SZ,X600703.SH,X600741.SH,X000625.SZ,X002371.SZ,X000100.SZ,X002007.SZ,X300142.SZ,X002129.SZ,X002236.SZ,X601877.SH,X002179.SZ,X002049.SZ,X600584.SH,X000800.SZ,X000157.SZ,X002414.SZ,X600183.SH,X300003.SZ,X601799.SH,X300136.SZ,X002008.SZ,X000066.SZ,X002456.SZ,X300146.SZ,X000977.SZ,X002185.SZ,X002508.SZ,X600118.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.202008205743843,0,0,0.00694750159186897,0,0,0,0.0027264675040208,0,0.357277251467745,0,0,0,0,0,0,0,0,0,0,0,0,0.011448090379038,0,0.0919860548943608,-0.0129286827730712,0,-0.0593633625619879,0,0.025711563564921,0,0.020288411074432,0,0,0,0,0,0,0,0,-0.0372532292714378,0,0,0,0,0,0,-0.0136862731500038,0,0,0.0380381572784233,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0734070280153255,0.241177030765515,0,0.20142424142093,0,0,0,0,0,0,2.16840434497101e-19,0.0317019031135975,0.029732982359794,0,0,0,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0397644725521347,0,0,0,0,0.0112813319448127,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0184230090522491,0,0,0.0179927054739959,0.0724535551017582,0,0.0325678079701529,0,0,0,0,0,0,0,0,0.0589056270678069,0,0,0,0,0,0,0,0,0,0.0309855670621007,0,0,0,0,0,0,0.0164866921942739,0,0,0.0187851344236743,0.0178463241258941,0,0,0,0.0173162077843036,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.159032796489201,0,0,0,0,0,0,0.239609592516281,0,0,0,0,0,0,0,0,0,0,-0.0366595378708441,0,0,0,0,0,0,0.0652798138025807,0,0,0,0,-0.0152649664525688,0,0,-0.0647353955342503,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,-0.0194940435038792,0,0,0,0,0.455300967944726,0,0,0,0,0,0,0,0,0,0,0,0.0155145993609616,0,0,0,0,0.0685245302684731,0,0,0,0,0,0,0,0,0.0153603499139729,0,0,0,0.0211082095083057,0,0,0,-0.0620517621396701,0,0.23982380754816,0,0.0136696196639045,-0.00419787252865087,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00516939941457215,0,0,0,0,-0.085251159953667,0,0,-4.33680868994202e-19,0.114654040370303,0,0.0521733772464789,0,0.0396435312508005,0,0.0550665662796088,0,0.127773065906608,0,0,0,0.0138023237499469,0,0,0,0,0,0,0,0,-0.0393277866304671,0,0,0,0,0,0,-0.0194053683232269,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.081706207708434,0,0,0,0,0,0,0,0,0.230005473373309,0,0,0.0890684097793775,0.144461306205407,0.029930457841794,0.0382418560626983,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0.0147328639848192,0,0,0,0,0,0,0,0,0,0.0377870515035833,0,0,0,0,0,0,-0.00232324416596148,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.236807947107188,0,0,0,0,0,0,0,0,0,-0.0632787112079199,0.0711553943967119,0.241091177519992,0,0,0,0,0,0,-0.0743845242709335,0,0,0,0.0838988037774439,0,0,0,0,0,0,0,0,0,0,0,0,0.103342595352873,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.049405224741594,0,0,0,0,0,0.16445050996939,0,0,0.179678092586132,0,0,0.0828624519569515,0,0,0,0,0,0.126212706345568,0,0,0,0,0,0,0.0895291483661587,0,0,-0.0494373710493686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0181791920398642,-0.0403630987426584,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0.0134092224172667,0,0,0,0,0,0,0.202823338885214,0,0,0,0.403586955915587,0,0,0,0.0831427679634404,0,0,0,0,0,0,0,0,0,0,0,0,0.0806114322818779,0,0,0,-3.46944695195361e-18,0,0,0,0,0.0874901787847394,0,0,0,0,0,0,0,-0.0128977977063936,0,0,0,0,0,0
