,X600519.SH,X000858.SZ,X002415.SZ,X600690.SH,X600809.SH,X002475.SZ,X600276.SH,X000651.SZ,X003816.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X600031.SH,X000338.SZ,X300124.SZ,X000625.SZ,X002304.SZ,X000063.SZ,X000596.SZ,X300014.SZ,X000100.SZ,X002179.SZ,X600089.SH,X002463.SZ,X000157.SZ,X002241.SZ,X600066.SH,X600703.SH,X600372.SH,X600584.SH,X002028.SZ,X000921.SZ,X600522.SH,X600741.SH,X000977.SZ,X002236.SZ,X600183.SH,X002049.SZ,X601877.SH,X002223.SZ,X000661.SZ,X600487.SH,X000800.SZ,X600060.SH,X002180.SZ,X002129.SZ,X002074.SZ,X600418.SH,X002156.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.18322530902634,0,0,0.144179811120042,0,0,0,0,0.15794109725734,0,0,0,0,0,0,0,0.0310195585964481,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0540503064629005,0,-0.00482648022180603,-0.00776388893621269,0.010059498526736,0,0,0,0,0,0,0.0110230420244898,0,0
X000858.SZ,0,0,0,0,0.025574034703469,0,0,0,0,0.436802414769496,0,0,0,0,0,0,0,0.16630153747876,0,0.0153805388186393,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0247885262535853,0,0.0436790580696562,0,0,-0.037233882356008,0,0,0,0.0251085920980231,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0978019078891024,0.153093049014849,0,0,0.0306556105569968,0.0380059745107754,0,0,0,0,0,0,0,0,0,0,0,0,0,0.062951508902928,0.0858751502673775,0.0586394887591646,0,0,0,0,0,0,0,0,0.10837191829969,-0.0191922366712315,0,0,0,0,0,-0.096384180756635,0,0,0.0266128260312237,0,0
X600690.SH,0,0,0,0,0,0,0,0.0598341448870538,0,0,0,0,0,0.0335074309840391,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0295431543050213,0.235401919094609,0,0,0,0,0,0,0,0,0,0,0,0,-0.150511015149124,0,0,0,0,0,0.0450182578642303,0.0180622218610231,0,0,0,0.147959770109863,0,0
X600809.SH,0,0.1185497243631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.108657544789674,0.219561514935972,0,0,0,0,0,-0.00198492628113341,0,0.0154984655894526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0490366248427236,0,0,0,0.00407165677137057,0,0,0,0,0,0,0.0155986268745871,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00813052692890071,0,0,0,0.0781053539034258,0,0.503868277692485,0,0,0,0,0,0,0,0,0,0,0,0.0171965627832897,0,0,0,0,0,0,0,0,0,0.0186954908169649,0.0555567943732733,0,0.0341768074729391,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.133244624020848,0,0,0,0,0,0,0,0,0,0.16346434771971,0.0609775447884192,0.16227517958842,0,0,0,0,0,0,0,0,0.01620230745206,0,0.00109105177478277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0650826260931046,0,0,0.0333486491633626,0,0
X000651.SZ,0,0,0,0.260149861082181,0,0,0,0,0,0.125324797732255,0,0,0,0,0.0503434765889716,0.0830965561443716,-0.152130160569905,0,0,0,0,0.0607595522796929,0,0,0,0.0880284137594746,0,0,0,0,0,0,0.121933235269266,0,0,0,0,0,0,0,0,0,0,0,0.116131101333718,0,-0.0265869577092028,0,0,0,0,0,-0.0297708356554639,0.0113407845394388,0,0,-0.0345361498987664,0,0
X003816.SZ,0,0,-0.0614816584546603,0,0,0,0,0,0,0,0,0,0,0.00824466180538829,0,0,0,0,0,0,0,0,0,0,-0.224700566635944,0,0,0.00308229907724102,0,0,-0.034359431251096,0.116653845009588,0,0.0714156899317324,0,8.67361737988404e-19,0,-0.0813127197997893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0329962720583789,0,0,0,-0.0426364929640719,0,0
X000568.SZ,0,0.709717450542488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0311391711814266,0,0,0.232938365442198,0,0,0,0,0,0,0,0.0323292979212075,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126123431588453,0,0,0,-0.0152473480101818,-0.0407677989695566,0,0,0,0,0,0
