,X600519.SH,X600104.SH,X000651.SZ,X002415.SZ,X000858.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600741.SH,X600703.SH,X600031.SH,X000568.SZ,X600066.SH,X000338.SZ,X002475.SZ,X002241.SZ,X600271.SH,X002236.SZ,X002456.SZ,X600118.SH,X600177.SH,X000157.SZ,X002085.SZ,X002292.SZ,X600372.SH,X300124.SZ,X000559.SZ,X002426.SZ,X002007.SZ,X600867.SH,X300003.SZ,X600089.SH,X000623.SZ,X002294.SZ,X600522.SH,X002180.SZ,X002506.SZ,X601877.SH,X000981.SZ,X002074.SZ,X600498.SH,X002508.SZ,X000869.SZ,X300136.SZ,X000050.SZ,X000550.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.134178903145886,0,0,0.021159030460913,0,0,-3.46944695195361e-18,0,0.11134912662717,0,0.0797212225458893,0,0.0392010309530646,0,0.0372704957205693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400215420200911,0,0,0,0,0.0412121562419342,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.0324742332612014,0,0,0,0,0,0,0,0,0.112759446298991,0,0,0.00447684957139649,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127208001237267,0.031874802017503,0,0,0,-0.0777250571496453,0,0,0,-0.0140959063204591,-0.00834441243249455,0.123776753670009,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0198849198546566,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0886129478499133,0,0,0,0,0.206522868569178,0,0,0,0,0.198566408233593,0,0,0,0,0,0.0434681672669662,0,0,0,-0.0442514722384208,0.0905415951103085,-0.0410839652167176,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0127933450400449,0,0,0,0,0,0,0,0.00124631839477204,0.150640113891394,0,0,0.0781010600154885,0,0.00258416924065803,0,0,0,0,0,0,0,0,0,0,0,0.0319419099360022,0.0166049348358317,0,0,0,0,0,0,0,0,0,0.149523895675014,0,0,0.496299918566938,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0.139672678421564,0,0,0,0,0,0,0.00416506397445537,0.0232547656077552,0,0.0706436147039233,0,0,0.0862810816614141,0.348329283165203,0,0,0,0,0,0,0,0,0,0,0,0,0.00223214485410137,0,0,0,0.173861076559341,0,0,0,0,0,0,0,0,0,0,0.0194591116179052,0,0,0.0899069897395414,0,0,0,0,0,0.0424814785659273,0,0,0,0,0,0
X600276.SH,0,0,0.0329261680809314,0,0,0,0,0,0,0,0,0,0,0,0.141727974460055,0,0,0,-0.0200634192872438,0,-0.0804710441392214,0.0562933498294092,0,0,0,-0.0298705579075614,0,0,0,0,0,0,0,0,0,0,0.262023925530809,0,0.000300269741179237,0,0.0799197649174992,0.0972201471809814,0,0,0,0,0,0,-0.0906134687844831,0,-0.00386096526542107,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.297219119738112,0,0,-0.0146110772746243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.011992173538143,0,0,0,0,0.00291564994457789,0.0616955021732956,0,0,0,0.0468851630789395,0,0,0,0,-0.0306146930934348,0,0,0,0,0.130195201464561,0.0486181927586983,0,0,0,-0.0248466458424918,0,0,0,0,0,0,0
X000725.SZ,0,0,0.0193420678299326,0,0,0,0,0,0,0,0,0,0.0637104659240257,0.0980530953102568,0,0,0,0,0,0,0,0.0729259885808396,0,0,0,0.0795653392832938,0,0,0,0,0,0.0437287811870599,0.0562631214021302,0,0,0.0274349022049278,0,0,0,0,0,0.0303549054310132,0,0.0348159930384625,-0.0386220852929463,0,0,0,0.101849540788672,0.0252402284040274,-0.0498688067527241,0,0,0,0,0,0,0
X000625.SZ,0,0,0.0945346623853067,0,0.107792814995503,0,0,0,0,0,0,0.221275571430801,0,0,0,0,0,0,0,0,0,-0.00959257876286903,0,0,0.109676004718151,0,0,0,0,0,0.00229459232315756,0.128532475480608,0,0,0,0,-0.0750283155625871,0,0,0,0.0460333064502544,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0.0313395713093814,0,0,0,0,0,0,0
X000063.SZ,0,0,0.0595290766329658,0,0,0,0,0,0,0,0,0,0,0.0099484488165435,0,0,0.159450670122961,0,0.082806151381381,0.0305076034195119,0,0,0,0,0,0,0,0,0,0,0,0,0.162604057939151,0,0,0.165710584115076,0,0.0236811345737321,0,0,0,-0.020462850348351,0,0,0,0,-0.0574823314945287,0,0.0036383162873271,0,-0.0489230742228138,-0.0483151451255123,0,0,0,0,0,0
