,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X600690.SH,X002475.SZ,X002304.SZ,X000651.SZ,X300124.SZ,X600104.SH,X003816.SZ,X000063.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000625.SZ,X000338.SZ,X002129.SZ,X300014.SZ,X002179.SZ,X002049.SZ,X600703.SH,X000100.SZ,X600372.SH,X600089.SH,X002236.SZ,X000157.SZ,X600741.SH,X600584.SH,X000661.SZ,X002241.SZ,X000977.SZ,X601877.SH,X600522.SH,X000733.SZ,X600702.SH,X601799.SH,X002074.SZ,X000800.SZ,X002028.SZ,X002007.SZ,X002180.SZ,X002463.SZ,X300142.SZ,X600460.SH,X600183.SH,X000066.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0893595312051098,0.12379162268109,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.119192281767989,0,0,0,0,0,0,-0.0215329756096082,0,0,0,0,0,0,0.0642155076138661,0,0,0.0730846599573594,0,0,0,0,0,0,0,0,0,0,0,0,-0.0702202858922735,0.0642124801540351,0,0,0,0,0,0
X000858.SZ,0,0,0.4815089594821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585385543810342,0,0,0,0,0,0,0,0,0,-0.0713791719553317,0,0,0,0,0,0,0,0,0,0.104902463218172,0,0,0,0,0,0.000619733379712464,0,0,0.122754478979328,0,0,0,-0.0801991784104072,0.105624869910247,0,0,0,0,0,0
X000568.SZ,0,0.308462678274294,0,0,-4.33680868994202e-19,0.0154419196399226,0,0,0,0,-0.0554998406467678,0,0,0,0,0.439173936233962,0.040104795844742,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.136453323409367,0,0,0,0,0,0,0.0188877793955402,0,0,0,0,0,0.0380417292722184,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.150237486201008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0222779074207092,0.0593314615147527,0,0,0.14665825230382,0.210628784917622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.106117462241728,0,0.00479115384448904,0,0,-0.0225252006693996,0,0,0,0,0,0
X600809.SH,0,0,0,0.129630782419015,0,0,0,0,0,0,0,0,0,-0.175348104156439,0,0,0,0,0.0658619947219249,0,0,0.184852357735626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351858259744376,-0.0739602163719503,0,0,0,0,0,0.0305680391729041,0,0,0,0,0,0,0.0201211009229422,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0966223872320384,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17771962301372,0,0,0,0.253918126555033,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0421693312358516,-0.0449630601621382,0,0,0,0,0,0
X600690.SH,0,0.052630532284483,0,0,0,0,0,0,0.0251146306296701,0.00151271361645919,0,0,0,0,0,0,0,0.164098072071181,0,0,0.0797921834503283,0,0,0.057765779513841,0,0,0,0,0,0,0,0,0,0,0.00131072743183973,0,0,0,0.0629728823178108,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14788833677195,0,0,0.0602886562749884,0,0.116428495800478,0,0,0,0,0.0847900329349032,0,0,0,0,0.044292838641875,0,0,0,0,0,0.0840796231365327,0,0,0,0,0,0,0,0,0,0,0.028370897283778,0,0,0,0,0,-0.020050386350468,0.0551662462807639,0,0,0,0,0,0
X002304.SZ,0,0.326705865215313,0.100973708180033,0,0.0985894246159882,0,0,-0.0158744292378313,0,0,0,0,0,0,0,0,0,0,0.0753368617108838,0,0,0,0,0,-0.0425215365633585,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0735057763348149,0,0,0,0,0,0.0127842608364558,0,0,0,0,0,-0.0101184695846158,0.00225577397144261,0,-0.148841976809374,0,0,0,0,0
X000651.SZ,0,0.192396671421133,0,0,0,0,0.300993810946954,0.0606074865021711,0,0,0,0,0,0,0,0,0,0,0.0874957348191823,0,0.032255308266088,0,0,0,0,0,0,0,-0.0961898945253053,0,0,0,0,0,-0.0101739630035365,0,0,0,0,0,0,0,0,0,0,-0.00469781481768064,0,0,0,0,0,0,0,0,0,0,0,0,0
