,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X003816.SZ,X000725.SZ,X002304.SZ,X600031.SH,X600690.SH,X000568.SZ,X000338.SZ,X000661.SZ,X600703.SH,X600741.SH,X000100.SZ,X600809.SH,X002371.SZ,X002241.SZ,X300003.SZ,X000596.SZ,X002236.SZ,X300014.SZ,X002007.SZ,X000977.SZ,X601877.SH,X600183.SH,X300124.SZ,X000157.SZ,X002129.SZ,X600118.SH,X300142.SZ,X000625.SZ,X002456.SZ,X600584.SH,X600271.SH,X002008.SZ,X000066.SZ,X002179.SZ,X300136.SZ,X002414.SZ,X002180.SZ,X002463.SZ,X600177.SH,X002049.SZ,X600699.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0261576218693291,0,0,0,0,0,0,0,0,0,0,0.020808568535415,0,0,0,0,0,0,0,0,0.231621114807425,0.165919643516466,0,0,0,0,0,0,0,0,0,0,0.0667910217584801,0,0,0,0,0,0,0,0,0,0,-0.0538062418950516,0,0,0,0,0,0,-0.0896233482310347,0,0,0,-0.0807337590467271,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0375596350115315,0,0.521634266806135,0,0.00149382022824629,0,0,0,0.00784184729616442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00821753259709236,0.0194670422304642,0,0,0,0,0.0883997480846844,0,0,0,0,0,0,0,0.0395137415434419,0,0,0,-0.00852797934835524,0,0,0,0,0,0
X600276.SH,0.0842316611295938,0,0,0,0,0,0,0,0,0,0,0,0.0439013499532372,0,0,0,0,0,0,0.140071785756022,0,0,0.130942958998426,0,0,0,0.119040927184337,-0.00534108200310675,0,0,0,0,0,0,0,0.00710752499708701,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0281553184378996,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.0803387949016725,0,0,0,0.204657557899263,0,0,0,0,0,0,0,0,0.0309637877019142,0,0.149108993852999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0831432983666711,0,0.0807533440237825,0,0,0,0.0269287342461698,0,0,0,0.0251417783043604,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.215888771362567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0239332770872294,0,0,0.214786550666879,0,0,0,0,0,0.072833849663702,0,0.052136128429889,0,0,0.222735166716477,0,0,0,0,0,0,0,0,0,0,0,0,0.0641649286312681,0,0,0,0.022350203785475,0,0,0,0.0258591214159268,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.22696513024053,0,0,0,0,0,0,0,0,0.172270075086309,0,0,0.0172779826520372,0,0,0,0,0,0,0,0.073379887019956,0.152210403982927,0,0,0,0.0956334264337747,0,0,0,0,0,0,0,0,0,0.0211499838079467,0,0,0.0111737340528919,0,0,0,0,0,0,0,0.00879485277111891,0,0
X002475.SZ,0,0,0,0,0.0215299195097426,0,0,0,0,0,0,0,0,0,0,0.156982696447477,0,0,0,0,0,0.217808837261599,0,0,0,0.106003233770232,0,0,0,0,0,0,0,0,0.054379215086381,0,0,0,0,0.182573507430216,0,0,0.0153093298422011,0,0.0098471309194684,0,0,0,0,0,0,0,0,0,0,0,0.034925798740892,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.045970352274299,0,0,0,0,0,0.210715977707694,0,0,0,0,0,0.11610146086385,0,0,0,0,0,0,0,0,0,0.0227655120200272,0,0,0,0,0.148756760804221,0,0,0,0,0,0.167208605762406,0,0,-0.0713386019478227,0.0449731193165052,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.169461697387253,0,0,0,0,0,0.0415468979345053,0,0,0,0,0,0,0.0894481870991123,0,0,0,0.158276064417503,0,0.135681893145166,0,0,0,0,0,0.0572858950755466,0.169322226543987,0,0.014527456187413,0,0,0,0,3.46944695195361e-18,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0109442512315735,0,0,0,0,0,0,0,0.0611916532824737,0,0.31987760500861,0,0,0,0,0,0,0.0795232522799339,0,0.0907010293843462,0,0,0,0,0,0,0,0,0.024570234257815,0,0,0.0128654067996118,0,0,0.0429459473447784,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0384195605579489,0,0
