,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000338.SZ,X000568.SZ,X600703.SH,X600741.SH,X002475.SZ,X600271.SH,X300003.SZ,X601877.SH,X300124.SZ,X002008.SZ,X600487.SH,X002236.SZ,X000596.SZ,X600809.SH,X000100.SZ,X000661.SZ,X002179.SZ,X600867.SH,X002456.SZ,X000625.SZ,X300142.SZ,X002007.SZ,X000977.SZ,X600066.SH,X600498.SH,X600566.SH,X000157.SZ,X002294.SZ,X300136.SZ,X002241.SZ,X002180.SZ,X300146.SZ,X600522.SH,X600177.SH,X600089.SH,X600372.SH,X000869.SZ,X000050.SZ,X002506.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.398847283278567,0.0121632642776927,0,0,0,0,0.0185658724371413,0,0,0,0,0,0.0163840452137249,0,0.0962220533047569,0,0,0.0813303982534489,0,0,3.46944695195361e-18,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0.0228082350188003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019395876931573,0.00285836930558859,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.313217287945217,0.0276625210644359,0,0.361751815902747,0,0,0,0,0,0.0648588029011523,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00566971264546392,-0.00340420764886047,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0512725811692858,0.108943205468021,0,0,0,0,0,0.00133744619139964,0,0,0,0,0.0114002043864663,0,0,0.0100413190097734,0,0.444189507200882,0,0,0,0,0,0,0,0,0,0,0.099969253492504,0,0,0,0,0,0,0,0,0,0,0,0,-0.0272214639640562,0,0,0,0,0,0.0158725344391614,0,0,0,0,0,0
X000858.SZ,0.178187557542461,0,0,0,0,0,0.230837965210205,0,0.0238825471735343,0,0,0,0.22519298289409,0,0,0,0,0,0.0446600725190051,0,0,0,0,0.0515259863022826,0,0,0,0,0,0,0,0.0257821132345459,0,0,0,0,0,0,0.0465804108019136,0,0,0,0,0,0,0,0,0,0,0,0,0.00757388835525774,0,0,0,0,0,0,0
X000651.SZ,0.0833010104407783,0,0,0,0,0,0,0,0,0,0,0,0.266271601712925,0,0,0,0,0,0,0,0.269253377553782,0,0,0,0.0120829117670285,0,0,0,0.0175207857410937,0,0,0,0,0,0.0681862829648196,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00504217294371168,0.00956512476750087,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.425616555402243,0,0,0,0,0.0279296365879537,0.182954903064833,0,0,0.0978823753588158,0,0,0,0,0,0,0,0,0,0,0,0.118005987495605,0,0,0,0.116330660232807,0,0,0,0,0,0,0,0,0.0305831534787076,0.0418529737058614,0,0,0,0,0,0
X002304.SZ,0,0,0.045406786148636,0.506724447783946,0,0,0,0,0,0,0,0,0.28449901215274,0,0,0,0,0,0,0.0465741749782226,0,0,0,0,0.228769247971718,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0409112259213801,0,0.124975618039908,0,0,0,0.0394260307998448,0,0,0,0.308883323476057,0,0,0,0,0,0,0,0,0,0.0902120930410955,0,0,0,0,0,0,0,0.0467977698619848,0,0,0.260006645627466,0,0,0,0,0,0.0107457841739039,0,0,0,0,0,0
X600690.SH,0,0,0.0242638305416099,0.282811508254858,0,0,0,0.107705330501645,0,0,0,0,0,0,0,0.0559904204342584,0,0,0,0,-4.33680868994202e-19,0,0,0,0,0,0,0,0.164313807402951,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018536366082193,0.000870393122151051,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.13350088507289,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-4.33680868994202e-19,0.335470830207323,0,0,0,0,0,0,0,0,0,0,0,0.18482671811595,0,0.112599194441845,0,0,0,0,0,0,0,0.0282495560715387,-0.0106653200686585,0,0,0,0,0,0
