,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X600690.SH,X000063.SZ,X600703.SH,X000568.SZ,X600741.SH,X002236.SZ,X002475.SZ,X600031.SH,X000338.SZ,X000625.SZ,X601877.SH,X002456.SZ,X002008.SZ,X600809.SH,X002508.SZ,X600066.SH,X300124.SZ,X600487.SH,X000100.SZ,X300003.SZ,X002241.SZ,X002294.SZ,X600867.SH,X600271.SH,X600089.SH,X300136.SZ,X000157.SZ,X600522.SH,X600177.SH,X000981.SZ,X000050.SZ,X600566.SH,X600707.SH,X000596.SZ,X002085.SZ,X002180.SZ,X600498.SH,X300142.SZ,X000661.SZ,X600699.SH,X002179.SZ,X600118.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,-0.0385488583723773,0,0,0.623571606409109,0,0,0,0,0,0,0,0,0,0,0,-0.0714925653729619,0,0.0327147406850658,0,0,0,0,0,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00871579122575133,0.0784699599500177,0,0,0,0,0,0,0,0,0,0,0.00158714392358682,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0.123083041583624,-0.0415865709377071,0,0,0.0342155134305638,0,0.149325763520649,0,0,0,0,0.00874444737445146,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.112532047174826,0,0,0,0,0,-0.0150338959717117,0.0178124679103634,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0488727810779475,0,0,0,0,0.117050683127531,0,0,0,0,0.148200431922983,0,0.338339783866799,0,0,0,0,0.0644183543535041,0,0,0,0,0,0,0,0.0688367126787586,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0299985171121787,0.0113828554655565,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.416162553184435,0,0,0,0,0.111438158663553,0,0,0,0,0,0,0,0,0,0,0.0537604043448794,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0445112736937636,0,0,0,0,0,0.00912567295920078,0,0,0,0,0,0,0
X000858.SZ,0.206640269685402,0,0,0.137598506974786,0,0,0,0.0760191839365262,0,0,0,0.284122220046762,0,0,0,0,0,0,0,0,0.142493582465861,0.034825650460752,0,0,0,0.00513199813327387,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00702483684541539,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0.116440824993768,0,0.138382562887924,0.0137289164258061,0,0.0233802109059439,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.124645415794599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827471582166054,0,0,0,0,0.073882248923248,0,0,0,0,-0.0040943226911153,0.00887792197827553,0,0,0,0,0,0
X000725.SZ,0.0898098957571837,0,0,0,0,0,0,0,0.19655114055602,0.59114671426595,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0129740427915574,0,0,0,0,0,0,0,0,0,0,0.0871159460601413,0,0,0,0,0,0,0,0,0,0,0,0,-0.0764271039712378,0.10491048067428,0,0,0,0,0,0
X002304.SZ,0.215163975686001,0,0,0,0.110013028841944,0,0,0,0,0,0.0562145394439466,0.294475765036517,0.095234459408684,0,0,0,0,0,0,0,0,0,0.0931008179778423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0232918001822395,0,0,0,0.0377961243085612,0,0,0,0,0,-0.00390596142728832,0.00442049285607247,0,0,0,0,0,0
X600690.SH,0,0,0,0,0.478514920716537,0.0845618844420053,0,0,0,0,0,0,0.0169675705366029,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0924503495688796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0813584686073141,0,0,0,0,0,0,0.0113141150809588,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.397624617651032,0,0,0,0,0.0309145042526981,0,0,0,0,0,0,0,0,0.083391863619589,0,0,0,0,0.225376681636764,0,0,0,0,0,0.404368657311839,0,0,0,0,0,0,0,0.159298508161838,0,0,0.0391372300694556,0,0.233202999597874,0,0,0,0,0,0,0,0.00265586721342022,0,0,0,0,0,0
