,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X000063.SZ,X002475.SZ,X000725.SZ,X003816.SZ,X600031.SH,X002304.SZ,X000568.SZ,X600690.SH,X000338.SZ,X000661.SZ,X600703.SH,X600809.SH,X600741.SH,X000100.SZ,X600183.SH,X300003.SZ,X300014.SZ,X002241.SZ,X000596.SZ,X002371.SZ,X002007.SZ,X002236.SZ,X000977.SZ,X601877.SH,X000625.SZ,X300124.SZ,X002463.SZ,X300142.SZ,X000157.SZ,X002129.SZ,X600118.SH,X002456.SZ,X600498.SH,X300136.SZ,X002179.SZ,X600271.SH,X000066.SZ,X002180.SZ,X002414.SZ,X600584.SH,X600487.SH,X002008.SZ,X002185.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.213557411745241,0,0,0,0.0181983904994669,-6.93889390390723e-18,0,0.260748178654621,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0136063928405435,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.00495402934986941,0,0.472158639925913,0,0.0385404223322133,0,0,0,0,0,0,0,0.0131473292757001,0,0.125315289005268,0,0,0,0,0,0.0176154771143467,0,0,0,0,0,0,0,0,0,0,0,0.00797341753377002,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0.0764766643174566,0,0,0,0,0,0,0,0,0,0,0,0,0.00463959805189626,0,0,0,0.264324953507964,0,0,0,0,0,0.0737136335518158,0.00233391321938815,-8.67361737988404e-19,0.0488602873630802,0,0,0,0,0,0,0,0,0,0.0418083147418219,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00406660408573289,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0111194319123162,0,0,0,0,0.218691569011144,0,0.166914110457775,0,0,0,0,0,0,0,0.0348997912827354,0,0,0,0,0.00387349359677241,0,0,0,0,0,0,0,0.0135813239454056,0,0,0,0,0,0,0,0.00273476570065134,0,0,0,0,0,0,0,0,0,0,0,0,0.0258820786905021,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0222553739186598,0,0,0,0,0,0,0,0,0,0.0651488025228287,0,0,0,0,0,0,0.0200831059124309,0,0,0.173447420715558,0,0,0.168498018651539,0,0,0,0,0,0,0,0,0,0,0.122785360510618,0,0,0,0,0,0.0257451038721966,0.0010850696052822,0,0,0,0.00490100813465289,0,0,0,0.00815446933529185,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.161762141714895,0.0230488372300696,0,0.0972099172921657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230102094676512,0,0,0,0,0,0,0,0.170743229844292,0,0,0,0.100955827431322,0,0,0,0,0,0,0,0,0,0.0092878662624197,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0265600706290851,0.044233516524406,0,0,0,0,0,0,0,0,0,0.122767336411373,0,0,0,0,0.148504222988353,0,0,0,0,0,0,0,0,0,0,0,0,0.226807668955829,0,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0131280647048704,0.026288341301831,0,0,0,0,0,0,0,0.352802560633928,0,0,0,0,0,0,0,0,0,0.0300300152348565,0,0,0,0,0,0.100083275955914,0,0,0,0,0,0,0,0.22044083927186,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00739263352504004,0,0,0.421720074651599,0.0172790530350657,0,0.0758091089987299,0,0,3.3881317890172e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196643192904642,0,0,0,0,0,0,0.0112651701677857,0,0,0,0,0,-0.00532447752326053,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.120900779509887,0,0,0,0,0,0,0.0470817012276562,0.011814553548782,0,0,0,0,0.0313753785980538,0,0,0,0,0.161742250830233,0.0565901076048691,0,0,0.031625759397506,0,0,0,0,0,0,0,0,0,0.036698275182653,0,0
