,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X002304.SZ,X000858.SZ,X000063.SZ,X600690.SH,X600031.SH,X000100.SZ,X600276.SH,X000338.SZ,X000157.SZ,X600372.SH,X600741.SH,X002241.SZ,X600271.SH,X600089.SH,X600703.SH,X600177.SH,X600066.SH,X601877.SH,X002236.SZ,X600118.SH,X002129.SZ,X000550.SZ,X000581.SZ,X000568.SZ,X600582.SH,X000559.SZ,X300124.SZ,X000623.SZ,X002475.SZ,X000050.SZ,X600060.SH,X300146.SZ,X000800.SZ,X300003.SZ,X002294.SZ,X002292.SZ,X600839.SH,X002456.SZ,X000977.SZ,X002465.SZ,X000869.SZ,X000400.SZ,X600166.SH,X600435.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0.00141351864760252,0.152105063066203,0,0,0,0.123950274191159,0,0,1.38777878078145e-17,0.108815650884406,0,0,0,0,0.438740191988247,0,0,0,0,0.0660844023007794,0,0,0,0,0,0,0.00262929022098327,0,0,0,0,0.0255696562642677,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0,0,0.144602732045539,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0139135515779358,0,0.00620740043159414,0,0,0,0,0.0464621891160029,0.0624997880658605,0,0.000807108985120021,0,0.048700782358378,-0.0966547519094545,0,0,0,0,0,0,0,0,0,0,0,0.0629331326556111,0,0.141435582836355,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.262700491143736,0.0253350157760835,0,0.18923335298285,0,0,0.0898702753446527,0,0,0,0.0397711268589188,0,0,0.10768579930474,0,0,0.0972373912434734,0.0198708607308414,0,0,0,0.0833310017596464,0,0,0,3.46944695195361e-18,0,0.0153886211856196,0,0,0,0,0,0.0420924335202001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0.216229185372732,0,0.0255641877466773,0,0,0,0,0,5.42101086242752e-20,0.116152353257972,0,0.033518245151729,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.245645385105308,0,0,0,0,0.0138222175474425,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0480979506797973,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.0612578602369248,0,0,0,0,0,0.06235453838664,0,0,0,0,0,0,0,0,0,0,0,0,0.162064844464757,0,0,0.356235855602566,0,0,0,0,0,0,0,0,0,0,0.00271935168182587,0.0849458380796096,0,0,0,0,0,0,0,0.143745280960484,0,0,0,0,0.000696092306476962,0,0,0,0,0,0
X000625.SZ,0.113371377489307,0,0,0,0.209482224907663,0,0,0,0,0,0,0,0,0,0,0,0.109724439168937,0,0,0,0,0,0,0,0,0,0,0.0948656818972766,0,0,0,0,0.0507938039378426,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0257886969183051,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0.387560148319927,0.132765683397032,0,0,0,0,0,0,0,0,0,0,0,-0.0351346711123082,0,0,0,0.0104963803736062,0,0,0.00771955889114342,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0495042421975913,-0.00217990636266741,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0.123687485136721,0,0,0,0.0538281876243882,0,0,0.113924685751033,0.190089865056696,0.0457980882413784,0,0,0,0,0,0,0,0,0,0.0404075904949975,0,0,0,0,0,0,0,0.0433322663769594,0,0,0,0.0231735047898954,0,0,0,0,0,0,0,0,0.0270293416601907,0,-0.0395324202017742,0,0.127527944729278,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0.0230505578992415,0,0,0,0.1543789416477,0.0150785439400837,0,0.0986235476629414,0,0,0,0,0,0,0.0429952808651529,0.0477808764070569,0,0,0.0500695368538897,0,0,0,0,0,0,0,0.0062421109920881,0.107645732028181,0,0,0.0387867251406243,0,0,0,0,0,0,0,0,0,0,0,0.0230799829040455,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0
X600690.SH,0.255182609889153,0,0.187296520652088,0.0538629724975852,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.113017806868925,0,0,0,0,0,0,0,0,0,0.03830658690569,0,0,0,0,0.143570870813489,0,0.0281839049432261,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394040920892122,0,0,0,0,0,0,0
