,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X000725.SZ,X002371.SZ,X300014.SZ,X600031.SH,X300124.SZ,X002129.SZ,X003816.SZ,X002241.SZ,X002049.SZ,X000063.SZ,X000338.SZ,X600703.SH,X000596.SZ,X300142.SZ,X002179.SZ,X601877.SH,X000625.SZ,X600460.SH,X600089.SH,X000100.SZ,X000661.SZ,X600741.SH,X002180.SZ,X002074.SZ,X600522.SH,X000733.SZ,X000157.SZ,X600884.SH,X600702.SH,X002236.SZ,X000799.SZ,X600584.SH,X601799.SH,X002176.SZ,X600563.SH,X002008.SZ,X002414.SZ,X600779.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.358785083520991,0,0,0,0,0,0.136825895608568,0.0202813512424004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117756801045753,0,0,0,0,0,0,0,-0.0293748385446139,0,0,0,0,0,0,0,0,0,0,0,0,-0.01643662051777,0,0,0,0.0996545445914224,0,0,-0.00505286613287785,0,0,0,0,0,0,0
X000858.SZ,0.0575477654957262,0,0,0.0307120481804124,0.175492170613699,0,0,0.191474088955562,0,0,0,0,0,0,0,0,0,0,0,0,0.0425709227098287,0,0,0,0,0,0,0.0613142440997045,0,0,0,0,0,0,0,0,0,0,0,0.153577644316361,0,0,0,0.0868172584368233,0,0,0,0,0,0,0,-0.000970878200053389,0.00567839020583997,0,0,0,0,0,0
X002415.SZ,0.0342078774004447,0,0,0.0842134159477979,0,0.0891656331393257,0,0,0,0,0,0,0,0,0,0.118049930064404,0,0,0,0,0,0,0,0,-0.0470992473406388,0,0,0,0,0,0,0.135911352926367,0,0.0692185930626902,0,0.02865012403629,0,0,0,0.0114495624205174,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0669921646026033,0,0,0.0322810765382445,0,0
X600809.SH,0.00204158681688091,0,0,0,0.44501113388162,0,0,0,0.146007132777742,0,0,0,0.0364238677066747,0,0,0,0,0,0,0,0,0,0,0,-0.03783142983899,0,0,0,0,0,0,0,0,0,-0.0314016799661625,0,0,0,0,0,0,0.119015886547638,0,0,0,0,0,0,0,-0.0969099477982824,0,0,4.33680868994202e-19,0,0,0,-0.0255904736198474,0,0
X000568.SZ,0.135494523479333,0.257588299751923,0,0.0404850216881098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.196894714529358,0,0,0,0,0,0,0,0,0,0.103321098228702,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0443082853787895,0,0,0,0.00679356173994883,0,0
X002475.SZ,0,0,0,0,0.02397600133837,0,0,0,0,0,0,0,0.280929805808559,0,0,0,0,0,0.303661304945014,0.0476992490106633,0,0,0,0,0,0,0,0,0,0,0,0,0.0114171874929644,0,0,0,0,0,0,0,0,0,0,0,-0.0476421876859883,0,0,0,0,0,0,-0.0141338661394826,-0.0317607349626266,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.102036867597361,0,0,0.271912680697982,0,0,0,0,0,0,0,0,0,0,0,0,0.213848268405285,0,0,0,0.0426548614528628,0,0,0,0,0,0,0.0364177466273083,0,0,0,0,0,0,0,0,0,0,0,0,-0.0404109588817115,0,0,0,0,0,0,0.0162531857770458,-0.0323962173091563,0,0,0,-0.0168061794809069,0,0
X600690.SH,0,0.104059560420992,0,0,0,0,0,0,0.0416348053701996,0,0,0,0,0,0,0,0,0,0,0,0.00862174116461863,0,0,0.204071394726104,0,0,0,0,0,0,0,0,0,0.0669824367399655,1.35525271560688e-20,0.0848470529609402,0,0,0.038288549402841,0.0291365933947822,0,0,0.00347929566848412,0,0,0,0.144154753470894,0,0,0,0,0,-0.0135908283092859,0,0,0,0,0,0
X002304.SZ,0.081078571082008,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066897126771996,0,0,0,0,0,0.0075025622889752,0,0.279415612558928,0,0,0,0,0,0,0,0,0.0990038380356791,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.197140786028232,0,0,0,0.00832340176262428,0,0,0,0.0442132515570409,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.0432584667170633,0.107147066695755,0,0,0,0,0,0.201409501741778,0,0,0,0.0342853994614467,0,0,0,0,0,0.131065590113515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00475362722523992,0,0
