,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X600690.SH,X002415.SZ,X000651.SZ,X003816.SZ,X600809.SH,X000568.SZ,X002371.SZ,X000725.SZ,X600104.SH,X600031.SH,X300124.SZ,X000625.SZ,X000063.SZ,X002304.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X000100.SZ,X300014.SZ,X002241.SZ,X002463.SZ,X600089.SH,X000157.SZ,X600372.SH,X600066.SH,X600584.SH,X002028.SZ,X600703.SH,X600741.SH,X000977.SZ,X002236.SZ,X600418.SH,X600522.SH,X600183.SH,X601877.SH,X002049.SZ,X000921.SZ,X000800.SZ,X601799.SH,X600487.SH,X002180.SZ,X002294.SZ,X002074.SZ,X000661.SZ,X002129.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0832649576224433,0,0,0,0,0,0,0.106901044850455,0.172100552383562,0,0,0,0,0,0,0,0,0,0.0331674765988384,0,0,0,0.00668064735910746,0,0,0,0,-0.0196769510604891,0.154496119581058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0104510125952212,-0.0985107739108132,0,0,0,0,0,0
X000858.SZ,0.234119088752324,0,0.0788582307601559,0,0,0,0,0,0.243151683483729,0.116882062067076,0,0,0,0,0,0,0,0,0,0.0831843986732327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00515151870310844,0,0,0.016320116404499,0,0,0,0,0,0,0,0,0,0,0,0.0116353488604039,-8.67361737988404e-19,0,0,0,0,0
X600276.SH,0,0,0,0,0.0225703583701575,0,0,-0.040095018616347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00942551188026959,0,0,0,0,0,0,0,-0.0458295813828663,0.318646156828871,0,0.160913892524677,0.0454164057986095,0,0,-0.0317850412921056,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00331660973511362,0,0,0,0,0,0,0,0,0.292331186630602,0.108769267065026,0,0,0,0,0.25894927028308,0,0,0,0,0,0.0152176346815961,0,0,0,0,0,0,0,0.0771223661396751,0,0,0,0,0,0,0,-0.0342635806174299,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0.319920081106686,0,0,0,0,0.0615295806561362,0,0,0,0,0,0,0.0986723657428264,0,0,0,0.114871207611041,0.00343939261621129,0,0,0,0,0,0,0,0,0,0,0,0,0.0435170819977309,0,0,0,0.27500801330758,0,0,0,0,0,0,0,0,0,0,-0.0190267511304752,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.103629531405033,0,0,0,0,0,0,0,0,0.103580920932196,0,0,0,0,0,0,0,0.0421009208219402,0,0.0447718614004355,0,0,0,0,0,0,0,0,0,0,0.0266699010056244,0.0387084423486303,0,0,0,0.174798927956921,0,0,0.0810600502474848,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.186052670839991,0,0,0,0,0.066657847869342,0,0,0,0,0,0,0,0,0,0,-0.0255820211711332,0,0,0,0.000637564972215772,0,0,0,0.0346642434242767,0,0.0612355296789621,0,0,0,0,0,0,0,0,0,0.0845677676735788,0,0,0,0,0,0,0,0,0,0,0,0,0.0125412664659304,0,0,-0.0112947520260957,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.278232892934655,0,0,0,0,0,0,0,0,0,0,0,0,-0.0869983561532856,0,0,0,0,-0.0870979294944842,0,-0.0470517988100689,0,-0.128381964295422,0,0,0,0,0,0,0.118092559938152,-0.144897698363634,0.110060852685074,0,0,-0.0272082184308299,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0.345780390929735,0,0,0,0,0,0,0,0,0,0.399545066091294,0,0,0,0,0,0,0,0.161935626382777,0,0,0,0,0,0,0,0.0473073539328734,0,0,-0.0209250139727853,0,0,0,0,-0.0427477959598589,0,0,0,0,-0.0496143988649324,0,0,-0.0044631297714951,0,0.0198429542976995,0,0,8.67361737988404e-19,0,0
X000568.SZ,0.110142705881898,0.148596222192817,0,0,0,0,0,0,0.494768731002135,0,0,0,0,0,0,0,0,0,0,0.0814084028916396,0,0,0,0,0,0,0,0,0,0.0874055198330453,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0783581833276339,0,0,0,0,0,0,0,-0.0316432077756681,0,-0.0632857631178704,0,0,0,0,0
