,X600519.SH,X000858.SZ,X000651.SZ,X600104.SH,X600276.SH,X002415.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X600741.SH,X600809.SH,X000596.SZ,X000661.SZ,X600703.SH,X601877.SH,X000100.SZ,X300142.SZ,X002236.SZ,X000157.SZ,X002007.SZ,X600271.SH,X300003.SZ,X002008.SZ,X300124.SZ,X002179.SZ,X002506.SZ,X000625.SZ,X600498.SH,X600183.SH,X600487.SH,X002371.SZ,X000977.SZ,X600177.SH,X600867.SH,X300014.SZ,X002241.SZ,X000066.SZ,X000050.SZ,X600066.SH,X600776.SH,X600522.SH,X300146.SZ,X002129.SZ,X002049.SZ,X600089.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.216783398480192,0,0,0,0,0,0,0,0,0,0,0.0075748277441369,0,0.0388832407536199,0,0,0,0.00965281977258115,0,0,0.0370006520915773,0.149587771363748,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0570953701081727,0,0.000883901057573812,0,0,0,0,0,0,0,0,-0.014346110140007,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.205799627787834,0,0.391593766580692,0.0662543633667488,0,0,0,0,0,0.0682233417857765,0,0,0,0,0,0,0,0,0,0,0,0,0.0701149505406086,0,0,0,0,0.0572389489426325,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0152378862290472,0,0
X000651.SZ,0,0.138847549695401,0,0,0,0,0,0.12532276012657,0,0,0,0.0210216221999908,0.194936117661984,0,0.0370970072910457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0259496538223705,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0234355879421085,0,0,0,0,0,0,0
X600104.SH,0,0,0.113866049620969,0,0,0.0223599495460573,0,0,0,0,0,0,0,0,0.17176638595418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.265249255350968,0,0,0,0,0,0,0,0,0,0.00999306297974442,0.0027430696664015,0,0,0,0,0,0,0,0,-0.0073912126086979,0,0,0,0,0.00331240189878484,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.24973699666243,0,0,0,0,0.120454866378991,0,0,0,0.0707998511213711,0,0,0,0,0,0,0,0,0,0.0435606133696464,0,0,0,0,0,0,0,0.0592097890783079,0,0,0,0,0,0,0,0,0,0,0,-0.0236351485998358,0,0,0,0,0.00979830892917168,0,0
X002415.SZ,0,-0.0520529492229918,0,0,0,0,0,0,0,0,0,0,0.379793835671015,0,0,0,0,0,-0.0883727129099043,0,0,0,0.566259635591351,0,0.0231558554659593,0,0,0,0,-0.0433471334068343,0,0.0181766858861798,0,0,0.121863476054788,0,-0.129806442509745,0,0,0,0,0,0,0,0,0,0.0433742295330207,0,0,0,0,-0.00155845779696368,0,0,0,0,0.00986717868011743,0,0
X002304.SZ,0,0.339771597984148,0,0,0,0,0,0,0,0,0,0,0.107379744982762,0,0,0,0.0876955793672229,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0496392430605438,0.00925500307339189,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,-0.0250489043485053,0,0,0,0.0309824879957866,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0.0867054533877798,0,0,0.131895555902679,0,0,0,0,0,0.0297698066350567,0,0,0,0,0,0,0,0,0,0,0,0.134690505580488,0,0,0.0882268954319699,0,0,0,0,0,0,0,0,0,0,0.214701937486929,0,0,0,0,0,0,-0.0216761270572147,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0390111171040113,0,0,0,0,0,0,0,0.119138932718457,0,0,0,0,0,0,0,0,0,0,0,0,0.109356082919974,0,0.0614555721090126,0,0,0,0,0.0724137018829032,0.396884584631062,0,0,0,0,0,0.0100495382500865,0,0,0,0,0,0,0,0.0112943649481519,0,0
X000568.SZ,0,0.233108461410496,0,0,0,0,0,0.0262949144454817,0,0,0,0,0,0,0,0.196263561577163,0.00837908414297997,0,0.0667064615095615,0,0,0.0215009257106878,0.0147860050624028,0,0,0,0,0,0,0,0,0.055503453099951,0,0,0,0,0,0,0,0.0400985589231122,0.144173547437027,0,0,0,0,0,0,0,0,0,0,-0.0249400114516762,0,0,0,0,0,0,0
