,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X600276.SH,X000858.SZ,X002304.SZ,X000725.SZ,X600690.SH,X000063.SZ,X600031.SH,X000568.SZ,X000338.SZ,X002475.SZ,X600703.SH,X600741.SH,X601877.SH,X300003.SZ,X600271.SH,X002236.SZ,X300124.SZ,X002007.SZ,X002008.SZ,X600487.SH,X000100.SZ,X600809.SH,X600498.SH,X000661.SZ,X300146.SZ,X600867.SH,X000625.SZ,X002179.SZ,X300142.SZ,X000596.SZ,X000157.SZ,X600566.SH,X002456.SZ,X600177.SH,X600066.SH,X600089.SH,X002180.SZ,X002506.SZ,X600372.SH,X600522.SH,X300136.SZ,X002294.SZ,X002241.SZ,X600699.SH,X000977.SZ,X600201.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.750864266685612,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0724592726247447,0,0,0,0,0,0,0,0,0,0.106649417565429,0,0,0,0,0,0,-0.0257787358642561,0,0,0,0,0,0,0,0,0,0,0.00656335722290471,0.00283489045916912,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.0290641061692297,0,0,0,0.193550866726284,0,0.0858685997976787,0,0,0.271257461678092,0,0,0,0,0,0.0603155368761312,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.000390569754460455,0,0,0,0,0,0,0
X002415.SZ,0,1.0842021724855e-19,0,0,0,0,0,0,0,0.079844425254786,0,0,0,0,0,0,0,0,0,0.679892438839041,0,0,0.10084182533226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351355492374635,0,0,-0.013768372103723,0,0,0,0,0,0,0
X000651.SZ,0.148535959379882,0,0,0,0,0.105162393484574,0.114812709278673,0,0.147276651877075,0,0,0,0,0,0,0.082079528285176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00436702705853488,0,0.00108291707754969,0,0,0,0,0,0,0
X600276.SH,0,0,0.106406477348292,0,0,0,0,0,0,0.0721355371962709,0,0,0,0.0123699695509867,0,0,0,0.415346392087965,0,0,0,0,0.00693648788282081,0,0,0,0,-2.71050543121376e-20,0,0.0639869963588627,0,0,0,0,0,0.0533688746412376,0,0,0,0,0,0,0,0,0.0123747170948251,0.0136928479114803,0,0,0,0,0,0.00281881461267865,0,0,0,0,0,0,0
X000858.SZ,0.279889045356657,0.0353466135252929,0,0,0,0,0.263855256621322,0,0.0609222321029845,0,0,0,0,0,0,0.0651048539741396,0,0,0,0,0,0,0,0,0,0.157649190957389,0,-0.00506039377042756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00256912800756976,0.0307429127826191,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0.287411280830662,0,0,0,0,0,0.0520927519714608,0,0,0,0,0,0,0,0.398874532708936,0,0,0.0240730609342636,0,0,0,0,0.267557426095162,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0400176482712879,0.0138301121518719,0.0324446847391408,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0657000676861405,0,0,0,0,0,0,0,0,0,0,0,0,0,0.163776803519308,0,0,0,0,0,0,0.0848149794634854,0,0,0,0,0,0.225049742493603,0,0,0,0.0693323193529021,0,0,-1.38777878078145e-17,0,0,0.0543268313995766,0,0,0,0,-0.0121066678856968,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.325052572965788,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6.93889390390723e-18,0,0,0,0.0530509190170341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.14260842132647,0,0,-0.00311725770872219,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.227609561136598,0,0,0,0,0,0,0,0,0,0.145738425552582,0,0,0.440201540276546,0,0,0,0,0,0.0494148914336152,0,0,0,0.108302915016208,0,0,0,0,0,0,0,0.0155970272799153,0,0,0,0,0,0,0,-0.0487153299687062,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309559222623749,0.0610988309288317,3.46944695195361e-18,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0.172514407310939,0,0,0,0,0,0,0,0,0.0244167297469979,0,0,0,0,0,0,0.276880446151528,0,-0.0239567142345465,0,0,0,0,0,0,0
X000568.SZ,0.193127137962966,0,0,0,0,0,0.207414519339409,0,0.098656521213373,0,0,0,0,0,0.111622721905241,0,0,0.0930060853881691,0,0,0,0,0,0,0,0.0476638945785302,0,0,0,0,0,0,0,0.0655823820140258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0291338495167485,0.0366540360790046,0,0,0,0,0,0
