,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X002304.SZ,X000625.SZ,X600276.SH,X600690.SH,X000063.SZ,X600031.SH,X600372.SH,X000338.SZ,X002241.SZ,X000157.SZ,X600741.SH,X600703.SH,X600089.SH,X000100.SZ,X002236.SZ,X000581.SZ,X601877.SH,X000559.SZ,X000550.SZ,X002475.SZ,X600118.SH,X000050.SZ,X000568.SZ,X600066.SH,X002294.SZ,X600839.SH,X600271.SH,X002456.SZ,X002129.SZ,X000869.SZ,X000400.SZ,X000623.SZ,X002007.SZ,X300124.SZ,X300003.SZ,X000800.SZ,X002038.SZ,X600867.SH,X002292.SZ,X600177.SH,X000977.SZ,X600435.SH,X002465.SZ,X002049.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0,0.0606884703935389,0,0,0,0,0,0,0,0,0.103385240053507,0.0810426014025292,0,0,0,0,0,0.105187884102634,0,0,0,0,0,0,0,0.0314107851777326,0,0.0250657122003288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0616025609376106,0,0,-0.00874123448674268,0.0430123613733773,0,0,0,0,0,0
X600519.SH,0.0244271394491019,0,0,0,0,0.133706810146934,0.112718916609067,0,0,0,0,0,0,0,0,0,0.173391615477533,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.1459489706787,0,0,0,0,0,0,-0.0684370851829921,0,0,0,0,0,0,0,0,-0.102375698211499,0,0.0163396182892088,0,0.0103366260679261,-0.0249516978264115,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00389723494090287,0.25996501548256,0,0,0,0.128802720220803,0,0,0,-0.0213872265470732,0,0,0,0,0,0,0,0,0,0,0,0,-0.0971247747809745,0,0,0.0181237570211241,0,0,0,0,0,-4.33680868994202e-19,0,0.0140993573890044,-0.0147075481464395,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.175282269528658,0,0,0,0,0,0,0,0,0,0.00881701020653675,0,0,0,0,0.180074502496342,0,0,-0.038031953779496,0,0,0,-0.0139103064783999,0,0,0,0,0,0,0,0,0,0,0.082265260783383,0,0.0298059500455882,0,0,0,0,0,0,-0.00200334341219424,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.216438329619364,0,0,0,0.0203766686931226,0.0448703588818874,0,0,0.260336570207059,0,0,0,0,0,0,0.0635586031963454,0,0,0,0,0,0,0.126279897008523,0,0,0,0,0,0,0,0,0,0,0,0,-0.0665570390952968,0,8.67361737988404e-19,0,-0.0077703098046983,0.0178885858878581,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0.00910251360556186,0,0,0,0,0.0311033696485455,0.0339290054010699,0,0,0,0,0,0,0,0,0,0,0.101314137692009,0.153768592506458,0,0,0,0.164857632421201,0,0,0,0,0,0,0.126714067873889,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00199305269336536,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.16345271577847,0,0,0,0,0,0,0.0944864783952241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.125891584041823,0.205998212581575,0,0,0,0,0,0,0.0808457626528106,0,0,0,-0.000389264519525563,0,0,0.097431298989459,0,0,0,0,0,0,0,0,0.00390568126668287,0.0493906174280753,0,0,0,0,0,0
X000625.SZ,0.188943303994629,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0245103024783462,0.214294408120323,0,0,0.0104187564804767,0,0,0,0,0,0.093743467725611,0,0,0,0,0,0,0,0.0200291925432978,0,0,0,0,0,0,0,0,0,0,0,0.0646294398436758,0,0,0.0495159451568934,0,-0.00646564681524558,-0.00220481161575826,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.132786186876476,0,0,0,0,0.146544293736606,0,0,0,0,0,0,0,0,0.0266827094054672,0,0,0,0.0113697308751078,-0.00240999549690546,0,0,0,-0.0570019299790752,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0.0489428258281949,0,0,0,0,0.0280108528731825,0,0,0.164998592093525,0.126517316821125,0,0,0,0,0,0,-0.00581000894100815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0878986478807334,0,0,0,0,0.109480781763769,0,0,-0.0301387314825145,0.108724028579498,0,0,0,0,0,0
