,X600519.SH,X600104.SH,X000725.SZ,X000651.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600690.SH,X600276.SH,X000063.SZ,X600703.SH,X000100.SZ,X600271.SH,X600031.SH,X600118.SH,X002292.SZ,X000338.SZ,X000157.SZ,X600089.SH,X600372.SH,X002241.SZ,X600741.SH,X600066.SH,X002236.SZ,X600177.SH,X601877.SH,X002475.SZ,X300124.SZ,X000016.SZ,X002129.SZ,X600582.SH,X000559.SZ,X002456.SZ,X300003.SZ,X000568.SZ,X600839.SH,X002276.SZ,X002294.SZ,X600435.SH,X002223.SZ,X000066.SZ,X000869.SZ,X000550.SZ,X000581.SZ,X000623.SZ,X002008.SZ,X600312.SH,X600060.SH,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0518122498034114,0,0,0.0425186249084481,0.10508683888592,0,0,0.08972706448943,0,0.13430753575856,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00590565161243572,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0.045482642343328,0,0,0,0,0,0,0,0,0,0,0.00768177677772123,0,0,0,0,0,0,0
X600104.SH,0.0714983053729704,0,0,0,0.0836349182555626,0.25008155512263,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.2002120478845,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939799557185403,0,0,0,0,0,0,0,0,0,0,-0.00172599466545337,0.00705860516768588,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0.174654763715667,0,0,0,0.204119858229887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0395978307729618,0,0,0.0397371455004435,0.109136726967564,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,-0.0158135402324345,-0.00641679353415736,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.101318608959964,0,0.00562259398503899,0,0,0,0,0.04936899433663,0,0,0,0,0,0,0.0675063612289458,0,0,0.460721630140825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0243496148399488,0.00419539164041642,0,0,0,0,0,0
X002415.SZ,0,0,0,0.00403507559845287,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.215152916203802,0,0,0,0.10349319028085,0,0,0,0,0,0,0,0.092499858124494,0,0,0,0,0.042862717374098,0,0.0400606394558396,0.11082350490575,0,0,0,0,0,0,0,0,0,0,-0.0149858841330612,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.250574721185234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.107775292791547,0,0,0,0,0,0,0.0791816000937736,0,0.0554301719853863,0,0,0,0,0,0,0,0,0,0.110195404328192,0,0,0,0,0,0,0,0,0,0,0,0.000506685026103458,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.212432671785915,0,0,0,0,0,0,0,0,0,0,0,0.226634714850169,0,0,0,0,0,0.0494780187203701,0,0,0,0,0,0,0,0,0,0,0,0.490970603116514,0,0,0,0,0,0,0.00239644987991003,0,0,0,0,0,0,0,0,-0.0104475884297036,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0.0240961033383932,0,0,0.0111986398910425,0,0,0.131482019125493,0,0,0,0,0.0793748756892737,0,0,0.0557344329493107,0,0.117326613974469,0,0,0.125466916635141,0,0,0,0,0,0,0,0,0,0.131301268623411,0.00450955108409259,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0.137788219710631,0,0.219340499718437,0,0,0.0586973730647453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034521731518382,0,0,0,0,0,0,0.16408610184301,0,0,0,0,0,0,0,0.152265320338349,0,0,0,0,0,0,0,-0.0109791494633493,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0795502760910858,0,0,0,0,0,0,0.121221383744373,0,0,0.0946385743602706,0,0,0,0,0,0,0,0,0,0,0.0815943704927632,0,0,0,0,0,0,0.00896431584034291,0,0,0,0,0.0754257771868335,0,0,0,0.0323536283173847,0,0,0,0,0,0
