,X600519.SH,X000858.SZ,X002415.SZ,X600104.SH,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X000063.SZ,X600690.SH,X600031.SH,X002475.SZ,X000338.SZ,X000568.SZ,X600741.SH,X600703.SH,X601877.SH,X000100.SZ,X600271.SH,X000596.SZ,X600809.SH,X000661.SZ,X002236.SZ,X300124.SZ,X300003.SZ,X002008.SZ,X000625.SZ,X002007.SZ,X600487.SH,X002456.SZ,X600776.SH,X600498.SH,X600867.SH,X300142.SZ,X000157.SZ,X002180.SZ,X000977.SZ,X000050.SZ,X300146.SZ,X600177.SH,X002241.SZ,X002179.SZ,X002371.SZ,X600066.SH,X600522.SH,X600089.SH,X000066.SZ,X600118.SH,X600372.SH,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.21918424506619,0,0,0,0.00916105496565902,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0166226493657874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0815855129332592,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131472157128025,0,0,0,0,0,0,0
X000858.SZ,0.122561764019008,0,0,0,0,0,0.177855943938786,0,0,0,0,0,0,0.316487262029115,0,0.00403336016005342,0,0,-0.00545835401298918,0.0634861780956795,0.131647783610142,0,0.0689981967644548,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00233703600810137,0,0,0,0,0,0,0,0,0,0,-0.00654112415403199,-0.0156981014891303,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0.00337391301310725,0,0,0,0,0,0.0403026277064375,0,0,0,0,0,0,0,0,0.478703814341661,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0182280252087533,0.00478792956548546,0,0,0,0,0,0
X600104.SH,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.212278645800803,0,0,0,0,0,0,0,0,0.0663518048217605,0,0.0879012082695005,0.0121199798146474,0.101580273018749,0,0.0446149664868948,0,0.0673956312354832,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.0708384491836542,0,0,0,0,0,0,0,0,0,0.0211191133902951,0,0,0,0,-1.73472347597681e-18,-0.0771446330633058,0,0,0,0,0,0
X000651.SZ,0,0.253146095638548,0.0440742709423852,0,0,0,0,0,0,0.174603162026325,0,0.00394085006698884,0,0,0,0,0,0,0,0,0,0,0.0600741114836366,0,0,0,0,0,0,0,0.00379213226869552,0,0,0,0,0,0,-6.7762635780344e-21,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00790669845609278,0.00472922707129067,0,0,0,-0.00593661237278127,0,0
X600276.SH,0,0,0,0,0,0,0.0169329120929901,0,0,0,0,0,0,0.0531471336878098,0,0,0,0,0,0.05349816586113,0.135912123487425,0.0282843304178939,0,0,0.0419211612080257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0359465040678333,0.0590338222604981,0,0,0,0,0,0
X002304.SZ,0,0.317587718680535,0,0,0,0,0,0,0,0,0.114365564300493,0,0,0.27867696876542,0,0,0,0,0,0.0358585883401045,0,0,0,0,0,0,0,0.0523077655882199,0,0,0.00651307695296961,0,0,0,0,0,0,0.00818806017612465,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0023777972964231,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.146818277634337,0,0,0,0,0.0649414616537854,0,0.0706535207858737,0,0,0,0,0.138246173320424,0,0,0.0470411007366704,0,0,0,0,0.109061878713649,0,0,0,0.119952663667874,0,0,0,0,0,0,0,0,0,-0.0220218196999402,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.182223763580876,0,0,0.00843442082348062,0,0,0,0,0,0,0,0,0,0,0,0,0.339647692785135,0.0637627324112574,0,0.257864412669658,0,0,0,0,0.131930653825159,0,0,0,0,0.0754398937718416,0,0,0,0,0,0,0,0,0,-0.00958990592538702,-0.00369333360747558,0,0,0,-0.00229816990571286,0,0
X600690.SH,0,0.212576118766743,0,0.125877670341563,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0772568064337012,-0.0238508443430718,0,0,0,0,-0.0608635521949123,0,0,0,0,0,0,0.432675108428297,0,-0.0146835342753569,0,0,0,0,0,0,0
