,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000625.SZ,X000063.SZ,X600690.SH,X600703.SH,X600031.SH,X600741.SH,X000568.SZ,X000338.SZ,X002475.SZ,X600066.SH,X002241.SZ,X000100.SZ,X002236.SZ,X600118.SH,X600271.SH,X002456.SZ,X601877.SH,X600177.SH,X000157.SZ,X600372.SH,X300124.SZ,X002085.SZ,X002007.SZ,X600089.SH,X000981.SZ,X002294.SZ,X300003.SZ,X600699.SH,X600522.SH,X600867.SH,X002508.SZ,X000559.SZ,X002180.SZ,X000066.SZ,X002292.SZ,X600498.SH,X002074.SZ,X002426.SZ,X300136.SZ,X000623.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.112805298340917,0.14098040742826,0,0,0,0,0,0,0,0,0,0.0770169504704337,0,0,0,0,0,0.20926493032861,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000227841959355987,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,-0.0401770992159815,0,0,0,0,0,-0.025067956310347,0.500057904447808,0,0,0,0,0,0,0,0,0,0.113006614124481,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.165501621649367,0,0,0,-0.0031146782031992,0.00408977157777178,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0304716431425074,0,0,0,0,0,0,0,0.0969072143077682,0,0,0,0.110906321891837,0,0,0,0,0,0,0,0,0,0,0,0.111360988463903,0,0.108813589409952,0,0,0,0,0.10791224730685,0,0,0,0,0,0,0,0.0725587190188123,0,0,0,0,0,0,-0.0291928915836688,-0.0134743361771729,0.015234929300682,0,0,0,0,0,0
X000651.SZ,0,0.0830558582324558,0,0,0,0,0,0,0,0.296015095813969,0,0,0.206440258868638,0,0,0,-0.0579722556819433,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0827837606875653,0,0,0.0130135216250215,0,0,0,0.328958377970042,0,-0.0733678338611036,0,0.0186714341123393,0,0,0,0,0,0
X000858.SZ,0.201407236573792,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.00453076047001054,0.213938557278946,0.295568272359884,0,0,0,-0.0119630815801355,0,0,0,0,0,0.0859298255570489,0,0,0,0,0,0,0,-0.0860858118720681,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0684144707896149,0,0,0,0.0112930498983358,-4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.0692729617887868,0,0,0,0,0,0,0.170244262101286,-0.0614530654963953,0,0,0,0,-0.148529212422909,0,0,0,0,0.0956286243461827,0,0,0,-0.011259885409948,0,0,0,0,0,0.00448691101394588,0.0718688106870086,0,0,0,0,0,0,0,0.0186737434847246,0,0,0,0,0.00688726602488012,0,0,-0.098547748701777,0.0173093127810662,-0.00128352261680406,0,0,0,0,0,0
X000725.SZ,0,0,0,0.14268714634028,0,0,0,0,0,0,0,0,0,0,0.0753299116338022,0.0611297588346743,-0.196247163682873,0,0.0207159130568731,0.289130499177465,0,0,0,0,0,0,0.0644107462015082,0,0,0,0,0,0,0,0,-0.0591173275265725,0,0,0,0,0,-0.0672357036263962,0.0726891773898514,0,0,0,0,0.0232729314032981,0,0,0.0237411261330526,-0.0427804762487953,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0.0789080690165454,0,0,0.0168041415881814,0.282578389982359,0.0501249303532323,0,0,0,0,0,0,0,0,0.0774401592869872,0.0607270836505796,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0484527278820908,0,0,0,0,0,0.0082671084461463,0,0,0.00960357612745866,-0.0040813573975353,0,0,0,0,0,0
X000625.SZ,0,0,0,0.118153037562052,0.0313927443663308,0,-4.33680868994202e-19,0,0,0.0591635534558424,0,0.0153382401717315,0.0668341694736214,0.283350948585336,0,0,0,0,0,0,0,0.012190943416515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.019265758696711,0,0,-0.0133358751382945,0.00587756741934766,0,0,0,0,0,0
X000063.SZ,0,0,0,0.122942724306798,0,0,0,0,0,0,0,0,0,0,0,0.186792247621841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0262061481114608,0,0,0,-0.0463284910840174,0.136034584456508,0,0,0,0.00311329616022119,0,0,0,0,0,0
X600690.SH,0,0,0,0.199932021142533,0,0,0,0,0.0459811414749586,0,0,0,0,0,0,0,0,0.149569078387686,0,0,0,0,0,-0.0108852948721553,0,0,0,0,0,0,0,0,0.0155064740057927,0,0,0,0,-0.0165199670580063,0,0,0,0,0,0,0,0,0,0,-0.0467573772132659,0,0.0096202380341058,-0.00585784698195342,0,0,0,0,0,0
X600703.SH,0,0,0.111683929787418,0,0,0,0,0,0,0,0,0,0.18612534997476,0,0,0,0,0,0,0,0.0590576995162937,0,0,-0.179254844018805,0.227805376905448,0,0,0,0,0,0,0.317915105249115,0,0,0,0,0,0.242076365844264,0,0,0,0,0,0,0,0,0,0,0,0.280052953485601,0.0256031995090109,-0.0196336146767327,0,0,0,0,0,0
X600031.SH,0,0,0,-0.000115720971053825,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.940019342885859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0155128546754171,0.00251870447777776,0.00645775573249557,0,0,0,0,0,0
