,X600519.SH,X000858.SZ,X600809.SH,X002415.SZ,X600276.SH,X000568.SZ,X600690.SH,X000651.SZ,X002475.SZ,X003816.SZ,X600104.SH,X002371.SZ,X000725.SZ,X000625.SZ,X300124.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X000063.SZ,X600031.SH,X000100.SZ,X000157.SZ,X300014.SZ,X002179.SZ,X600089.SH,X002463.SZ,X600372.SH,X600703.SH,X002236.SZ,X600066.SH,X600741.SH,X000977.SZ,X002241.SZ,X000921.SZ,X002028.SZ,X002049.SZ,X000661.SZ,X600584.SH,X600522.SH,X002129.SZ,X000800.SZ,X601877.SH,X600183.SH,X600566.SH,X002223.SZ,X601799.SH,X600418.SH,X600060.SH,X600177.SH,X002085.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.0631958456226963,0,0,0.197709972595943,0,0,0.0175768537336692,0,0,0.0221599894487293,0,0,0,0,0,0.0809370912629198,0,0,0,0,0,0,0,0.00477320143099029,0,0,0,0,0,-0.0402712429782021,0,-0.011748666958542,0,0,0,0.063851862790041,-0.048193286591404,0,0,0,0.0537898981184305,0,0,0,0,0,0,-0.0348872452184306,0,-0.00728217115395833,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.2744680607214,0,0,0,0,0,0,0,0,0,0,0,0.0722526040126232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0547124091765016,0,0.0561920506598539,0,0.0535244690175163,0,0,0.0404754543266762,0,0,0,0,0,0,0.0063146279889909,0,-0.0409363293703993,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.17711826155502,0,0,0,0,0,0.105602021618749,0,0,0,0,0.099997898825649,0.182270192858058,0,0,0,0,0,0,0,0,0,0,0,0.145598845179831,0,-0.0264029008442642,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0807393692625883,0.00238979370046276,0,0,0,-0.0344449121652803,0,0.038688664484239,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.150789461519558,0,0,0,0,0,0,0,0.0211409555773683,0,0,0,0,0,0,0.00122073543877951,0,0,0,-0.0173501348318725,0,0,0,0.100987820170634,0,0,0,0,0,0,0.06447224175405,0,0.0674161828948629,0,0,0.120686105691815,0,0,0,0,0,0,0,0,0,0,-0.0101198021308769,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0516789072998945,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0751711084841642,0,0,0,0,0,0.0877443194989755,0,0.113371957524294,0,0,0,0,0,0.069050675161428,0.0010604117605546,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.881021049716783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00992065681320809,0,0,0,0,0.0404224988510081,0,0,-0.0972347039945968,0.0282807046093392,0,0,0,0,0,0,0,0,0,0,0,0,0.0533498350046183,0,0,0,0,0,0,0,0,0,0,0,0,0.0238740371535541,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.0863990788190726,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0405006569634071,0,-0.057221786256527,0,0,-0.0388069412360817,0,0,0,0,0.130182356570601,0,0,0,0,0,0,0,0,0,0.0700601523730632,0,0,0.0232428989516293,0.0459799846565496,0,-0.0167621882185961,0,0,0,-0.0561489054984581,0,0,0,0,0
X000651.SZ,0,0,0,0,-0.078151847079326,0,0.034638764317487,0,0,0,0,0,0,-0.160077310603547,0.0748600890038315,0.0616837136240118,0,0.121331369151631,0,0,0.125253042722642,0,0,0,0.0530454657958607,0,0,0,0,0,0,0,0,0.184291989504711,0,-0.00710492837042849,0,0,0,0,0,0,0,0,0,0,-0.0256921202482164,0,0,0,0,0.00942982277766861,0.00231892156026729,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.150698633897166,0,0.0924156250497167,0,0,0,0,0,0,0.349321460250697,0,0,0,0,0.0497356791204045,0,0,0,0,0,0,0,0,0.0832573993746904,0,0,0.0251421436118339,0,0,0,-0.12164297674979,0,0,0,0,0
X003816.SZ,0,0,-0.0598805497804549,0,0,-0.249208525346467,0,0,-0.0161810953360948,0,0,0,0,0,0,0,0,0,0,0,0,0.165044780633141,0.0989173110756903,0,0,0,0,0,-0.0717595713264878,0,0,0,0,0.0803531537150073,0,0,0,0,0.0319773748397964,0,0,0,0,0.403922020344949,0,0,-0.0554428067680678,0,0,0,0,-0.0443591593445529,-0.0156369824308327,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0208498770453449,0,0,0,0.0606534579962733,0,0,0,0,0.0179015502343239,0,0,0,0,0,0,0.0481628693599664,0,0,0,0,0,0,0,0.0308823995591881,0,0.0196604656349017,0.0181961401593323,0,0,0,0,0,0,0,0,0.00783397276068653,0,-0.0119086183789823,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124546083450958,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.0844746043594229,0,0,0,0,0,0.0593822918022883,0,0,0.0702775202788198,0,0.136611505261435,0,0,0,0,0,0,0.00771544914736106,0,0,0,0,0.0145220165224083,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0.0708014847513393,0,0,0,0,0,0,0,0,0,0,0,0,0.103856819571687,0,0.0219709941370493,0,0,0,0,0,0,0,0.0465103608877115,0,0,0,0,0,0,0.0227835418221524,0,0,0,0.0677938925028208,0,0,0,0,0,0,4.33680868994202e-19,0,0,0.0156904904990182,0,-0.00744867023323175,0,0,0,0,0,0,0
