,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X000651.SZ,X600104.SH,X600809.SH,X003816.SZ,X002371.SZ,X000063.SZ,X000568.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X300014.SZ,X000100.SZ,X000596.SZ,X002241.SZ,X002179.SZ,X600418.SH,X000977.SZ,X002463.SZ,X600584.SH,X600089.SH,X000157.SZ,X600703.SH,X600372.SH,X600183.SH,X600066.SH,X002028.SZ,X600741.SH,X002049.SZ,X002236.SZ,X601877.SH,X600522.SH,X000066.SZ,X002156.SZ,X600839.SH,X000988.SZ,X600460.SH,X600487.SH,X002281.SZ,X600177.SH,X000661.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.175785898367715,0,0,0,0,0,0,0.0769319722708971,0,0,0,0,0,0,0,0,0.329396663450267,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312460445623844,0,0,0,0,0,0,0.00113647315248499,0.00309396129024643,0,0,0,-0.0266143794634212,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0270701308327891,0.16131869799256,0,0,0,0.254658116747532,0,0,0,3.46944695195361e-18,0.0818091351787771,0,0.0019154181693266,0,0,0,0,0,0,0,0,0,0.0577675022802903,0,0,0,0.008730963797257,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00785594857525254,0.0168638736414949,0,0,0,-0.0202792364912796,0,0
X002475.SZ,0,0,0,0.0347326238418904,0,0,0,0.0136995253461832,0,0,0,0,0,0,0.237237513047443,0,0,0,0,0.0339440380404213,0,0,0.216600431478235,0,0.00558194866274853,0.029444816858426,0,0,0,0,0,0,0.03707823409714,0.0358264283266833,0,0,0,0,0,0,0,0,0.0353754772398267,0,0,0,0,0,0,0,0,-0.0270368075601875,0.0148225638886348,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0110937328562838,0.0459237466391252,0,0.0403045810674239,0,0.261793723266993,0,0,0,0,0,0,0,0,0,0,0,0.150554873812196,0,0,0,0,0,0,0.0555572828440054,0,0,0,0,0,0,0,0,0,0,0,0.00851951130529797,0,0,0,-0.0595862767005384,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.100224398102651,0,0,0.0120316674528831,0,0,0.123214939234664,0,0,0,0,0.171313150496649,0,0,0.0256898648853345,0,0,0,0,0,0,0,0,0,0.0258878703617946,0,0,0,0,0,0,0,0.0189832981271063,0,0,0.0168583375403428,0,0,0,0,0,0,0,0,0,0,0,0,-0.0480020206718571,0,0
X600690.SH,0,0,0.379398703828527,0,0,0,0.0658947665379687,-0.0258365479739055,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0601084491219196,0,0,-0.00228743515647268,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0166151301781851,0.0240839820750963,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00103897695580673,0,0
X000651.SZ,0,0,0.129826033852589,0,0,0,0,0,0,0,0,0,0,0,0.0876680314582926,0,0,0,0,0.0377369163099367,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0646623849950181,0,0,0,0,0,0,0,-0.0201520018683793,0,0,-0.0428968301959258,0,0,0,0,0,0,-0.0382385003795529,0.0416270802653584,0,0,0,-0.00399600382938231,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.396696179505869,0,0,0,0,0,0,0,0.116558987130869,0,-0.00457140548016464,0,0,0,0,0,0,0,0,0.487954390744024,-0.216079425490593,0,0,0,0,0,0.0416622891008695,0,-0.105115759283501,0,0,0,0,0,0,0,0.0545659279951972,0,0,0,0.0880286293249639,0,0
X600809.SH,0,0.0774297367025446,0,0,0,0,0,0.00897115055458751,0,0,0,0,0.514355317523995,0,0,0,0,0,0,0.0157383448943568,0,0.254944407729575,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X003816.SZ,0,0.00832972383940422,0,0,0,0,0,0,0,0,0,0,0,0,0.0417740950116893,0,0.0398968129862413,0,0,0,0,0.0185215110392839,0,0,0,0,0,0,0,0.151609617740401,0,0,0,0,0,0,0,0,0,0,0.00835530221318699,0,0.0406226240555996,0,0,0,0,0.0880582648814455,0,0,0,-0.03011220944471,0,0,0,0,-0.0151942406894396,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.27209306920005,0,0,0,0,0.0127079706259821,0,0,0,0,0,0.221329463618325,0.0264299423119727,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149622958307658,0,0.0155812757043088,0,0,0,0,0,0,0,-0.0110316772905226,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0.0914323905999095,0,0,0,0,0,0,0.224935012994722,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0.138074818890505,0,0,0,0,0,0,0.0602362871780507,0,0,0,0.33693382162546,0,0,0,0.110460806135304,0,-0.0220025664410796,0.0107684720102457,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0.442263058070266,0,0,0,0,0,0,0.279270920218152,0,0,0,0,0,0,0,0,0,0,0,0,0.168524087554832,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00768319488548233,0,0,0,0,0,0,0,0,0,-0.0120262350486497,0,0,0,0,0,0,0,0,0,-0.00898209819298726,0,0
