,X600519.SH,X000858.SZ,X000568.SZ,X002415.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X002475.SZ,X000651.SZ,X300124.SZ,X600104.SH,X600031.SH,X000725.SZ,X000063.SZ,X300014.SZ,X000596.SZ,X002129.SZ,X003816.SZ,X000625.SZ,X002371.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X600089.SH,X000661.SZ,X000100.SZ,X002180.SZ,X002241.SZ,X600702.SH,X601877.SH,X300142.SZ,X600741.SH,X000157.SZ,X600522.SH,X000977.SZ,X000733.SZ,X002074.SZ,X000799.SZ,X600584.SH,X600460.SH,X300003.SZ,X002236.SZ,X601799.SH,X000066.SZ,X600779.SH,X600884.SH,X002294.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.139216143096913,0,0.196371406570615,0,0.107268426227813,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0609400164418543,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00852917170583765,0,0,0,0,0,0,0
X000858.SZ,0,0,0.155053176878607,0.0667366832953616,0.297916530368438,0,0.377244015051329,0,0,0.019614482598973,0,0,0.0533592806055188,0,0,0,0,0,0,0.0283126928628223,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,-0.0435050282601064,0.0214692660450958,0,0,0,0,0,0
X000568.SZ,0,0.352604994600725,0,0.0727399596426987,0,0,0.339540473556041,0.215587035595057,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,3.46944695195361e-18,0,0,0,0,-0.0483560021205055,0,0,0,0,0,0,0,0,0,0,0.041071498352534,-0.0479305936608342,0,0,0,0.0218908680250263,-0.0229482676234436,0,0,0,0,0,0
X002415.SZ,0,0.182580961959589,0,0,0,0,0,0,0.0497813491611316,0,0,0,0,0,0,0,0,0,0,0,0.152292694717049,0,0,0,0,0,0,0,0,0,-0.0691984544859171,0,0,0,0,-0.0459924725742438,0.0363177612918691,0,0,0,0,0,0,0.186834514692022,0,0,0,0,0,0,0,0.0263076051667382,-0.0380304294590073,0,0,0,0,0,0
X600809.SH,0,0,0.208241086976014,0,0,0,0.146557958064423,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0246811905702629,0,0,0,0.285546437178589,0,0,0,0,0,0,0,0,0,0,0,0.0136388971309145,-4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0,0.0294540792488901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0370347495704417,0,0,0,0,-0.045001126075827,0.0357281994852743,0.0774030149816202,0,0,0.0365983029768223,0.00460529864532589,0,0,0,0,0,0,0,0.148666339546751,0.078351271192291,0,0.129226915272695,0,0,-0.0153065430675176,-0.00516781077860467,0,0,0,0,0,0
X002304.SZ,0,0.421110827136764,0.27905069075933,0,0,0,0,0,0,0,0,0,0,0,0,0,0.160050693808712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0375435586009614,0.0459410553185595,0,0,0,0,0,0,0,0,-0.0658888468238153,0,0,-0.0287652758484972,0,0,-0.0079793273888514,0.00744712800424075,0,0,0,0,0,0
X600690.SH,0,0,0.0783695853706013,0.0529077090702253,0.0143235249374277,0,0,0,0,0,0,0,0.22271143766705,0,0,0,0.0233975380985233,0,0,0,0.00185248752041962,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0238762406704166,0,0,0,0,0.0182636463943361,0,0.0289221045891576,0,0,0,0,0,0.00604065963535584,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0.0310900671255982,0,0,0,0,0.167228241523995,0,0,0,0,0.209180137689917,0,0,0,0,0,0,0,0,0.168867268041669,0,0.0499605253880895,0.0393023683718562,0,0,0.094243171591543,0,0,0,0,0,0,0,0,0,0,0.02796788130753,0,0,0,0.0504582856089165,-0.00109731769545676,-0.0194609847603272,0,0,0,0,0,0
X000651.SZ,0,0.168591965025074,0,0,0,0,0,0.183986969771644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0520448433153897,0.00464192340984375,0,0,0,0,0,0,0,0,0,0,0,-0.040866982653743,0,0,0,0,0,0,0.00527838465750227,-0.000414849938704429,0,0,0,0,0,0
