,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X000625.SZ,X002292.SZ,X600703.SH,X600690.SH,X002506.SZ,X002241.SZ,X000100.SZ,X000559.SZ,X600271.SH,X600031.SH,X600118.SH,X600066.SH,X600741.SH,X600372.SH,X002236.SZ,X000157.SZ,X002475.SZ,X000338.SZ,X300124.SZ,X600089.SH,X000568.SZ,X600177.SH,X002049.SZ,X002465.SZ,X002456.SZ,X601877.SH,X002074.SZ,X002129.SZ,X300003.SZ,X000977.SZ,X002294.SZ,X600498.SH,X002426.SZ,X600867.SH,X000869.SZ,X600582.SH,X002085.SZ,X300001.SZ,X002276.SZ,X300146.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0.0055036424635733,0,0.0418493832508543,0.0414052570028582,0.035597912779397,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0506506199632304,0.124896421731835,-0.0275376192473613,0,0,0,0,0,0,-0.00561419757607136,0,0,0,0,0,0,0,0,0,0,0,0,0.00206424952910161,0,0,0,0,0,0
X600104.SH,0,0,0,0.0247296186763223,0,0,0,0,0,0,0,0,0,0,0.123873437253847,0,0,0,0,0,0,0,0.102426482876085,0,0.117483132613486,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0274649737202508,0,0,0,0,0,0.0182198507928501,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.054790043126481,0,0,0,0,0,0.0469827035290163,0,0,0.165365567006925,0,0,0,0,0.0633385376277903,0.285085906350122,0,0,0.00313280296005924,0,0.0417949034764851,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.04403865663797,0,0,-0.013122026021722,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.179001088690828,0,0,0.055906487620237,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127019125415796,0,0,0,0,0,0.157877198115274,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155211916992961,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0466807120260949,0,0,0.0233196948284146,0,0,0,0,0,0,0,0.0693637180241995,0,0,0.131755335799303,0,0,0.058799888506608,0,0,0.0941113422537139,0,0.012369151182296,0,0,0,0,0,0,0,0.0183444824689076,0,0,0,0,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.00845180923580932,0,0,0.0138369881438111,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0775406171006854,0,0,0.0151911869086141,0,0.0103028306166443,0.101953574282936,0,0,0,0,0,0,0.0718295200249564,0,0,0,0.0247543618776682,0,0,0,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0729333103286596,0,0,0,0,0.00943468742360709,0,0,0,0,0,0,0,0,0,0,0.0568026564085548,0,0,0,0,0,0,0,0,0,0.0816503587226176,0,-0.0860176937735026,0,0,0,0,0,0,0,0.0949928587486859,0,0,0,0,0,0,0,0,0.0211417081541986,0,0.0097677874880721,0.000869745164363935,0,0,0,0,0,0
X600276.SH,0,0,0,0.0172599962978053,0,0,0,0,0,0.0848278174650503,-0.00622667649665243,0,0,0,0,0,0.00464664263460431,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0697562798246692,-0.0399486585675118,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0.160289342186737,0,0,-0.0111388400321888,0,0,0,-0.0230421139706524,0.0098375418369858,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01382457710173,0,0,0,0,0,0,0,0.106283167158014,0,0,0.127455345907714,0,0,0,0,0,0,0,0.0750779250860268,0,0.262156026395023,0,0,0,0,0,2.16840434497101e-19,0,0.115048854314885,0,0.0206591918345139,-0.00445184515449261,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.21485203720989,0,0,0,0,0,0.105553423071717,0,0,0,0,0,0,0,0.0937121145096431,0,0,0,0,0.0585282029707758,0,0,0.040447354993103,0,0,0,0,0,0,0,0,0,0,0,0.00589766638716429,0,0,0,0,0,0,0
