,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600276.SH,X600690.SH,X000651.SZ,X600104.SH,X000725.SZ,X600031.SH,X300124.SZ,X300014.SZ,X003816.SZ,X002241.SZ,X002371.SZ,X002129.SZ,X000063.SZ,X000338.SZ,X000596.SZ,X600703.SH,X002049.SZ,X000625.SZ,X601877.SH,X002179.SZ,X600741.SH,X000100.SZ,X300142.SZ,X600089.SH,X600460.SH,X000661.SZ,X002074.SZ,X002180.SZ,X600702.SH,X000157.SZ,X600522.SH,X002236.SZ,X000733.SZ,X000799.SZ,X600884.SH,X002414.SZ,X002008.SZ,X600584.SH,X600779.SH,X000977.SZ,X002007.SZ,X601799.SH,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.588247794356789,0,0,0.0189480331170033,0,0.0259100549638491,0,0,0,0,0,0,0,0,0,0,0.0025418371657439,0.0236549602298774,0,0,0.0657420805504573,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0683605245115001,0,0,0,0,0,0,0,0,0,0.0137770920747627,0,0,0,0,0,0,-0.015968302780906,0,0,0,0,0,0
X000858.SZ,0.227548169345861,0,0,0,0.157759317079238,0.0308213506808411,0.0806569237055047,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0.082555423196114,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0.0769316888606261,0,-0.0181663427492831,0,0.00105195604219054,0.070309192543115,0,0,0,0,0,0.0193220568784763,0,0,0,0,0.0252137661116262,-0.0191361839251285,0,0,0,0,0,0
X002415.SZ,0,0.101323512580364,0,0,0,0.10211415379333,0,0,0,0,0,0,-0.0326883744121419,0,0,0,0,0.0458036638302996,0,0,0,-0.0264159806049627,0,0,0,0,0,0,0,-0.0265112058425107,0,0,0,-0.0592221124094927,0,0,0,0,0,0.0778199891565551,0,0,0,0,0,0,0.122879782657194,0,0,0,0,0.004860409962312,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0.243315352063119,0,0.0480793424017271,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0486714106000825,0,0,0.0830222543064893,-0.00698760351212882,0,0,0,0,0,0,0,0,-0.0917012054256343,0,0.136587479266669,0,0,0,0,0,0,0,0,0,0.0901668391132847,0,0,0,0,0.0518596782299462,0,0,0,0,0,0.0266092584985865,0,0
X000568.SZ,0.367139578607152,0.0755392346512176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.201293690052245,0,0,0,0,0,0,0,0,0,0,0.07551734763827,0,0,0,0,0,0,0,0,0,0,0,0,0.051314662071513,0,0,0,0,0,0.0167896477107234,0,0,0,0,0,0,0
X002475.SZ,0,0,0.015850647992579,0,0,0,0,0.0198176241788657,0,0,0,0,0,0,0,0,0.285201010472072,0.339862447606408,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0390779654533448,0,0,-0.0759991943735496,0.0173163516261281,0,0,0,-0.0155852457215523,0,0,0,0,0,0,0,0,0,-0.0399793665866002,0,0,0,0,0,0,0
X002304.SZ,0,0.042404309769606,0,0.0170316366254072,0,0,0,0,0.104027191453732,0,0,0,0,0,0,0,0,0.0986796628297878,0,0,0,0.141022509141395,0,0.0667662871447054,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0769318045583483,0,0,0,0,0,0,0,0.0808238169911171,0,0,0,0,0,0.0101218389830657,0,0,0,0,0,0,0
X600276.SH,4.33680868994202e-19,0,0,0,0,0.0880244482090292,0,0,0.31680709659572,0,0,0,0,0,-0.227727421113515,0,0,0,0,0.174319669845527,-0.018751892599519,0,0,0,0,0,-0.0809969087863508,0,0,0,0,0,0.0523096921548444,-0.038745877077212,0.0550562776397372,0,0,0.0335904223163482,0,0,0,0,0,0,0,0,0,0.139832148072386,0,0,0,-0.0297768352575436,0,0,0,0,-0.0253450855778143,0,0
X600690.SH,0,0,0,0,0,0,0,0.0177056297663104,0,0,0,0,0,0,0,0,0,0,0,0,0.225781485380284,0.00904566283146364,0,0,0,0,0,0,0,0,0,0,0,0.131002812351296,0,0,0,0.0779425045010229,0,0,0.16663286340144,0,0,0,0,0.0882415531933844,0,0,0,0,0,0,-0.00164579481068323,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0208707827354024,0,0,0,0.0211523400466096,0,0,0,0.126689884299178,0.153790626202134,-0.0308196368233305,0,0,0,0,0,0,0,0,0,0,0,0,0,0.117107118470946,0,0,0,0.0172075467962301,0,0,0,0,-0.0396575210682205,0,0,0,0,0,0,0,0,0.0480734322194888,0,0,0,0,-0.0163859085345595,0,0,0,0,0,0,0
