,X600519.SH,X600104.SH,X002415.SZ,X000858.SZ,X000651.SZ,X600276.SH,X002304.SZ,X000725.SZ,X600690.SH,X600703.SH,X000568.SZ,X002475.SZ,X600741.SH,X000338.SZ,X600031.SH,X000063.SZ,X300003.SZ,X002236.SZ,X600809.SH,X002008.SZ,X600271.SH,X600867.SH,X601877.SH,X002456.SZ,X300124.SZ,X000596.SZ,X600487.SH,X000100.SZ,X600566.SH,X600066.SH,X000625.SZ,X002294.SZ,X000661.SZ,X300136.SZ,X000977.SZ,X002241.SZ,X002180.SZ,X002179.SZ,X002007.SZ,X600498.SH,X000157.SZ,X000050.SZ,X000981.SZ,X300142.SZ,X002049.SZ,X000869.SZ,X600522.SH,X002508.SZ,X600779.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.252287078655032,0.131187618558453,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0184194943690065,0.0322760852804743,0,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0626373692930619,0,0,0,0.0513076971775794,0,0.0778055197477572,0,0,0,0,0,0.0093223373081286,0,0,0,0,0,0,0
X600104.SH,0,0,0,0.0297109302644544,0,0,0,0,0,0,0,0.0259174990615078,0.191334167281493,0,0.197642445970594,0,0,0,0,0.0225982356036926,0,0,0,0,0.0604231982623685,0,-0.0896050993023311,0,0,0,0,0,0,0,0,0,-0.164879662399644,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0330841285132551,0.0290214941168431,0,0,0,0,0,0
X002415.SZ,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,-0.0775771175404216,0,0.151529498826624,0,0,0,0,0,0,0,0.0149907751303575,0.0809865851343063,0,0,0,0,0,0,0.116866086851873,0,0,0,0,-0.013631239370919,0,0,0,0,0,0,0,0,0.161193207620843,0.0185992711615312,0,0,0.00378190980918521,0.0164085970465556,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.217035721135142,0.0801527939225827,0,0,0.253953393360075,0,0,0,0,0,0,0,0,0.0638265382045104,0,0,0,0,0,0.0329064385887196,0,0.136239307072327,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0164150417932883,-0.0148220506056371,0,0,0,0,0,0
X000651.SZ,0,0,0,0.49754527110289,0,0,0,0,0,0.117132933811634,0,0.10868995410925,0,0,0,0,0,0,0,0,0,-0.111026811173319,0.0498490769311628,0.0584910388498126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0487973219161509,0,0,-0.00498679394783369,0,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0.22351142177637,0,0,0,0,-0.0659775309689267,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.326079061032351,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121439092718868,0,0,0,0,0.0340483563934561,0,0,0,0,0,0,0
X002304.SZ,0.00966105098803446,0,0,0.0830802224562011,0,0,0,0,0.331265906309041,0,0,0,0,0,0,-0.00901223177151785,0,0,0.289312463031128,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280143625429735,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196775044305956,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0604228310003292,0.0575202140702038,0,0,0,0,0,0.140196131763429,0,0.0343925644048739,0.105298098538668,0,0.25753325606848,0,0,0,0,0.00723876039295907,-0.0259153099672225,0,0,0,0,0,0
X600690.SH,0,0,0,0.177448419082147,0,0,0.0627670961588809,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0,0.0250268704630184,0.000709977891537563,0,0,0,0,0,0
X600703.SH,0,0,0,0,0.284743236932701,0,0,0.0272777500927227,0,0,0,-0.243412426273734,0,0,0,0,0,0,0,0,0.0632453293964948,0,0,0.389549446277616,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.103491924510371,0,0,0,0,0,0,0.135261155981432,0,0,0.0106024765081055,-0.0153087273875822,0,0,0,0,0,0
