,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X002475.SZ,X000063.SZ,X000725.SZ,X003816.SZ,X600031.SH,X002304.SZ,X000338.SZ,X600690.SH,X000568.SZ,X600703.SH,X000661.SZ,X600741.SH,X000100.SZ,X600809.SH,X600183.SH,X002241.SZ,X002371.SZ,X300014.SZ,X300003.SZ,X000596.SZ,X002236.SZ,X002007.SZ,X601877.SH,X000977.SZ,X000157.SZ,X002456.SZ,X000625.SZ,X002129.SZ,X300124.SZ,X002463.SZ,X300136.SZ,X002414.SZ,X600271.SH,X300142.SZ,X000066.SZ,X002180.SZ,X002179.SZ,X600584.SH,X002008.SZ,X600118.SH,X600498.SH,X002185.SZ,X002049.SZ,X002223.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.194425515701307,0,0,0,0,0,0,0,0,0.00895469292308872,0.0449186114754823,0.189575123279557,0,0,0,0,0,0,0,0,0,-0.0637592458347186,0,0,0,0.00746316682050751,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030826958163308,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0446489333556482,0,0.439008473629328,0,0,0,0,0,0,0,0,0.0281714592583008,0,0.105056070182032,0,0,0,0,0,0,0.00549949299903326,0,0,0,0,0,0,0,0.0173513496775164,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0168433606099482,0,0
X600276.SH,0.146896362447605,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0.0114276809246439,0,0,0.0684601321891038,0,0,0.21979379734529,0,0.0946545630471715,0,0,0.0116482902502188,0,0,0.0619063618157693,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0153379578022009,0,0,0,0,0,0,0.00304062410304663,0,0,0,-0.0399282906514007,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0.117929161362347,0.191322850098341,0,0,0,0,0,0,0,0,0,0,0.0233548217524611,0,0,0.0602015176523779,0,0,0,0,0,0.0287936319538273,0,0,0,0,0,0,0,0,0.0203938981506015,0,0,0,0,0,0,0,-0.0254548950208067,0,0,0,0,0,0,0.0153268235531724,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.241930927696443,0,0,0,0,0,0.183039103852204,0,0,0,0,0,0.0740449144401462,0,0,0,0,0,0.00977226367130782,0,0,0,0,0,0,0,0.0075199600963468,0,0,0,0.00518191248792474,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0.201767455849612,0.0567945596510134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.28910948633196,0,0.0369829010303196,0,0,0.186712947447698,0,-0.0123438893809331,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158166972169494,0,0,0,0,0.0601459639930129,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0.104668748978564,0,0,0,0.00155215317794561,0,0,0,0.0610337007545994,0,0,0,0,0.259953432434042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.260664385775599,0,0,0.0577606735665244,0,0,0,0,-0.00647388681091966,0,0,0,1.73472347597681e-18,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00504550284261867,0,0,0.0925376321577967,0,0,0,0,0,0,0,0,0.115280341174225,0,0,0,0,0,0,0,0,0,0,0,0,0,0.244518299362281,0.254762458357373,0,0,0,-0.00779237233759062,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0.0417122787073475,0,0,0,0,0,0.0411554513899072,0,0,0.452247246642807,0,0,0,0,0.0420031461660997,0,0,0,0,0,0,0,0,0,0,0,0,0.156219104301043,0,0,0.0301865627903333,0,0,0,0,0,0,0.0457020084638661,0,0,0,0,0,-0.00320676535909992,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0.018562825078947,0,0.0814161872631421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18217083516641,0,0,0,0,0,0.109724017895135,0,0,0,0,0,0,0,0,0.212842756464038,0.0659269737554676,0,0,0,0,0,0,0,0,0,0,0.0080017899163112,0,0,0,0.00977547442072533,0,0
