,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002304.SZ,X600690.SH,X000651.SZ,X002475.SZ,X300124.SZ,X600104.SH,X000725.SZ,X000063.SZ,X003816.SZ,X002371.SZ,X600031.SH,X002129.SZ,X000596.SZ,X300014.SZ,X000625.SZ,X000338.SZ,X600703.SH,X002049.SZ,X002179.SZ,X600089.SH,X000100.SZ,X002241.SZ,X002180.SZ,X000661.SZ,X300142.SZ,X601877.SH,X600584.SH,X002236.SZ,X600702.SH,X600522.SH,X000157.SZ,X600741.SH,X600460.SH,X002074.SZ,X000733.SZ,X000977.SZ,X000066.SZ,X600183.SH,X300003.SZ,X000799.SZ,X002294.SZ,X002414.SZ,X000800.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.131186392395134,0.0923166150417972,0,0.144883928916131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0560721916920813,0,0,0,0,0,-0.0137249858967625,0.036625030854762,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.0825794030944955,0,0.563849658241525,0,0,0,0,0,0,0.0347493218437553,0,0,0.00889792975940337,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0176173643793231,0,-0.00772063895670855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X002415.SZ,0,0.0394937292112159,0,0,0,0,0,0,0,0,0,0,0.0457384956949531,0,0,0.112445083812524,0,0,0,0.160283118664556,0,0,0,0.0769601245287603,0,0,0,0,0.0307514134390134,-0.061377936107719,0,0,0,0.282324083568072,0,-0.163709266110579,0,0,0,0,0,0.090735391410239,0,0,0,0,0,0,0,0,0,0.0298670887589108,-0.0386892903528611,0,0,0,0,0,0
X000568.SZ,0.117623851221867,0.285528654731996,0,0,0,0,0.349106785522068,0.157203882146521,0,0,0,0.077239635335044,0,0,0,0.0589699656291826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0488476245884741,0,0,0,-0.115505089402965,0,0,0,0,-0.0909366370941709,0,0,0.117312588832821,0,0,0,0,0,0,0,-0.00773459486358799,0,0,0,0,0,0,0
X600809.SH,0,0,0.0754093674663975,0.123976819964421,0,0,0.2339194409529,0.175943857792821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0223727006158642,0,0,0,0,0,0,-0.0437014359629325,0,0,0,0,-0.025134682770053,0,0,0,0,0.202167646897138,0,0,0,0,0,0,0,0,0,0,0,0,0
X600276.SH,0,0.162671877835492,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0693925927825015,0,0,0,0,0,0.179215936017411,0,0,0,0,0,0,0,0.104105443510639,0,0.00595820065946953,0,0.053280108420943,0,0,0,0,0,0,0,0,0,0.196995532977657,0,0.0644948219840646,0,0,0,0,-0.0136076506106673,-0.00259898942040283,0,0,0,0,0,0
X002304.SZ,0,0.327835478235803,0,0.328431701884783,0.0769155058314942,0,0,0,0,0,0,0,0,0,0,0,0,0,0.207326233412431,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0673996591862535,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0.0604330962176382,0.0381416784937802,0,0,0,0.222963936445671,0,0.0743224517510721,0,0,0,0,0,0.12697193064025,-0.0469559469797177,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0419859554724929,0,0,0,0.0377503635494534,0,0,0,0.0061438528901511,0,0,1.73472347597681e-18,0.0123099101097548,0,0,0,0,0,0.00985750145575609,0,0,0,0,0,0,0
X000651.SZ,0,0.143837931107991,0,4.33680868994202e-19,0,0,0,0.200751332004734,0,0,0,0,0,0,0,0,0,0,0,-0.0154597237710714,0,0,0,0,0,0,0,0,0,0,0.00645986772103487,0,0.0587985446361301,0,0,0,0,0,0,0,0,0.00750126459241423,0,0,0,0,0,0,0,0,0,0.00292366932034833,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0953388254113426,0,0,0,0,0,0,0,0.188632315949747,0,0,0,0,6.93889390390723e-18,0,-3.46944695195361e-18,0,0.290122611103519,0,0,0,0.0957053121538862,0,0,0,0.0136243358661798,0,0,0,0.0360727807637546,0,0,0,0.0377795959373491,0,0,0,0.131034457081723,0,0,0,0,0,0,0,0,0,0.213063975372551,0.178619142886685,0,-0.00475148987919651,0,0,0,0,0,0
