,X600519.SH,X000858.SZ,X600276.SH,X000651.SZ,X002415.SZ,X600104.SH,X003816.SZ,X002475.SZ,X002304.SZ,X000063.SZ,X000725.SZ,X000568.SZ,X600031.SH,X600690.SH,X000338.SZ,X600741.SH,X600809.SH,X000661.SZ,X600703.SH,X600183.SH,X002241.SZ,X000596.SZ,X002007.SZ,X601877.SH,X002236.SZ,X000066.SZ,X300003.SZ,X000157.SZ,X000100.SZ,X300142.SZ,X002463.SZ,X002008.SZ,X002179.SZ,X600271.SH,X300124.SZ,X300136.SZ,X000625.SZ,X600867.SH,X300014.SZ,X000977.SZ,X002506.SZ,X600177.SH,X002129.SZ,X002049.SZ,X600498.SH,X002371.SZ,X600066.SH,X002456.SZ,X002180.SZ,X600584.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0,0.591839201221971,0,0,0,0,0,0,0,0,0.0265502425445565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0377110452844045,0,0,0,0.0322143739819764,0,0,0,0,-2.16840434497101e-19,0,0,0,0.00308085776033469,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.0376347047562857,0,0,0,0.327932824515611,0,0,0,0,0.167109970937364,0,0,0,0,0.00241926735190453,0,0,0,0.0155191258101136,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0141611262729174,0,0,0,0,0,0,0,0.0267644181011091,0,0.0066061149509258,0,0,0,0,0,0,-1.0842021724855e-19,0,0
X600276.SH,0,0,0,0,0,0,0,0.0683766796222883,0,0,0,0.236577502411043,0,0,0,0.0791372932511216,0,0.0940584749316717,0,0,0,0.0108996736807864,0,0,0,0.00358228519762709,0,0,0,0.0456655911064096,0,0.0355870830637942,0,0,0,0,0,0,-0.0443996796157322,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0348240514375672,0,0
X000651.SZ,0,0,0,0,0.0303854604584261,0,0,0,0,0,0,0,0,0,0,0,0.292326823908763,0,-0.0620281804192869,0,0,0,0.0308614309088339,0,0,0,0,0.0268513270298075,0,0,-0.0386004131251572,-0.0298860170315998,0,0,0.165919812802322,-0.0279367900229837,0,0,0,0,0.122003496985006,0,0.101951202332938,0,0,0,0,0,0,0,0,-0.0249906986120591,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.123851697397242,0,0,0.0100333195240404,0,0,0,0.0734280702765496,0,0,0,0,0,0,0,0.0602053859427479,0.513830881226501,0,0,0,0,0,0,0,0,0,0,-0.0359630946542021,0,0,0,0,0,0,0,0,0,0,0,-0.0208361935874781,0,0.0638213177468618,0,0.0239066110847044,0,0,0,0,-0.0159799414040504,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.172579226490719,0,0,0,-0.108321951907226,0,0,0,0.0632003280552808,0,0,0,0,0,0,0.0192601618489504,0.0536063244254109,0,0,0,0,0.0161307339851208,-0.0508681936615134,0,0,0,0,0.0242893286851581,0.0421487502315468,0,0,0,0,0,0.0396210362733195,0,-0.00938590875833273,0,0,0,0,0.0042488456760811,0,0
X003816.SZ,0,0,0,0,0,0,0,0.023950186132509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0308642194470145,0.0334898391590563,0,0,0,-0.0174485480333294,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0558150943904843,0,0,0,0,0,0,0.124493307345139,0,0
X002475.SZ,0,0.0280510781896135,0,0,0,0,0,0,0,0.072958372586907,0,0.146952362001707,0,0,0,0.0926568732174522,0,0,-0.0220779904648581,-3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0.0840067914141771,0.167551529375743,0,0,0,0.107748365482046,0,0,0,-0.00105700532639247,0,0,0,0.000595359596175946,0,0,0,0.215553504692624,0,0,0,0.0254905596081676,0,0,0,0,-0.0371484561832555,0,0
X002304.SZ,0,0.229712746906716,0.040422113701075,0,0,0,0.0456472496819944,0.010206468136577,0,0.0780181499260657,0,0.0921306907735915,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0939319041277138,0,0,0,0,0,0.0279598415846347,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0394525308820218,0,0
X000063.SZ,0,0,0,0,0,0,0,0.118765264370726,0,0,0,0,0,0,0,0,0.124691441009531,0,0.187155412565581,0,3.46944695195361e-18,0,0,0,0.0833979921468729,0,0,0,0,0,0,0,0,0.126942103558881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0149367511795867,0,0,0,0,0,0
