,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X000651.SZ,X600031.SH,X000568.SZ,X002475.SZ,X002304.SZ,X600809.SH,X600690.SH,X600104.SH,X000725.SZ,X000338.SZ,X000661.SZ,X300014.SZ,X300124.SZ,X000063.SZ,X003816.SZ,X600703.SH,X000157.SZ,X000596.SZ,X000100.SZ,X002241.SZ,X000625.SZ,X002371.SZ,X600741.SH,X002129.SZ,X002007.SZ,X002179.SZ,X601877.SH,X300142.SZ,X002049.SZ,X600584.SH,X002236.SZ,X002414.SZ,X300003.SZ,X600183.SH,X601799.SH,X000800.SZ,X000066.SZ,X002074.SZ,X002008.SZ,X000977.SZ,X600089.SH,X000799.SZ,X002294.SZ,X600118.SH,X600177.SH,X000050.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.377691001016319,0,0,0,0,0.0474203145435297,0,0,0,0.025552466409599,0,0,0,0,0,0,0,0,0,0.030828471920887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0133223462817358,-0.00786130423282265,0,0,0,0.00497218742433747,0,0
X000858.SZ,0,0,0,0,0,0,0.368955184264726,0,0.0505801627617062,0.0974377368662425,0.0173423195019749,0,0,0,0,0,0,0,0,0,0.00214864579826617,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.126620458205237,0,0,0,0,0,-0.0129292492430218,-0.0111593290392408,0,0,0,0,0,0
X600276.SH,0,0,0,0.0822389268638579,0,0,0.0240475024212373,0.0240377705241174,0,0,0.040258015822316,0,0,0,0.130517437952838,0.00541624922063915,0,0,0,0.0629508304411164,0.0350514096484787,0,0,0,0,-0.0792320876280099,0,0,0,0.0535714551712372,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0148786698633885,0,0,0,0,-0.000909883839336803,0,0,0,0,-0.0303220761051595,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0894384621551924,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0531046625841541,0,0,0,0,0,0,0.428705499496771,0,0,0,0,0,0,0,0,0,0,0.0116611637885176,0,0,0,0,0,-0.0146571480964496,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.138964034779383,0,0,0,0.0258920137269198,0,0,0,0,0,0,0,0,0,0.192282623022971,0,0,0,0,0,0,0.0387237356527899,0,0,0.00435010654253808,0.0134236873726131,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0297758972189114,0,0,0,-0.0407816842270527,0,-0.000585211819916479,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0,0,0,0.0287901281818129,0,0.205150193294997,0,0,0,0,0,0,0,0,0.0699072992330963,0.0400832243394862,0,0.0233156512085416,0,0,0,0,0,0,0,0,0,0.175311526574213,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0260223328480229,0,0,0,0,0,0,0
X000568.SZ,0.0987811068067251,0.319846540363576,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.115050820304263,0,0,-0.00818418332101167,0,0.29596629472403,0,0,0,0,0,0,-0.0281741698230027,0,0,0,0,0,0
X002475.SZ,0,0,0.233153503626703,0.0160074940110612,0,0,0,0,0,0.0151178626449659,0,0,0.0433766212954404,0,0,0,0,0,0,0,0,0,0,0.264654353657073,0,0,0,0,0.0910454197337688,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0131137293334354,0,0,0,0,-0.018955600675655,0,0
X002304.SZ,0,0.276886315110078,0,0,0,0,0.0809676407367344,0,0,0.00813232249767477,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.182114792269476,0,0,0,0,0,0,0,0,0,0,0,0,-0.0510819009983592,0,0,0,0,0.0275340926780729,0,0
X600809.SH,0,0,0,0,0,0.233247615497839,0,0,0.039756092166906,0,0.181719185618115,0,0,0,0,0.0635566134077458,0,0,0,0,0,0.0376000636463247,0,-0.0871789072662017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0688980504580023,0.154775822413291,0,0,0,0,0,-0.067128244618068,0,0,0,0.0260214526560155,0,0
