,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X003816.SZ,X600690.SH,X000651.SZ,X600809.SH,X000568.SZ,X002371.SZ,X000725.SZ,X600104.SH,X600031.SH,X300124.SZ,X000625.SZ,X002304.SZ,X000063.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X000100.SZ,X002241.SZ,X300014.SZ,X600089.SH,X002463.SZ,X600584.SH,X000157.SZ,X600372.SH,X600703.SH,X002028.SZ,X000977.SZ,X600741.SH,X600066.SH,X600522.SH,X002236.SZ,X600183.SH,X600418.SH,X002049.SZ,X601877.SH,X000800.SZ,X600487.SH,X002180.SZ,X002294.SZ,X600177.SH,X002223.SZ,X002074.SZ,X000661.SZ,X601799.SH,X002129.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.192993330944326,0,0,0,0,0,0,0,0.127097045668255,0,0,0,0,0,0,0,0,0.0252170875198551,0.156422277330722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00144984562611275,0,0,0,0,-0.0333134828530002,0,0,-0.00619418046731466,0,0,0,0,0,-0.0520662269497933,0,0,0,0.0317611478174259,0,0
X000858.SZ,0.276995625896369,0,0.0249193393270815,0,0,0,0,0,0.24461734485559,0.0727768620591061,0,0,0,0,0,0,0,0,0.0223806539449077,0.0658517516029468,0,0,0,0,0,0,0,0,0,0,0,0,0.247397211929141,-0.0165627038865134,0,0,-0.0257005259321746,0,0,0,0,0,0,0,0,0.0440565893386978,0,0,0,0,0,0,0.0332292654722495,0,0,0,0.020704381412436,0,0
X600276.SH,0,0,0,0,0,-0.020370398399324,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0602158460547671,0,0,0,0,0.174703967551006,0,0,0,0.189990370443969,0,0,0,-0.044083894251809,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.175831385085337,0,0,0.147948453839687,0.14354208654754,0,0,0,0,0,0,0.0292495559196349,0,0,0,0.0128098152130386,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0206743182157976,-0.00331377742796234,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0965522018007453,0,0,-0.0126911753542224,0,0,0,0,0,0,0,0,0,0,0.0535878539697479,0.20057329341087,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0264699174490994,0.159290347665613,0,0,0,0,0,0,0,-0.0158518524017506,0,0,0,0,0,0,0,0,0,0.0156599704274283,0,0
X003816.SZ,0,0,0,0,0,0,0,0,-0.0708045536721981,0,0,-0.0530221948551134,0,0,-0.121167272844225,0.0813629791172369,0,0,-0.0278476897412927,0,0,0,0,0,0,-0.0858241297471926,0,0.0323766370441979,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0,0,0,-0.42660994581858,0,0.0218379230971073,1.35525271560688e-20,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.126600790714769,0,0,0,0,0,0,0,0,0,0,0.0763813737093996,0,0,0.11876732469826,0,0,0,0.110455625094507,0,0.0460218633826762,0,0,0,0,0,0,0.0710227778613062,0,0,0.0901906738169334,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0126820608887958,-0.0536575716583497,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.342336300676384,0,0,0.135098812187243,0,0,0,0,0,0,0,0,0.0507302807869796,0,-0.0161056774541363,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0031732272154178,0,0,0,0,-0.0813428869369135,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0452627191482391,0,0,0,0.0780886798117215,0,0,0,0,0,0,0,0,0,0.611287995553864,0,0,0,0,0,0,0,0,0.0396147075427531,0,0,0,0,0.0196966986728793,0,0,0,0,0,0,0,-0.116550372395671,0,0,0,0,-0.0438630211509258,0,0,0,0,0.00468324820584177,0,0,0,0,-8.67361737988404e-19,0,0
X000568.SZ,0,0.702252502442069,0,0,0,0,0,0,0.135851457031578,0,0,0,0,0,0,0,0,0,0,0.0791125091013357,0,0,0,0,0,0,0,0,0,0,0,0.0210436167157298,0,0.0124436777316419,0,0,-0.0657112888783035,0.0453385493079297,0,0,0,-0.107148358662244,0,0,0,0,0,0,0,0,0,-0.0732834566729906,0,0,0,0,-0.0157463789276952,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.218878261330051,0,-0.0586024457465337,0,0,0,0.0135919265153394,0,0,0,0,0,0,0.372598907633152,0,0,0,0,0,0,0.115272273724967,0.136899354712686,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082670726218473,0,0,0,0.0259189940674135,0,0,0,0.0121393756135742,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.507200173546941,0,0,0,0.00421863076807789,0,0.0486560754633959,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0,0,0.0997255152202916,-0.00480692580479027,0,0,0,0,0,0,0,-0.00569136687028177,0,0,0,0,0,0,0
X600104.SH,0,0.0108817115519876,0,0,0,0,0.0830582912788804,0,0,0,0,0,0,0.120581261553273,0.0668411479011874,0,0,0,0,0.0238877401921234,-0.0542271917737934,0,0,-0.0163760996061055,0,-0.0399889054796231,0,0,0,0,0,0,0.0878793884520649,0,0,0,0,0,0,0,0,0,0.139266112199737,0,0,0.0101130035360074,0,0,0.0474690963735935,0,0,0,0.0139383519396006,0,0,0,-0.0151384749715453,0,0
