,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000568.SZ,X000661.SZ,X600031.SH,X000725.SZ,X000063.SZ,X003816.SZ,X600690.SH,X600809.SH,X002241.SZ,X000338.SZ,X600703.SH,X000596.SZ,X002007.SZ,X300142.SZ,X002371.SZ,X300124.SZ,X300014.SZ,X000100.SZ,X002049.SZ,X600741.SH,X600584.SH,X002129.SZ,X002236.SZ,X300003.SZ,X601877.SH,X000157.SZ,X000800.SZ,X600183.SH,X002414.SZ,X300136.SZ,X000625.SZ,X000066.SZ,X000977.SZ,X002456.SZ,X600118.SH,X002179.SZ,X601799.SH,X002185.SZ,X002008.SZ,X002463.SZ,X000021.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.166930262605545,0,0.0239035752228286,0,0,0,0,0.0999030856790163,0,0,0,0,0,0,0,0.0400821961305896,0,0,0.0911120257989444,0,0,0,0,0,0,0.0250836791642427,0,0.0345342906028654,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000631848230283957,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.159383454622024,0.262994474150496,0,0,0,0,0,0,0.239730156432982,0,0,0,0.0987585578955046,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102385239008091,0,0,0,0,0,0,0,0,0,-0.0239702712926655,-5.42101086242752e-20,0,0,0,0,0,0
X600276.SH,0.0223034344681083,0,0,0,0,0,0,0.0793706625429924,0.0055268878054118,0.245255940745539,0,0,0,0,0,0,0.0184192503638571,0,0.0235477425755499,0,0,0,0,0,0,0,0.0384557323044592,0,0,0.0359944825031436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0280135362662589,0,0,0,0,0,0,-0.0175371842609728,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.373507594153431,0,0,0.0138707272863429,0,0,0,0,0,0,0,0,0.04351950751762,0.0356576633345139,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0323387837671915,0,0,0.0648334280113101,0,0,0,-0.0216646846709869,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.139308483528153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.230122714087924,0,0,0,0,0,0,0.0775697710808258,0,0.0723104688262364,0.0118787047357181,0,0,0,0,0,0,0,0,0,0,-0.0133935027543785,-0.0117652764523391,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0.0505068447450031,0,0.0307746857114153,0,0.0189462760776263,0,0.167360680634458,0,0,0.0133596336295491,0,0,0,0,0,0,0,0.0679272698268189,0,0,0,0,0.085740608406142,0,0,0,0,0,0,0,0,0,0,0.0856929479403622,0,0,0,0,0.00403160172995523,0,0,0.0059472885279485,0,0,-0.00876996834152446,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0628571666501039,0,0,0,0.0254965645646012,0.0887336477684943,0,0,0.0995801112805995,0.0952448415593511,0,0.0379583036945466,0,0,0,0.0275914789440974,0,0,0,0,0,-0.0143184648076128,0.00228599176127923,0,0,0,0,0,0
X002304.SZ,0,0.062699719966724,0,0,0,0,0,0,0.357628060782927,0,0,0,0,0,0,0.17449777521753,0,0,0,0.0601780208602285,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0162743553465815,0.00296397208472149,0,0,0,0,0,0
X000568.SZ,0,0.445476392856555,0,0,0,0,0,0.152592995183237,0,0,0,0,0,0,0,0.0690668138206371,0.0149845208057408,0,0,0.0502147319756546,0,0,0,0,0,0,0,0,0.0531353596156686,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00777878448559487,0,0,0,0,0,0,0
X000661.SZ,0,0,0,0.20706958442585,0,0,0,-0.0256751321735032,0,0,0,-0.133484232304526,0,0,0.0721154041694895,0,0.0268376548333702,-0.094908712571272,0,0,0.192884289530494,0,0.0888275505569533,0,0,0.0347780176988382,0,0,-0.018747532240812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.67361737988404e-19,0,0.106523360123192,0,0,0.00133124627632406,-0.0408106534151179,0,0,0,0,0,0
X600031.SH,0,0,0,0,0,0.00754723270594293,0,0.0060466034966238,0,0,0,0,0,0,0,0,0,0.505826491305394,0,0.0806082301915122,0,0,0,0,0,0,0.0849061306840564,0,-0.00887215243825692,0,0,0,0,0,0,0,0,0.0641437113032734,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0149909646594232,-0.0139316050929573,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191366876341203,0,0,0,0,0,0,0.172797738804659,0.0532764048915903,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0204117897814169,0.00373755756396904,0,0,0,0,0,0
