,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000858.SZ,X000625.SZ,X002304.SZ,X000063.SZ,X600276.SH,X600690.SH,X600031.SH,X600372.SH,X000338.SZ,X002241.SZ,X000157.SZ,X600741.SH,X600703.SH,X600089.SH,X000100.SZ,X601877.SH,X002236.SZ,X000581.SZ,X000550.SZ,X000050.SZ,X000559.SZ,X600118.SH,X000623.SZ,X600271.SH,X000568.SZ,X002475.SZ,X600066.SH,X300124.SZ,X002456.SZ,X002294.SZ,X002129.SZ,X600839.SH,X002007.SZ,X600177.SH,X600867.SH,X000800.SZ,X000869.SZ,X000400.SZ,X300003.SZ,X600435.SH,X000977.SZ,X002038.SZ,X002292.SZ,X002465.SZ,X002008.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0,0,0.0188262291527482,0,0,0,0,0,0,0,0,0,0.338605139748552,0,0,-0.0197840528157229,0,0,0,0.0456479439045819,0,0,0,0,0,0,0,0,0,0.0873995478561593,0,0,0.0319074765641722,0,0,0,0,0.114803533746398,0,0,0,0,0,0,0,0,0,0,0.00869091234748767,0,0,0,0,0,0
X600519.SH,0,0,0,0,0,0.261552642415749,0,0,0,0,0,0,0,0,0,0,0.125971739970685,0,0,0,0,0,0,0.0636964346029654,0,0,0,0,0,0,0,0,0,0,0,0,-0.113055383325968,-0.0359976837050714,0,0.0849122525966636,0,0,0,0,0,0,0,0,0,0,0,-0.00257575522299016,0,0,0,0,-0.111285671524292,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.351619932617703,0,0.0260661291883495,0,0,-0.0349527120101118,0,0,0,0,0,0,0,0,0,0,0,0,0.0683977788018709,0,0.0161821998665788,0,0,0,-0.0720960534889634,0,0,0,0,0,0,0,0.010252773484404,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0.146313427813662,0,0,0,0,0,0,0,0,0.0354061308887569,0,0,0,0.113076251961464,-0.0214754023243613,0,0,1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0.00252447250213489,0,0,0,0,0,0,0.0368924077510582,0.110425438609721,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0
X002415.SZ,0.0265563426646228,0,0,0,0,0,0,0,0,0,0,0,0.201325686937183,0,0,0,0,0,0,0,0,0.247861856431103,0,0,0.00674346533591038,0.0226596077519032,0,0,0,0,0,0,0,0,0,0.00756722407533295,0,0,0,0,0,0,0,0,-0.0307754677387866,0,0,0,0,0.211187148907055,0,-0.0117048002127551,0.000500942916845605,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.048554080537495,0,0,0,0.0286601525397484,0,0,0,0,0.0113100505284436,0,0,0,0,0,0,0.0350078009496441,0.0704629806455825,0,0,0,0,0.14245223390199,-0.0868965772427679,0,0,0,0,0,0,0,0,0,0,0.0932502081064232,0,0,0,0,0,0,0,0,0,0.00418501208912063,0.000145911937955365,0,0,0,0,0,0
X000625.SZ,0.162734108250807,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.128038274389825,0,0,0,0,0,0,0,0,0,0.107837844486346,0,0,0,0,0,0,0.0517570699524087,0,0.0258523122852363,0,0.0951839749213664,0,0,0,0,0,0,-0.000320252427891574,0,0,0,0.00924810007572696,0.0580353728796846,0,-0.00657269941647487,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.27462979521628,0,0,0,0,0,0.00758658584827718,0.0091338995216271,0,0,0,0,-0.0241081782206023,0,0,0,0,0,0,-0.148609180929914,0,0,0,0,0,0,0,0,0.0222337184331589,0,0,0,0,0,0,0,0.188303669057892,0,0,0,0,0.0359329879650005,0,0.111602453080588,0,0,0,0.00774139929400476,0,0,0,0,0,0
X000063.SZ,0.136798984623608,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0519234922052729,0,0,0,0,0,0,0.0590373348654331,0,0,0,0.0324016662397781,0,0,0.0349686158885863,0,0.0894934413869347,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00173490344586627,0.0118577155781645,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0577109069411805,0,0,0,0,0.0552408700408683,0,0,0,-0.025831796050362,0,0,0,0,0.032348582828895,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0433297062841139,0.220635360367658,0,0.103770694884569,0,0,0,0,0,-0.0634663714134558,0,0,0,-0.0920893116702997,0,0,0.0119497181774244,0,0,0,-0.130946538050867,0,0
