,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000858.SZ,X000063.SZ,X000625.SZ,X600703.SH,X600690.SH,X600118.SH,X000559.SZ,X600031.SH,X600271.SH,X002241.SZ,X000100.SZ,X600372.SH,X002292.SZ,X600066.SH,X002475.SZ,X600741.SH,X002236.SZ,X000157.SZ,X002049.SZ,X600089.SH,X000338.SZ,X300124.SZ,X002465.SZ,X002506.SZ,X600177.SH,X300003.SZ,X000547.SZ,X000568.SZ,X600582.SH,X002074.SZ,X002129.SZ,X002294.SZ,X600839.SH,X002276.SZ,X300001.SZ,X000977.SZ,X600498.SH,X600867.SH,X002456.SZ,X002426.SZ,X002180.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0860423353526777,0,0.154933363153569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.017390359661504,0,0,0,0,0,0,0,0,0,0,0.0484376552504985,0,0,0,0,0,0,0,0.0917289659301263,0,0,0,0,0,0,0,0,0,0,-0.0377065326471379,0.0362901999546205,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0.0549102687617196,0,0,0.204710006922172,0.148887408513031,0.311120902646067,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0134570342770928,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.1015593345018,0,0,0.0578339065191138,0,0.0519770499176366,0,0,0,0,0,0,0.184526349084639,0,0.0237074428469614,0,0,0.0275871268464042,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00865624343865666,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0366706267890518,0,0,0,0,0,0,0,0,0,0,0,0,0.049955818111171,0,0,0,0,0,0.0347941413939599,0,0,0,0,0.0213477536314413,0,0,0,0,0.118753634324597,0.0251981842124259,0,0,0,0,0.0540781722060364,0,0,0,0,0,0,0,-0.0305154141905905,0.0219257297458365,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0403911566900847,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10681192727574,0,0,0,0,0.0107523048935947,0,0,0,0.126683143530359,0,0.00601711253268598,0,0.0526663339619016,0.0109591138878528,-5.42101086242752e-20,0,0,0,0,0,-0.0285892372714464,0,0,0,0,0,0,0
X600276.SH,0,0,0,0.0306919436836428,0,0,0,0,0.0343780216306041,0.163795640661852,0,0,0,0.0477653941846847,0,0,0,0,0,-0.0121719166497731,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0957437892344861,0.0727200861540652,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0.0200651220252592,0,0.0597272685536663,0,0,0,0,0,8.67361737988404e-19,0,0,0,0,0.0295833374254107,0,0,0,0,0,0,0.000883349228125776,0,0,0,0.0456799123957015,0,0,0.0969847493482878,0,0,0,0,0,0,0,0,0,0,0,-0.0489549093406625,0.0365382114034551,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00585824727956906,0.0266253494379158,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0226500566797203,0,0,0,0,0,0,0,0,0.0643531267736532,0.072969183107962,0,0,0.016161520444873,0,0,0.213833086388992,0,0,0.109560817685781,0,0,0,0,0,0.123086637881056,0,0,0.00632853888790958,0,0.0234733015894652,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0344655621023229,0,0,0,0,0.107351943702033,0,0,0.0222286873894525,0.0411689520649857,0,0,0,0,0,0,0,0,0.125315689090787,0,0.0333720433079559,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0558434278824929,0,0,0,0,0,0,0
X600703.SH,0,0.0191792189427473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.034799666060833,0,0,0,0,0.0540442719691247,0,0,0,0,0.286341575063096,0,0.215114452054603,0,0,0,0.0411451176955807,0,0,0,0,0.0511218791145679,0,0,0,0,0,0,0,0.0582965110851,0,0,0,-0.0161306160875921,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0474947745099531,0,0,0.0462781903197874,0.0687432977815544,0,0,0.0165571034187723,0,0,0.0198591275968691,0,0.0149309833089645,0,0,0,0,0,0,0,0,0,0.00979092911844967,0,0,0,0,0,0,0,0,-0.108992972667247,0.0316708753858524,0,0,0,0,0,0
X600118.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.191396555250735,0.0211093812900892,0,0,0,0,0,0,0,0,0,0,0.0695399000416837,0,0,0.40447380301968,0,0,0,0,0,0,0,0.0295542466190742,0.0250516834700031,0,0,0,0,0,0,0,0,0,0,0,0,0,0
