,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X000625.SZ,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X600031.SH,X002236.SZ,X002241.SZ,X000338.SZ,X600066.SH,X000100.SZ,X002456.SZ,X601877.SH,X002508.SZ,X300124.SZ,X600271.SH,X002085.SZ,X600089.SH,X600118.SH,X600177.SH,X300136.SZ,X000157.SZ,X002007.SZ,X600372.SH,X600522.SH,X300003.SZ,X002008.SZ,X002294.SZ,X000981.SZ,X600867.SH,X600487.SH,X600699.SH,X000066.SZ,X002074.SZ,X600566.SH,X300115.SZ,X600809.SH,X000623.SZ,X000559.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,-0.0105972963047803,0,0.0808478894834949,0,0,0,0.043510400972726,0.140293310945001,0,0,-0.0633659047186837,0,0,0,0,0,0.0621468229351362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0734936849665493,0,0,0,0,0,0.115805789829284,0,0,0,0.00377824908955026,0.0051297038051562,0,0,0,0,0,0
X600104.SH,0,0,-0.0445626029405425,0,0,0,0,0,0,0.248048943698351,0,0.355390250016724,0,0.310946611149606,0,0,-0.0681311813489023,0,0,0,0,0,0,0.0641570774974516,0,0,-0.130078990985101,0.0540212235417986,0,0,-0.0796702618570119,0,0,0,-0.0442380041721663,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.152805397950783,-0.00812193479580832,-0.0020292383691406,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.0858513899269135,0,0,0,0,0,0,0,0,0,0.288437836259722,0,0,0,0,0,0,0.0964307650628225,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00032482682537573,0,0,0.00808670124160194,0,0,-0.118912384043645,-0.0119034555764974,0.0107771951606656,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0.0684126265608085,0,0.00795275227588537,0,0,0,0.092985800217803,0.138094768844895,0,0,0,0.00553595199046508,0,0,0.0982186484325304,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0699639822308343,0,0,0,0,0,0,0,0,-0.00803017766449665,0,0,0,0.0514383360767504,0,0,0,0.0196847717981128,-0.00555585713397315,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0574353989694851,0,0,0,0.0460852261920389,0,0,0,0,0.370739270591085,0,0.0810518721439274,0,0.0535833130479499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0155859976827523,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.155381321172673,0.160074791501668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000231656353361019,0,0,0.00445857824004452,0,0,0,0,0.0340456691180903,0,0,0.499557778661394,0,0,-0.0322957272452426,0.0205701913998663,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0.0315847373723772,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00651340102285503,0.0178899056784848,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.250833550145278,0,0,0,0,0,0,0,0.241089383696829,0,0,0.101125848530343,0,0,0,0,0,0,0.0265607344396669,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.134954181269463,0,0,0.095332713210064,0,0.0274411616123496,0,0,-0.0820430493869057,0.0719763528420213,0,0,0,0.0194380813834163,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,-0.0547607278596653,0.0294274762684806,0,0,0,0,0,0,0,0,-0.0372376785252885,0,0,0,0,0,-0.0264914632291425,0,0,0,0.0850281871131884,0,-0.22336849676418,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0901753881256383,0,0,0,0,0.106453173274582,-0.0429176280667393,0.0690830526042017,0,0,-0.00250980260355627,-0.00158303778950226,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0.184958247821401,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.018870925486936,0,0,0,0,0,-0.0307561650460671,0,0,0.0207405525611368,0.138605196293529,0,0,0,0.00293146570694934,-0.0123368087119969,0,0,0,0,0,0
