,X600519.SH,X000858.SZ,X002415.SZ,X600276.SH,X000651.SZ,X000568.SZ,X600031.SH,X600809.SH,X600690.SH,X002304.SZ,X600104.SH,X002475.SZ,X000725.SZ,X000661.SZ,X000338.SZ,X003816.SZ,X300124.SZ,X000063.SZ,X300014.SZ,X000100.SZ,X600703.SH,X000157.SZ,X000596.SZ,X002241.SZ,X002129.SZ,X600741.SH,X000625.SZ,X601877.SH,X002179.SZ,X002007.SZ,X300142.SZ,X002371.SZ,X002236.SZ,X002049.SZ,X002414.SZ,X600584.SH,X600183.SH,X000800.SZ,X300003.SZ,X601799.SH,X002074.SZ,X000799.SZ,X000066.SZ,X300146.SZ,X002008.SZ,X000977.SZ,X600089.SH,X002294.SZ,X600707.SH,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.0764792862820388,0,0,0,0.259077637547903,0,0.0250641852810998,0,0.0485588361975588,0,0,0,0,0,0,0,0,0,0,0,0.0851325388408712,0,0,0,0,0,0,0,0,0,-0.122576632714173,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0153521564585092,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.350603169779942,0,0.122786462625566,0,0.033567038749061,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0226749081558226,0.140251607695639,0,0,0,0,0,0,0,0,0,-0.0142150329204286,-0.00816534541424714,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0.0488932953054901,0.150769770903459,0,0.0341943327095209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0366185861196813,0,0.0580425164014317,0,0,0.365511855697202,8.67361737988404e-19,0.135901818745065,0,0,0,0,0,0,0.00906337767809546,0,0.0741600857447222,0,0,0,0,-0.0193893226229979,0,0,0,0.0147653730176857,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0.0299843377049518,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0542656669890372,0.0213498410887794,0,0,0,0.0250984638993368,0,0.184826323782208,0,0,0,0,0,0,0,0,0,0,0.110662267626374,0,0,0,-0.154272802706709,0,0,0,0.0446957301678972,0,0,0,0.012912946168276,0,0,0,0,-0.0381689784048172,0,0
X000651.SZ,0,0.0814448057602371,0,0,0,0,0,0.00781447994157612,0.107538694497959,0.0890331849140725,0,0,0,0,0,0,0.0912966572352816,0,0,0.104872035411925,0,0,0,0,0.0360562306069668,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.101499883251631,0,0,0,0,0,0,0,0,0,0,0,-0.00455674271067671,0,0,0,0,0,0,0
X000568.SZ,0,0.603326026598436,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0398722677315784,0,-0.00275128533575234,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.334941735658315,0,0,0,0,0,0,0,0,0,0,-0.0279435427431903,0,0,0,0,0,0
X600031.SH,0,0,0.232382814242579,0,0,0,0,0.249487582603327,0,0,0,0,0,0,0,0,0,0,0,0.0464183588779567,0.0318078779997074,0.124419576005734,0,0,0.0813520380616986,0,0,0,0,0,0,0,0,0.0019202009986588,0,0,0,0,0,0.0603134089262743,0,0,0,0,0,0,0,0,0,0,0,-0.0390000728480907,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0,0.209142122602503,0,0,0,0,0,0,0,0,0,0.0981915838022003,0,0.0155649216938015,0,0,0.0326461217908539,0.140114746069445,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0883054965358372,0,0.204159644091414,0,0,0,0,0,0,0,0,0,0,-0.0754356830164923,0,0,0,0,0,0
X600690.SH,0,0,0.13980893733229,0,0,0,3.46944695195361e-18,0.248921618535258,0,0,0,0,0,0.12822004898222,0,0,0,0,0,0,0,0.0987320028934396,0,0,0,0,0,0,0.0676942502089403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0309173286372769,0,0,0,0,-0.0109444371969069,0,0
X002304.SZ,0,0.3035032070874,0,0,0,0.00872451132177921,0,0,0,0,0,0,0,0,0,0,0.0216288727958513,0,0,0,0.0477777349328947,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.177328358864056,0.149642438319475,0,0,0,0,0,0,0,0,0,-0.0284069218906961,0,0,0,0,-0.0928470274250039,0,0
