,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X002475.SZ,X600276.SH,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X600031.SH,X300014.SZ,X000725.SZ,X002241.SZ,X300124.SZ,X000063.SZ,X002371.SZ,X000338.SZ,X600703.SH,X003816.SZ,X002129.SZ,X002049.SZ,X000596.SZ,X000625.SZ,X000661.SZ,X601877.SH,X002179.SZ,X300142.SZ,X600741.SH,X000100.SZ,X600089.SH,X002074.SZ,X002180.SZ,X600460.SH,X600702.SH,X002236.SZ,X000157.SZ,X000799.SZ,X600884.SH,X000733.SZ,X601799.SH,X002414.SZ,X600779.SH,X002007.SZ,X600183.SH,X600584.SH,X002008.SZ,X600522.SH,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.573973531639346,0,0,0,8.67361737988404e-19,0,0,0,0,-0.0168518859925246,0,0,0,0.0229224795198593,0,0,0,0,0,0,0,0,0.120681349117445,0,0,0,0,-0.00637037626747923,0,0,0,0.0230204980345362,0,0,0,0,0,0,0,-0.013997891997426,0,0,0,0,0,0,0,-0.038845359070756,0,0,0,-0.00550648818310805,0,0,0,0.0103157873381101,0,0
X000858.SZ,0.311426522150591,0,0,0.120610793956937,0,0,0,0,0.251320786971797,0,0,0,0,0,0,0,0,0,0,0.0437536933772785,0,0,0,0.0053785344211861,0,0.152782323027946,0,0,0.035661910380473,0,0,0,0,0,0,0.0436314332744535,0,0,0.0605628625460103,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00944326652539771,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0.112179660310147,0,0.055393257610155,0.210727951646241,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0299324267562084,0,0,-0.000981729169689981,0,0,0,0,0,0,0,0,0,0.0669364409900261,0,0,0,0,0,-0.0585067513302613,0,0,0,0,0,0,0,0.00527776186089863,0,0
X600809.SH,0,0.431900658810209,0,0,0.0455858129372748,0,0,0,0,0,0,0,0,0,-0.211559501946448,0,0,0,0,0,0,0,0,0,0,0.0677573602603742,0,-0.0543975462780424,0,0,0,0,0,0,0,0.150005452718582,0,0,0,0,0,0,0,0.10640476659817,0,0,0,0,0,0,0,-0.00208344130086299,-0.0463797832112941,0,0,0,0,0,0
X000568.SZ,0.153467642829597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.436213840539027,0,0.174311062551655,0,0,-0.0679255660669407,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0227756483435201,0.0563946251827905,0,0,0,0,-0.0634580767359516,0,0,0.0399483239335512,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0037375109169952,0,0,0,0.101179934882942,0,0,0,0,0,0,0,0.209131654441023,0.0622730151213284,0,0.0147745145225073,0,0,0,0,0,0,0,0,0,0,0,0.0389848465331011,0,0,0,0,0,0.0564479518461268,0,0,0,0,0,0,0,0,0,0,0,0,0.147647427787618,0,0,-0.0092040835636741,-0.0257725141839757,0,0,0,0,0,0
X600276.SH,0,0,0.00568452698046855,0,0,0.197483282791071,0,-1.73472347597681e-18,0,0,0,0.0223289284326144,-0.0795271311574122,0,0,0,0,0,0,0,0,0.0652600836175624,0,0,0,0.00113949700601624,0.118074279337875,-0.0432849424212692,0,0,0,0,0,0,0,0,0,0,0,-0.105274483056985,0,0,0,0,0.0805676045369139,0,0,-0.0108763350182467,0,0,0,0,0.0165354565651893,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0.18272325626209,0,0.205854462817412,0.0560840838822309,0,0,0,0,0,0,0,0,0,0,-0.057218501648828,0.035698081106398,0,0,0,0,0.0160629174592956,0,0,0,0,0,0,0,0,0.282605881988474,0,-0.0501038996227684,0,0,-0.00733704204364028,0,0,0,0,0,0,0,0,0,-0.00990785196736442,0,0,0,0.0376599472051697,0,0
X002304.SZ,0,0.336331590036663,0,0.0997843719243727,0,0,0,0.0676766062562947,0,0,0,0,-0.0542472162535804,0,0,0,0,0.0015091771002065,0,0,0,0,0,0.0280573983374454,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0492982554707013,0,0,0.0699694442385124,0,0,0,0,-0.0670929641608054,0,0,-0.00927209007516149,0,0,0,0,-0.0340205074165232,0,0
X600104.SH,0,0,0,0,0.0131710705734675,0,0,0,0,0,0,0,0,0,0.0216444631294038,0,0,0,0.151972995088695,0,0,0,0,0,0,0,0,0,-0.058420902606608,0,0,0,0,0,0.101690207892783,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0195270486909583,0,0,0,0,0,0,0
