,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X600741.SH,X002475.SZ,X002236.SZ,X000338.SZ,X600031.SH,X300003.SZ,X300124.SZ,X002008.SZ,X601877.SH,X000625.SZ,X002456.SZ,X600487.SH,X600271.SH,X600066.SH,X000100.SZ,X600809.SH,X002241.SZ,X600867.SH,X002294.SZ,X600566.SH,X600522.SH,X300136.SZ,X000981.SZ,X002179.SZ,X300142.SZ,X002508.SZ,X000050.SZ,X000157.SZ,X600089.SH,X600498.SH,X002049.SZ,X600707.SH,X000977.SZ,X600177.SH,X000661.SZ,X600584.SH,X002180.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.393579549712995,0.084563531017847,0,0.134510757006121,0,0,0.04639537808375,0,0,0,0,0,0,0,0,0,0.118773695891449,0,0,0,0.00120711541729799,0,0,0,0,0,0,0,0,-0.0285932597787905,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0189627820120703,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0.115983163397653,0.0174664757605037,0,0.236400542688853,0,0,0,0,0,0,0,0.018486303668842,0,0,0,0.0498272350450907,0,0,-0.0282646512128862,0,0,-0.180800157907993,0,0,0,0,-0.034067941527666,0.130027942923184,0,0,0,0,0,0,0,0,0,0,0,0,-0.0876568814718156,0,0.0145336875267002,-0.032163956001305,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.150919155267994,0,0,0,0,0,0.0211665966667933,0,0,0,0.108516462099556,0,0,0,0,0,0,0,0,0.348495725373629,0,0,0,0,0,0,0,0,0,0.132390315237624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00296474372865788,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.315946057709001,0,0,0,0,0.23112986250588,0,0,0,0,0.0275179919565244,0,0.0329715397094193,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.020015573027211,0,0,0.113363079641834,0.128015501650756,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00204853734424649,0,0,0,0,0,0,0
X000858.SZ,0.162363933892656,0,0,0.174790013024536,0,0,0,0,0,0,0,0.595216288666508,0,0,0.0135294533305703,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00422659706022038,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0123865291576481,0,0,0,0,0,0,0
X600276.SH,0.0856104395091974,0,0.14958949572459,0,0,0,0,-8.67361737988404e-19,0,0.112141522910755,0.0122797904468777,0,0.0026913373450402,0,0,0,0,0,0,0,0,0,0,0.218077417097797,-0.0231064746343039,0,0,0.112406653453203,0,0.0391236384349495,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.082678672371761,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.340211113860135,0,0,0,0,0,0,0.0143431111710297,0,0.0729682834182471,0,0,0,0,0,0,0,0,0.12487767978325,0,0,0,0,0,0,0,0,0,0,0,0,0,0.46550191917419,0,0.0244411531396026,0,0,0,1.73472347597681e-18,0,0,0,0,-0.00787148776525728,0,0,0,0,0,0,0
X002304.SZ,0.254903564663631,0,0,0,0.31484003634805,0.079340613933611,0,0,0,0,0,0,0.188873105239858,0,0,0,0,0,0,0,0,0,0,0,-0.0286281272323774,0,0,0,0,0,-0.0771008844094753,0,0,0,0,0,0,0.198076663602573,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00239479172851838,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.566707046094127,0,0,0.237356539250836,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.124665702242836,0,0,0,0,0,0,0,0.104120624218824,0,0.00585417125427559,5.42101086242752e-20,0,0,0,0,0,0
X600690.SH,0,0,0,0.200870173725014,0.304152867215447,0,0,0.202559843640686,0,0,0,0,0,0,0,0,0,0,0.0153128531152559,0,0,0,-0.0373652371045682,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0599894521624786,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
