,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X000625.SZ,X300124.SZ,X000725.SZ,X003816.SZ,X000596.SZ,X002371.SZ,X000063.SZ,X000338.SZ,X600031.SH,X300014.SZ,X002179.SZ,X000100.SZ,X002129.SZ,X600703.SH,X600089.SH,X002236.SZ,X002049.SZ,X600372.SH,X002241.SZ,X000661.SZ,X000157.SZ,X600584.SH,X600741.SH,X000977.SZ,X601877.SH,X600522.SH,X000800.SZ,X002007.SZ,X002074.SZ,X600183.SH,X002463.SZ,X601799.SH,X600418.SH,X000066.SZ,X000733.SZ,X002180.SZ,X300142.SZ,X002028.SZ,X600702.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.29611614253833,0,0.0424034157380626,0.0253186710013655,0,0,0,0.0483295169280909,0,0,0,0,0,0,0,0,0,0.0216543322690713,0,0,0,0,0,0,0,0,0,0,0,0,-8.67361737988404e-19,0.0335612418360323,0,0,0,0,0,0,0,0.0514562035479038,-0.00470505712005877,0,0,0,0,0.140882184310117,0.0261371163926105,0,-0.00486048442791744,0,0,0,0,0,0,0
X000858.SZ,0.126278413474196,0,0,0.129927590063273,0,0,0,0,0,0,0,0.0951229212403583,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0351140526026317,0,0,0,0,0,0,0,0,0,0,0,0,1.73472347597681e-18,0,0,0,0,0.0762277544378955,0.199852289113965,0,0,-0.0179111039582919,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0479100317318544,0,0,0,0,0,0,0,0,0,0.22413652430774,0,0,0,0,0,0,0,0.11055444089738,0,0,0,0,0,0,0.00573965317242198,0,0,0,0,0,0,0,0,0.00504731298925109,0.014280667292956,-0.0292400319255215,0,0,0,0,0,0
X000568.SZ,0.431324126592493,0,0,0,0,0.32742332024968,0,0,0,0,0,0,0.129689243400282,0,0,0.159983714759017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00305544502529398,0.0249420235679534,0.00557130304002122,4.33680868994202e-19,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0566191664135741,0,0.170835992439875,0,0,0,0,0,0,0,0,0,0,-0.0850565211665571,0,-0.0892906533777348,0,0,0.000366051472897756,0,0,0,0,0,0.219607280347012,0,0,0,-0.0527833504437423,0,0,0.0626066906514631,0,0,0,0,0,0,0,0,0.106136063386322,0,0,0,0,0.000604784111468675,0,0,0,0,0,0,0
X600809.SH,0.227626528292092,0,0,0.361886078482394,0,0,0.028619852994561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0647820513749122,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0119718101297947,0,0,0,0,0,0,0,0,0
X002475.SZ,0,0,0.0381245289900762,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0575602162966701,0,0,0,0,0,0,0,0,0,0.0644923305978443,0,0,0.238517192339107,0,0,0.0990018403916479,0,0,0,0,0.122402083715726,0,0,0,0.113805760115458,0,0.00986785538580752,0,0,0.0586866199860939,0,0,0,0,-0.0586894259006538,0.0813773725953222,0,0,0,-0.168786176116495,0,0
X600690.SH,0.121664322752421,0,0,0,0,0.0807111830953626,0,0,0,0,0,0.0124680711690919,0,0,0,0,0,0,0.13063043421803,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0710767338828521,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0.000795174416352688,0,0,0,0,0,0
X000651.SZ,0.0285689166047968,0,0,0,0.0678180724325855,0,0,0,0,0,0,0.0271448055200969,0,0,0,0,0,0,0.0588133474068044,0,0,0,0,0,0,0,0,-0.0667420522182235,0,0,0,0,0,0,0,0,0.124161531624941,0.00983664328122428,0,0,0,0,0.0817871350749928,0,0,0,0,0.040734323152755,0,0,0,0,-0.0168832244664044,0,0,0,0,0,0
X002304.SZ,0,0,0,0.0452266120932073,0,0.0814528361023998,0,0,0,0,0,0.0811163581778674,0,0,0,0,0,0,0,0,0.0181121644107157,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.252251635448305,0,0,-0.0232671088794928,0,0,0,0,0,0
X600104.SH,0.110644183457877,0,0,0,0,0,0,0,0,0,0,0.179411628978931,0,0,0,0,0,0,0.15856910240299,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.015023153445328,0.0119615391621286,0,0,0,0.13099911887414,0,0.0142703636176005,0,0,0,0,0,0,0,0,0,0,0,0.00740233224610116,0,0,0,0,0,0,0
X000625.SZ,0,0,0,0,0.00663089140052396,0,0,0,0,0.11650779232372,0,0,0,0,0,0,0,0,0,0,0.064919648246918,0,-0.0958946419326292,0,0,0.0287395841963406,0,0,0,0,0,0,-0.00972409873256011,0.370244565979854,0.0169112857418761,0,0,0.00498082253742111,0,0,0,0,0,0.373269468828171,0,0,0,0,0,0,0,-0.00246606649284402,0,6.93889390390723e-18,0,0,0,0,0
X300124.SZ,0,0,0,0.13205183982129,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.102562091100991,0,0,0,0,0,0.0397599109375018,0,0.057921789189565,0,0,0,0,0.277299437147948,0,0,0,0,0,-0.155175220522807,0,0,0,0,0,0,0,0,0,0,0,0,0,9.79023733670752e-05,0,0.0497119114772015,0,0,0,0,0
X000725.SZ,0,0,0,0,-0.0145754450451234,0,0,0,0,0,0,0,0.102350718858865,0,0,0,0.110815540394403,0,0,0,0,0,0.416654829700984,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0451611450167596,0,0,0,0,0,0,0,0,0.00625617408397494,0,0,0,-0.00831761815742337,0,0
