,X600519.SH,X000858.SZ,X600276.SH,X002415.SZ,X002475.SZ,X000651.SZ,X002304.SZ,X000568.SZ,X600809.SH,X600104.SH,X600031.SH,X600690.SH,X000725.SZ,X000661.SZ,X300124.SZ,X300014.SZ,X003816.SZ,X000063.SZ,X000596.SZ,X000338.SZ,X002241.SZ,X600703.SH,X000625.SZ,X600741.SH,X000100.SZ,X002371.SZ,X002129.SZ,X601877.SH,X002179.SZ,X002049.SZ,X002007.SZ,X000157.SZ,X002414.SZ,X600183.SH,X600584.SH,X300142.SZ,X002236.SZ,X000800.SZ,X000066.SZ,X601799.SH,X002074.SZ,X300003.SZ,X000799.SZ,X000547.SZ,X002008.SZ,X600089.SH,X300146.SZ,X600118.SH,X002508.SZ,X600779.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.352915537221825,0,-0.106944921139458,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0228784160223932,0,0,0,0,-0.0145782775266253,0,0,0,0,0,0,0,0,0,-0.0414844214060197,0,0,0,0,0.0515812744678238,0,0,0,0,0,0,-0.00261043942874635,0,0
X000858.SZ,0.23203839397174,0,0,0,0,0,0.0434419359302353,0.282254794531403,0.0360801350080697,0,0,0,0,0,0.0130200901504527,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0261274422336873,0,0,0,0.0187657292610606,0,0,0,0,0,0,0,0,0.099732347974051,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00273220042691326,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0548573256634955,0,0,0,0,0,0,0.0161090502489508,0,0,0,0,0,0.133807300315235,0.0736663480156907,0,0,0.0143353616084404,0,0,0,0,0.00450101266801862,0,0,0,0,0.0313761542240948,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00114751205950243,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0.0287354729948028,0,-0.0418123334277754,0,-0.0575054520600008,0,-0.06613988302101,0,-0.0863608828883888,0,0,-0.0232800612477549,0.0765176822984916,0,0,0.182415948857241,0,0,0,0,-0.16909338740496,-0.085213264639752,0,0,1.0842021724855e-19,0.20664090465638,0,0,0.0163595855584042,0,0,0.093168382255907,0,0,0,0,0,0,-0.0263207319932811,0,0.014179454042786,-0.0270602910981969,0,0,0,-0.00749106119028744,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0353822115261678,0,0.0384864966412173,0.084095323706341,0,0.379084749149583,0,-0.00838599409336733,0,0,0,0,0,0,0,0,0,0,0,0,-0.0259815844819901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0218466725785228,0,0,0,0,-0.00083299680893617,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0.0738244501732706,0,0.0842191606694328,0,-0.00808941489455194,0,0,0,0,0,0,-0.109897190430812,0,0,0,0,0,0,0,0,0,0,0.246036165491275,0,0.0208486347868886,0,0.0490584353153028,0,0,0,0,0.136151596682708,0,0,0,0,0,0,0.0456487047979427,0,0,0,0,-0.0170470842537577,0,0,0,-0.0220180004984533,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0.22348725814487,0,0,0,0,0.0303292580538857,0,0,0,0,0,0,0,0,-0.0328280885253645,0,0,0,0,0,0,0.0162859708002554,0,0,0,0,0,0,0,0,0,0,0.019529416536354,0.048872078907035,0.163533069595747,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0,0,0.0945535627811381,0,0.409083588984114,0,0,0,0,0,0,0,0,0,0,0,0,0.0090788888079416,-0.0038162951586236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.046460231493304,0,0,0,0,0,0,0,0,0.163943760545044,0,0,0,0,0,0,-0.00590546660073313,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0.0558761159830981,0,0,0,-0.112560617545186,0,0,0,0,0,0,0,0,0,-0.0511998366172005,0,0,0,0,0,-0.0371485555627405,0,0,0,0.166904091488702,0,0,0,0,0,0.139050949801069,0,0,0,0.0619947421957235,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108516217590174,0,0,0,0,0,0,0.145595018424563,0.0421125340829736,0,0.0868272200654493,0,0,0,0,0,0,0,0,0,0,0,0.0528681878457566,0,0,0.0212271754056897,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0292427258212974,0,0
