,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X000625.SZ,X600031.SH,X002236.SZ,X600741.SH,X002475.SZ,X002241.SZ,X000338.SZ,X002456.SZ,X600066.SH,X000100.SZ,X601877.SH,X300124.SZ,X600089.SH,X600177.SH,X300003.SZ,X000157.SZ,X002085.SZ,X002508.SZ,X002008.SZ,X600271.SH,X600487.SH,X300136.SZ,X600809.SH,X600522.SH,X002294.SZ,X600118.SH,X000050.SZ,X600372.SH,X000981.SZ,X600867.SH,X002074.SZ,X600699.SH,X000559.SZ,X300115.SZ,X600566.SH,X002179.SZ,X000066.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.045947880290232,0,0.254386980847934,0,0.00806455282282039,0,0,0,0.00452000884655554,0.172929389364766,0,0,0,0,0,0,0,0,0,0,0,0.0167718107739565,0,0,0,0,0,0,0,0,0,0,0.028905735708325,0,0,0,0,0,0,0,-0.0557555262206196,0,0,0,0,0,0,0,0,0,-0.00554147110530517,0,0,0,0,0,0
X600104.SH,0,0,0,0.0820731574057839,0,0,0,0,0,0.250911048036847,0,0,0.0803747271721805,0,0,0.43157856633341,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0107863403554036,-0.040270485061413,0,0,0,0,0,0,0,0,0,0,0,0,-0.0797132992635379,-0.0282768652994682,0.00734876032093916,0,-0.0178631462933819,0,0,0.0312932201549388,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.109386442739376,0,0.0770176079998353,0,0,0,0,0,0,0,0.220398647220721,0.159241726587428,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121638067720657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00657630960339717,0,0,0,0,0,0,0
X000651.SZ,0,0.154019451337318,0,0,0.162331242942164,0,0.0829462780003191,0,0,0.0652991182399748,0,0,0,0,0.0647028460566316,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0514552584483746,0,0,0,0,0,0,0,0,-0.0525084444530715,0,0,0,0,0,0,0,0.142274484983226,0,0,0,0,-0.00439111983498746,-0.0145209233712935,0,0,0,0,0,0
X000858.SZ,0,0,0.022126179473605,0.177728662315778,0,0,0,0,0,0,0,0.484435008183591,0,0,0.0636939515712452,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0668717352489056,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0215163977166873,0,0,0,0,0,0
X600276.SH,0,0.0924779633319404,0.0782027003454953,0,0.329530267903348,0,0,0.0495536311807902,0,0,0,0,0,0,0,0,0,0,-0.0827392921753169,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.095906160352426,0,0,0.0574451260045586,0,0,0,0,0,0,0,-0.12848724834902,0.0140970051313583,0.0122075825394434,0,0,0,0,0,0
X000725.SZ,0,0,0.163683654802606,0,0,0,0,0,0.0919793470108161,0,0,0,0,0,0,0,0,0,0.196642277542295,0,0,0,0,0,0,0,0,0,0.0511291143467791,0,0,0.179987019688234,0,0,0,0,0,0,0.0458476806589602,0.0224088452492071,0,0,0,0.0879211236176184,0,0,0,0.216339124808026,0,0,0,0.000227545634264022,0,0,0,0,0,0,0
X002304.SZ,0,0.0801490140631172,0,0,0.370217423907696,0,0,0,0,0,0.0697196141142415,0.0678220603218223,0,0,0,0.0612429553878958,0,0,0,-0.0825734810519842,0,0,0,0,0,0,0,0,0,0,-0.0136631022147657,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0.02618800923796,0,0,0,0,0,0,0,0.16989781830229,0,0,0,0.137530358430522,0.0614162592633569,0,0.0544223118080374,0,0,0,0,0,0,0,0,0,0,0,0,0.0385284041448205,0,0.167422064160924,0,0,0,0,0,0,0.0991120478351076,0,0,0,0,0,0,0,0,0,0,0,-0.0404961738581233,0.0297980139914828,0,0,0,-0.0857623808939134,0,0
X600690.SH,0,0.246835515144928,0,0.294531639266811,0,0,0,0,0,0,0.00527760580500782,0,0.0468212395943479,0,0.135102316536914,0.1031382929474,0,0,-0.0994164282341208,0,0,0,0,0,0,0,0,0,0.0434795103652254,0,0,0,0.165097937522359,0,0,0,0,0,0,0,0,0,0,0,0,0,0.118440572265957,0,-0.084396197800188,0.00766742262485167,0,0.0197766127307457,-0.0135817888215954,0,0,0,0,0,0
