,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X600276.SH,X000725.SZ,X002304.SZ,X000063.SZ,X600703.SH,X600690.SH,X000568.SZ,X002236.SZ,X002475.SZ,X002241.SZ,X000625.SZ,X600741.SH,X600031.SH,X002456.SZ,X000338.SZ,X600066.SH,X300124.SZ,X000100.SZ,X601877.SH,X600809.SH,X300003.SZ,X600487.SH,X300136.SZ,X002085.SZ,X002008.SZ,X600089.SH,X002508.SZ,X600271.SH,X600177.SH,X000157.SZ,X600522.SH,X002294.SZ,X600118.SH,X600867.SH,X000050.SZ,X300115.SZ,X600372.SH,X600699.SH,X000559.SZ,X000981.SZ,X600566.SH,X600498.SH,X002074.SZ,X002179.SZ,X002007.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0.071756043183594,0,0.120591319509399,0,0,0.0456285149013218,0,0,0,0.196546785227613,0,0,0,0,0,0,0,0,0,0,0,0,0.105392537679818,0,0,0,0,0,0,0.0255555283766098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0550144335480378,0,0,0,0,-0.00605822579021521,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.243730256803334,0,0,0,-0.0136206390215128,0,0.44202289539815,0,0,0,0,0,0,0,0,0.154440362546011,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0542791689327209,0,0.0541474561286877,-0.169033977801837,0,0,0,0,0.0247636818766433,1.67714403178845e-05,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,5.42101086242752e-20,0,0.107460122184472,0,0.258549903797369,0,0,0,0.216643898026478,0,0,0,0,0,0,0,0,0,0,0,0.0398876049730934,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0158883952080768,0.00580607607430223,0,0,0,0,0,0
X000651.SZ,0,0.0979475781216267,0,0,0.149843388871025,0,0,0,0,0,0.276050730878854,0,0.0616169901331175,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0300487390125369,0,0,0,0,0,0,0,-0.0243335990015918,0,0,0,0,0,0,0,0,0,0,0.087577048306767,-0.00645274263137396,0,0,0,0,0,0,0
X000858.SZ,0,0,0.0896336724434524,0,0,0,0,0,0,0,0,0.494867965154918,0.103904346067433,0,0,0,0,0.0275709233849336,0,0,0,0,0,0,0,0.0245731432903996,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00244973789987008,0.00524325361727595,0,0,0,0,0,0
X600276.SH,0,0,0,0,0.283446032554305,0,0,0,-0.0239226731636537,0,0,0,0,0,-0.0294016481553957,0,0,0,0,0,0,0,0,-0.127950297326135,0,0,0,0,0,0,0,0,0,0,0,0,-0.0220577332197854,0,0,0,0,-1.35525271560688e-20,0,0,0,0,0,0.114695584072461,0,0,-0.161850423542848,0.0216322729090824,-0.0234407094921989,0,0,0,0,0,0
X000725.SZ,0,0,0.154697286431809,0,0,0,0,0,0.0374621071685938,0,0,0,0,0,0,0,0,0,0,0.278639032482176,0,0,0,0,0,0,0.119029518268522,0,0.160202669270136,0,0,0,0,0,0,0,0,0,0,0.0840343037390167,0,0,0.0435863456277471,0,0,0,0.118374242252577,0,0.138880940687513,0,0,-0.00359031736598975,0,0,0,0,0,0,0
X002304.SZ,0,0.00966573514525973,0,0,0.306337332162108,0,0,0,0,0,0,0.315760574594377,-3.46944695195361e-18,0,0,0,0.042384225136854,0.0526604017063112,-0.1593630774598,0.0139770599729159,0,0,0,0,0.0998746949717083,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0312310068998558,0,0,0,0,0,0,0,0,0,0,0,0,-0.00974574861211232,0.00684843347815247,0,0,0,0,0,0
X000063.SZ,0,0,0.0454677524160522,0,0,0,0,0,0,0.0709342413544285,0,0,0.148936766927241,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0.250479676252004,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0374070375537204,0.0621184790888042,0,0,0,0,0,0
X600703.SH,0,0,0,0,0.0417262042212235,0,0,0.257436649071367,0.341745723919998,0,0.161307707264936,0,0,0.0131328730554233,0.200277478862036,0,0.0523133890394475,0.0575291477071495,0,0,0,0.118118861613653,0,0,0,-0.0283138456870197,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00855206442924972,0,0,0,0,0,0,0
