,X600519.SH,X000858.SZ,X002475.SZ,X002415.SZ,X600690.SH,X600809.SH,X600276.SH,X003816.SZ,X000651.SZ,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X300124.SZ,X000625.SZ,X600031.SH,X000063.SZ,X000338.SZ,X002304.SZ,X000596.SZ,X000100.SZ,X002179.SZ,X300014.SZ,X002463.SZ,X600089.SH,X002241.SZ,X000157.SZ,X600584.SH,X600703.SH,X600372.SH,X600066.SH,X000977.SZ,X600522.SH,X600741.SH,X002236.SZ,X002028.SZ,X600183.SH,X002049.SZ,X000921.SZ,X601877.SH,X002180.SZ,X600487.SH,X600418.SH,X002223.SZ,X000661.SZ,X000800.SZ,X002129.SZ,X000400.SZ,X002156.SZ,X601799.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0.214591142384098,0,0,0,0.26446610318745,0,0,0,0,0,0,0,0,0.02501956305046,0.0891487459080203,0,0,0,0,0,0,0,0,-0.0564563259714314,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0145313318035165,0,-0.0581735312194867,0,0,0,0,0,0,0,0,0,0,0,0.0200992838891046,0,0
X000858.SZ,0,0,0.0297180658211863,0,0,0.103048645878618,0,0,0,0.392604409946716,0,0,0,0,0,0,0,0,0.212993068511997,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.00648465037331249,0,0,0,0,0,0,0,0,0,0,0,0,0.0551409178633742,0,0,-0.00613266845652359,0.0387702175093525,0,0,0,-0.0245880104935406,0,0,0,0.000960685497993042,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0376754325681087,0,0,0.454032449744876,0,0.104939225127642,0,0,0,0,0,0,0,0,0.0151639408123687,0,0,0,0,0,0,0,0,0,0.039397784121177,0,0.0437836326019304,0,0,0,0.00447680580839937,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0.11957458051729,0,0,0,0,0,0,0,-0.0968758779015169,0,0,0,0.035017706139215,0,0,0.0190041052399758,0,0,0,0,0,0,0,0,0,0.0919353907051243,0,0,0,0,0.0924021920645111,0,-0.00506703707797467,0,0,0,0,0,0,0,0.153421736724066,0,0,0,0,0,0.00568295001376071,-0.192988506333809,0,0,0.0431931794063019,0,0
X600690.SH,0,-0.0630698100627502,0,0,0,0,0,0,0.0298109386820384,0,0,0,0,0,0,0,0,0.25569893539254,0,0,0,0,-0.0326614771845872,0,0,0,0,0,0,0,0,-0.0200352410320991,0,0,0,0,0,0,0.206554172298224,0,-0.0826381658534129,0,-0.0234915161909388,0,0,0,0,0,0,0,0,0,0.0170317470173293,0,0,0,0.0990483577089844,0,0
X600809.SH,0,0,0,0,0,0,0,0,0,0,0.00144023074978133,0,0,0,-0.0960267804426509,0,-0.081564817398607,0,0,0.323321094492884,0,0,0,0,0,0,0,0,0,0,0.0552957838398892,0,0,0,0,0,0,0,0,0,0.0317339113778619,0,0,0,0,0,0,0,0,0,0,-0.0209663870246723,0.0284908700270576,0.0390656034368439,0,0,-0.0183888979899135,0,0
X600276.SH,0,0,0.0236673581251873,0,0,0,0,0,0,0,0.204703588798618,0,0,0,0,0,0,0,0,0.0694617298010335,0.0200878363014184,0.0126060689936724,0.208129141150401,0,0,0,0,0,0.00131133568276216,0,-0.0298526842434159,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.143329052529991,0,0,-0.0291711747184792,-0.0437245983778443,0,0,0.0808815291162595,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.186337385231327,0,0,0,0,0,-0.0894479492121957,0,0,0,0,0,0,-0.0161053115961018,0,0,0,0,0,-0.00775734347450357,0,0,0,0,0.119235371467892,0,0.119392540853618,0,0.0300704034727841,-0.0435181817257603,0,0,0,1.0842021724855e-19,0,0
X000651.SZ,0,0,0,0,0.294976362554403,0,0,0,0,0.12561270289144,0,0,0,0,-0.0891106229326974,0,0,0,0,0,0.0420369427472146,0,0,0,0.180661067759356,0,0.111849590229241,0,0,0,0,0,0,0,0,0,0,0,0.0311296424386612,0,0,0,0,0,0,0,-0.0930684824190126,0,-0.016677132668656,0,0,0.0546739837181569,-0.0289586043479992,0,0,0,0,0,0
X000568.SZ,0,0.803171667322996,0,0,0,0,0,0,0,0,0.0550956006963758,0,0,0,0.0436391922807229,0,0,0,0,0.208397043037411,0,0,0,0,0,0,0,0,0,0,0.0821328162682771,0,0,0,0,-0.046138088430908,0,0,0,0,0,0,0,0,0.0463738229527926,0,0,-0.0275393264916315,0,0,0,-0.0160394401867023,-0.0435123974880108,0,0,0,0,0,0
