,X600104.SH,X600519.SH,X000725.SZ,X000651.SZ,X002415.SZ,X000625.SZ,X000858.SZ,X002304.SZ,X600276.SH,X000063.SZ,X600372.SH,X600690.SH,X600031.SH,X002241.SZ,X000338.SZ,X000157.SZ,X600703.SH,X600741.SH,X600089.SH,X002236.SZ,X000100.SZ,X000581.SZ,X000559.SZ,X600118.SH,X000050.SZ,X002475.SZ,X601877.SH,X000550.SZ,X600066.SH,X002129.SZ,X002294.SZ,X600271.SH,X000568.SZ,X002456.SZ,X002292.SZ,X000869.SZ,X600435.SH,X300003.SZ,X000800.SZ,X300124.SZ,X000400.SZ,X002007.SZ,X600839.SH,X002049.SZ,X002038.SZ,X000623.SZ,X000977.SZ,X600566.SH,X002008.SZ,X600177.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600104.SH,0,0,0,0,0.0650153812567516,0.0457113604557724,0,0,0,0,0.0026692881321022,0,0,0,0,0,0,0.395312814415834,0,0,0,0,0,0,0,0,0,0.0865552256389335,0,4.33680868994202e-19,0,0,0,0,0,0,0,0,0.0159541665689664,0.00629147811703361,0.0163369817451192,0,0,0,0,0,0,0,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0,0
X600519.SH,0.0782196281464459,0,0,0.0265155424025433,0,0,0.117011779924943,0.100885439538927,0,0,0,0,0,0,0,0,0,0,0,-0.0248324794873532,0,0,0,0,0.0340779419921364,0,0,0,0,-0.0457918493140685,0,0,0.068417135129584,0,0,0,0,0,0,0,0,-0.127050448549092,-0.00918692680141862,0,0,0,0,0,0,0,0,-0.0142276416012451,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149726216922688,0,0,0,0,-0.00770850009547155,0,0.0608180579677553,0,0,0,0,0,0,0,0,0,0,0,0.12491028745461,0,0,0,0,0,0,0,0,0,0,0,0.0112247726500166,0,0,0,0,0,0,0
X000651.SZ,0,0.150923446292062,0,0,0,0,0,0.0110243159185541,0,0,0,0.178150683803773,0,0,0,0,0,0,0,0,0.028911656313572,0,-0.0317193392296737,0,-0.0233205600634119,0,0,0,0,0,0,0,0,0,0.0975704984885202,0.0463603815681685,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,-0.00236367996143845,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.0659301190378543,0,0,0,0,0,0,0,0,0.278417108240249,0,0,0,0,0.01283114057246,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.164653496244007,0.0438539832898939,0,0,0,0.0673739440156749,0,0,0,0.0193834009177144,0,0,0,0,0,0
X000625.SZ,0.214469896365356,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.127135778895942,0.110078530993939,0,0,0,0,0,0.0310347609506597,0,0,0,0,0,0,0,0,0,0.0972873826803188,0,0,0,0,0.170692724206514,0,0,0,0,0,0,0,0.0330053835757954,0,0.0638993117762118,0,0,-0.00827993524359166,-0.0100177579021043,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0,0,0.00416734078150948,0,0,0,0,0,0,0.221604624586972,0,0,0,0,0,0,-0.0363402524689845,0,-0.0511374019836107,0,0,0,0,0,0.35624736560421,0,0,0.222509565244468,0,0.128273247467914,-0.0143574395459534,0.0830529085939657,0,0,0,0,-0.0369926873177638,0,0,0,0,0,0,0.0183172795043752,-0.0474231030320434,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0.371570061027381,0,0,0,0,0,0,0,0,0,0,0.0438026279787691,0,0,0,0,0,0,-0.15211720687669,0,0,0,0,0.086066694088463,0,0,0.18029221603536,0,0,0.0139306085444903,-0.030469379713118,0,0,0,0,0,0,0,0.147614073784925,0,0,-0.0214771617969867,0,0,0,0.0158925511089573,0,0,0,0,-0.0290991908787105,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0244873540875356,0,0,0.121906274238919,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0221176454274607,0,0,0,0.102686507914236,-0.0881296026743763,0,0,0,0,0,0,0,0,0.0162721494338882,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0282514588458701,0.0840793225288324,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0622459117119435,0,0,0,0,0.0075266674338516,0,0,0,0,0,0,0,0,0.147566671386111,0,0,0.0157179580864409,0.117720822508472,0,0,0.0221293729751863,0.0372242345534735,0,0,0,0,0,0,0.0257535503304547,0,0,0,0,0,0,0,0,0,0
