,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X003816.SZ,X000651.SZ,X600690.SH,X600809.SH,X000568.SZ,X002371.SZ,X600104.SH,X000725.SZ,X000625.SZ,X600031.SH,X000063.SZ,X002304.SZ,X300124.SZ,X000338.SZ,X000596.SZ,X002179.SZ,X300014.SZ,X000100.SZ,X002241.SZ,X600089.SH,X002463.SZ,X600372.SH,X000157.SZ,X600703.SH,X600584.SH,X002028.SZ,X000977.SZ,X600066.SH,X002236.SZ,X600522.SH,X600418.SH,X600183.SH,X600741.SH,X002049.SZ,X601877.SH,X000800.SZ,X600177.SH,X002223.SZ,X000661.SZ,X601799.SH,X600487.SH,X000921.SZ,X002129.SZ,X002180.SZ,X002074.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.240409882224135,0,0,0,0,0,0,0.146186328290055,0,0,0,0,0,0,0,0,0,0.0340993410177556,0.148303904436331,0,0,0,0,0,0,0,0,-0.0369683805368964,0,0,0,0,0,0,-0.0133526252773377,0,0,-0.0504210337664728,0,0,0,0,0,0,-0.0299469109997449,0,0,0,0,0,-0.000375484755554819,-0.0604986107340826,0,0,0,0.00895294908519914,0,0
X000858.SZ,0.19472263078129,0,0.0235753334936524,0,0,0,0,0,0.0393956584323331,0.255173824904364,0,0,0,0,0,0,0,0,0,0.111891530373197,0,0,0,0,0,0,0,0,0,0,0,0,-0.0301253499648076,0,0,0,0,0.0673984338330111,0,0,0,0,0.00122439834986003,0.0574799762105359,0,0,0,0.0254202189799326,0,0,0,-0.0203919649511183,0,0,0,0,0.0216509668953224,0,0
X600276.SH,0,0,0,0,0,-0.00946610855922565,0,0,0,0,0.123282739053906,0,0,0,0,0,0.232290187573173,0,0,0.0129074398075202,0,0,0,0,0,0,0,0,0,0,-0.060428528560859,0,0,0,0,0,0,0,0,0,0,0,-5.42101086242752e-20,0,0,0,0.0215205187360677,0,0.00985040102518436,0.113713356944173,0,-0.0595398717976952,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0604069473455128,0,0,-0.0324349755171339,0,0,0.490067430933512,0,0,0,0,0,0.236241878840965,0.0481300051495077,0,0.0814991718745403,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0345580096658456,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0.017944980333347,0,0,0,0,0,0,0,0.0764700425726702,0,0,0,0.221927959188692,0,0,0,0,0,0,0,0,0,0,0,0,0.0483238033059461,0,0,0.148496378514533,0,0,0,0,0,0,0.0326827801323771,0,0,0,0,0,0,-0.0162043274131075,0,0,0,0.00335417710870147,0,0
X003816.SZ,0,0,0,0,0,0,0,-0.0335307950431456,-0.00724032438321638,0,0,0,0,0,0,0,0,-0.0455998724548802,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.91069398696861e-05,0,-0.160651756675143,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.176110170086637,-0.144629403420077,0,0,0.0821653319757917,-0.114149440581952,0,0,0,-0.0358006632372109,0,0
X000651.SZ,0,0,0,0,0,0,0,0.0575937807283155,0,0,0,0,0,0,0,0,0,0,0.0585328022990834,0.0429595354989061,0,0,0,0,0,0,0,0,0,0,0,0,0.037819879121965,0,0,0,0,0,0,0,0,0,0,0,0,0,0.121229660335002,0,0,-0.0475784708243227,0,0,0,0,0,0,-0.00174047249822484,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.133693515668246,0,0,0,0,0,0.185012515819784,0,0,-0.0532421600183958,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.263995599172418,0,0,0,0,-0.0141744459594411,-0.0792226596794654,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.00866966977801573,0,0.0779596506086169,0,0,0.0705303357004651,0,0,0,0,0,0,0,0.0634558997828334,0.458739446462453,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0331417919134506,0,0,-0.0172605286626158,0,0,0,-0.0344955903913426,0,0,0,0.016837609056451,0,0,0,0,0
X000568.SZ,0.632070005333074,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.218211907059722,0,0,0,0,0,0,0,0.0382266782026485,0,0,0,0,0.0233930953250112,0,0,0,-0.038280335671507,0,0,0,0,0,0,0.066995730602592,0,0,0,-0.056029476600493,0,0,0,0,-0.0194063194009224,-0.0194635723550135,0,0,0.00125071788021636,0,0
X002371.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0269184738006703,0,0,0,0,0,0.077855063047296,0,-0.0683908533964421,0,0,0,0,0,0,0,0.35886988395621,0,0,0.121624498142964,0,0.0497559514153765,0.0833462201701518,0,0,0.108507140090292,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0798875910336294,0.0887432423015797,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0.0299928813117682,0,0,0,0,0,0,0.157893619766544,0,0,0,0,0,0,0,0,0,0,-0.0418685380477746,0,0,0,0,0,0,0,0,0,0.0175126407591487,0,0,0,0,0,0,0,0,0.0590207925823235,0,0,0,0.128124856777721,0.050839629784959,0,0,0,0,0,0,-0.00519618489227516,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.617076162185538,0,0,0.0489025420175647,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108073718146185,0,0,0,0,0,0,0,0.00836715464232745,0,0
