,X600519.SH,X600104.SH,X000651.SZ,X000725.SZ,X002415.SZ,X002304.SZ,X000858.SZ,X000625.SZ,X600690.SH,X600276.SH,X000100.SZ,X600703.SH,X000063.SZ,X600031.SH,X000157.SZ,X000338.SZ,X600271.SH,X600741.SH,X600118.SH,X002292.SZ,X002475.SZ,X600066.SH,X600372.SH,X002241.SZ,X600177.SH,X300124.SZ,X002236.SZ,X601877.SH,X600089.SH,X002129.SZ,X002456.SZ,X000568.SZ,X000016.SZ,X300003.SZ,X002294.SZ,X600839.SH,X000559.SZ,X002223.SZ,X600582.SH,X000550.SZ,X002276.SZ,X000869.SZ,X000623.SZ,X000800.SZ,X000066.SZ,X002008.SZ,X600435.SH,X600252.SH,X600312.SH,X600060.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.10911575055216,0.0280278094137569,0,1.73472347597681e-18,0.084761337903807,0,0,0,0,0,0,0.184184318806237,0,0,0,0,0,0,0,0,0,0,0,0.023988500378061,0,0,0,0.0196821595310981,0,0,0,0,0,0,0,0,0.0331623673317131,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00566860279730547,0.00289477412932803,0,0,0,0,0,0
X600104.SH,0.133132186854888,0,0,0,0.142708150102995,0.23647164644841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108573948980821,0,0,0,0,0,0,0.0197359067178828,-0.0117692989252487,0,0,0,0,0,0,0,0,0,0.0527841943315855,0,0,0,0.0126710093384546,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104419184147609,0,0.0549895256737312,0,0,0.0580869537016889,0,0,0,0.0605432427724911,0,0.0283849086201978,0,0,0,0,0,0,0.332283263280809,0,0,0,3.46944695195361e-18,0.0738941499477138,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.010239181301133,0,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0.163168544468461,0,0,0,0,0,0,0.185763292417847,0,0,0,0,0,0,0.181331247457561,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.123349684284677,0,0,0.0842576147784342,0,0,0,0,0.0399439668634895,0.0684310414047389,0,0,-3.46944695195361e-18,0,0,0,0,-0.00257112029191377,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.0345487892858244,0,0,0,0,0,0,0,0,0,0.181277028873879,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0926528350912199,0,0,0,0,0,0.0664344263657578,0,0,0,0,0,0,0.0277758125681934,0,-0.0133630167445155,0,0,0,0,0,0,0
X002304.SZ,0,0.120982136518997,0,0,0,0,0.368004711973929,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222878622284037,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0341870630424049,0,0,-2.16840434497101e-19,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0.0936995511429836,0,0,0,0,0,0,0,0.0312916384520315,0,0.140415853478687,0,0,0,0,0,0,0,0,0,0.0090418804131981,0,0,0,0,0,0.502972796264111,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0279879683692049,-0.029459969271321,0,0,0,0,0,0
X000625.SZ,0,0,0.0597169163922831,0,0,0,3.46944695195361e-18,0,0,0.037364423612078,0.106635930421189,0,0,0,3.46944695195361e-18,0.109258776933729,0,0.0629724803964839,0,0,0,0,0.0500806065774537,0,0.0934630571998635,0,0,0,0.0565257397817439,0,0,0.118689721207073,0,0,0,0.00175253907480444,0.00497344209277232,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0.0829032408325387,-8.67361737988404e-19,0,0,0,0,0,0,0,0,0.186291160437373,0,0,0.0223487327763829,0,0,0,0,0,0,0,0,0,0,0,0,0.0134023183854014,0,0,0,0,0.0946714959886643,0,0,0,0,0,0,0.0435360809042183,0,0,0,0,0,0.0750350724292779,0,-0.00744397237430524,-0.0124878865778056,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0806642106946111,0,0.0385117735672696,0,0,0,0.0483633195601487,0,0.190385185648457,0,0,0,0,0,0,0,0,0,0,0.0238516366161687,0,0,0,0,0,0,0,0,0,0,0,0,0,0.108916287724988,0,-0.00797139761905522,0.0117466246595683,0,0,0,0,0,0
