,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600809.SH,X600276.SH,X002475.SZ,X600690.SH,X000651.SZ,X002304.SZ,X600104.SH,X300124.SZ,X000625.SZ,X003816.SZ,X000725.SZ,X000596.SZ,X002371.SZ,X600031.SH,X000063.SZ,X000338.SZ,X300014.SZ,X002179.SZ,X002129.SZ,X000100.SZ,X600703.SH,X600089.SH,X002236.SZ,X600372.SH,X002049.SZ,X000661.SZ,X002241.SZ,X000157.SZ,X600741.SH,X600584.SH,X600522.SH,X601877.SH,X000800.SZ,X600418.SH,X000977.SZ,X002074.SZ,X601799.SH,X002007.SZ,X600183.SH,X600702.SH,X002028.SZ,X002463.SZ,X300142.SZ,X002180.SZ,X000066.SZ,X000733.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0.232438715487412,0,0,0,0,0,0,0,0,0.0762556950050626,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0448267732034007,0,0,0,0,0.0834315549168888,0.0843686757993048,0,0,0,0,0,0,1.0842021724855e-19,0,0,0,0,0,0,0
X000858.SZ,0.128884108553496,0,0,0.026691461046982,0,0,0,0,0,0,0,0,0.153001132703363,0,0,0,0,0,-0.0544255688164702,0,0,0,0,0,0,0,-0.00790960275213652,0,0,0,0,0,0,0,0,0,0,0,0.0761342871666538,0,0,0,0,0.238366704822067,0.0770938873857434,0,0,0,0,0,0,-0.00412388090706985,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0893652054128976,0,0,0,0,0,0.104250829943178,0,0,0,0.131236527241636,0,0.00194104537852377,0,0,0,0,0,0,0,0,0.063681061488192,0.0745414413569553,0,0,0,0.0169360451534766,0,0,0,0,0,0,0,0,-0.00870090687848333,0,0,0,0,0,0,0
X000568.SZ,6.93889390390723e-18,0,0,0,0.316627324565668,0.039959147196557,0.0426272051586319,0,0,0,0,0,0,0,0,0.28520239623631,0,0,0.00571584634297636,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.051100923319059,0,0,0,0,0,0,0,0.0082835935583752,0.0124314401033929,0,0,0,0,0,0
X600809.SH,0.150718986071833,0,0,0.461102248655682,0,0,0.0918853941283965,0,0,0.00113884784778711,0,0.0724019529752989,0,0,0,0,0,0,0,0,0,2.16840434497101e-19,0,0,0,0,0.0945810814093376,0,0,0,0.112978544918812,0,0,0,-0.0107827873001959,0,0,0,0,-0.022526784594762,0,0,-0.0910142536220563,0.0861195111155043,0,0,0,-0.202905222915322,0,0,0,0.0212465081493899,-0.0420474110359871,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.0824422487477391,0,0,0,0,0,8.67361737988404e-19,0,0,0,-0.260501086938904,0,0.0868664534337778,0,0,0,0.083283593476586,0,0,0,-0.173236958867709,0,0,0.382293502013844,0,0,0,0,0,0,0,0,-0.037968189688385,0,0,0,0,0,0,-0.0445581362579277,-3.46944695195361e-18,0,0.0778148320690679,0,0,-0.0206722823260225,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0.123772416143584,0,0,0,0,0,0.0868045521454602,0,0,0,0,0,0,0,0.0143739427618465,0,0,0,0,0,0,0,0,0,0.112047571353732,0,0,0.099292335877661,0,0,0,0,0,0.199752060541619,0,0,0,0,0,-0.0421061465874895,0.0382235028741592,0,0,0,0,0,0
X600690.SH,0.117070729088443,0.01433137356119,0,0.0606577593714806,0,-0.0105167929304402,0,0,0,0.0833475256583242,0,0,0,0,0,0,0,0.212531291799889,0,0,0.010310539186633,0,0,0,0,0,0.025871122464968,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.015088211312142,0,0,0,0,0,-0.0160926071757351,0.0220604412121073,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.172378001358559,0,0,0,0,0,0.062136556341432,0,0,0,0,0.0605011881056915,0,0,0,0,0.0334603435171526,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0500991471434459,0,0,0,0,0,-0.0142504309382642,0,0,0,0,0,0
X002304.SZ,0,0.296605092361798,0,0.171799588079084,0,0,0,0,0,0,0,0,0.08546890605442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00382089127978088,0,0,0,0,0,0,0,0,0,0,0.0610246789628618,0,0,0,0,0,0,-0.0335847163154637,0.0230083655576211,-0.0526400286278677,0,0,0,0,0,0
