,X600519.SH,X000858.SZ,X002415.SZ,X000568.SZ,X600276.SH,X600809.SH,X600690.SH,X002304.SZ,X000651.SZ,X002475.SZ,X002371.SZ,X600104.SH,X003816.SZ,X300124.SZ,X000063.SZ,X000596.SZ,X000725.SZ,X600031.SH,X300014.SZ,X002129.SZ,X000625.SZ,X000338.SZ,X002179.SZ,X600089.SH,X600703.SH,X002049.SZ,X002236.SZ,X600372.SH,X000661.SZ,X000100.SZ,X000977.SZ,X002241.SZ,X601877.SH,X600702.SH,X000157.SZ,X002180.SZ,X600741.SH,X300142.SZ,X600522.SH,X002074.SZ,X600584.SH,X600460.SH,X000733.SZ,X300003.SZ,X002007.SZ,X002294.SZ,X300146.SZ,X000800.SZ,X002463.SZ,X600487.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.20290101681055,0,0.071462179140703,0,0.08953072090254,0,0,0,0,0.00922416792421637,0,0,0,0,0.0646594951022546,0,0,0.0776915359711404,4.33680868994202e-19,0.0226850510974793,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.01559417075882,0,0,0,0,-0.0115572940703205,0.00929716440622658,0,0,0,0,0,0
X000858.SZ,0,0,0,0.125022787971853,0,0.0150297517833747,0,0.126248883149806,0,0,0,0,0,0,0,0.116065748567193,0,0,0,0,0,0,0,0,0,0,0.0328492844575289,0,0,0,-0.00787654771429798,0,0,0.00334836137817711,0,0,0,0,0,0,0,0,0,0,0,0,0.0277270681049058,0,0,0,0,-0.0426700909452629,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0,-0.050480892326823,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.149136227612145,0,0,0,0,0.00955281614323155,0,0,0,0.2865208668235,0,0,0,0,0,0,0,0,0,0,0,0.256231116876602,0,0.0597758805507746,0,0.055902518885989,-0.0224258253303219,0,0,0,0,0,0
X000568.SZ,0,0.354620567120805,0,0,0,0,0,0,0.00284766463878857,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.066867984362084,0,0,0,-0.00529567397372773,0,0,0.177656222534426,0,0,0,0,0,0,-0.0581944084790114,0,0,0,0,0,0,0,0,0,0,0,-0.0606649517217626,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.18361961603311,0,0,0,0.0615599200982344,0,-0.0453631777560524,0.00106200450415632,0,0.0224261240147633,0,0.00495737800179437,0,-0.0893000530107897,0,0.0301682779910931,0,0,0.139516366820347,0,0,0,0.0429494623638816,0,0,0,0.131820148637981,0,0.0779177988719222,0,0,0,0,0,0,0.0355198906961313,0,0,0,0,0,0
X600809.SH,0,0.428034403916043,0,0,0,0,0,0.239079306498732,0.142210533570476,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0400057961860001,0,0,0,0,0,0,0,0,0,0,0,0,0.0648193902497631,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0295649162738344,0,0,0,0,0,0
X600690.SH,0,0,0,0,0,0,0,0,0,0.0150925242194955,0,0,0,0.168657764732795,0,0,0,0.257982586919111,0,0,0.0952605722004888,0.0182865731437832,0,0,0,0,-0.10432663543612,0.000869572751659552,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.088735935985363,0,0,0.110275863835471,0.00291309944519718,4.33680868994202e-19,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0.313418765831697,0.0830770496062195,0,0,0,0,0,0,0,-0.0496470332452577,0,0,0,0,0,0,0,0,0,0,0,-0.0522189049403536,0,0.0130480891678044,0,0,0,0,0.104782496769372,0,0,0,0,0,0,0,0,0,0,0,-0.0481364000097549,0,0,0.0324635753851897,0,0,-0.0199080110784216,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0.0885538064361262,0,0,0,0.0384859654500925,0.160053647001646,0,0,0,0,0,0,0,0,0,-0.0277627268853057,0,0,0,0.052705775602819,0,0,0,0,0.0123162927045045,-0.100066348508153,0,0.0239107912181487,0,0,0,0,0.015616090330342,0,0,0,0,0,0,0,0,0,0.0645430169298523,0,0,0,-0.0452276630712367,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.162562025370451,0,0,0,0,0,0,0.0562250970901989,0,0,0,0.0538668477727995,0.0124067732841126,0,0,0,0,0,0,0,0,0,0.151948844033539,0,0,0,0,-0.133245364604005,0,0.0412110376209057,0.101025699460871,0,0,0.0170148832388287,0,0,0,0,0,0
