,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X600741.SH,X000568.SZ,X000625.SZ,X002236.SZ,X002475.SZ,X600031.SH,X002241.SZ,X000338.SZ,X600066.SH,X002456.SZ,X000100.SZ,X002508.SZ,X300124.SZ,X601877.SH,X300136.SZ,X300003.SZ,X600089.SH,X600177.SH,X600271.SH,X002008.SZ,X002294.SZ,X002085.SZ,X600522.SH,X000157.SZ,X002007.SZ,X600118.SH,X600487.SH,X600867.SH,X000981.SZ,X600809.SH,X600699.SH,X600566.SH,X600372.SH,X002074.SZ,X000559.SZ,X300115.SZ,X000623.SZ,X000596.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0,0,0,0,0,0,0.0530945734091981,0,0.00919305080698169,0,0,0,0,0,0,0,0,0,0,0,0,0.0998641274625051,0,0.0721228943621442,0,0,0,0,0.119335241864612,-0.132480901529631,0,0,0,0.066985145012973,0,0,0.243153655513694,0,0,0,-0.0391699736536958,0,0,0,0.19699024109246,0,0.0168861420646877,-0.0145908125461797,0,0,0,0,0,0
X600104.SH,0,0,0,0.195887219510496,0,0,0,0.0085546843648496,0,0.141400448518807,0,0.338237965485367,0,0.101753840528241,0,0,0,0,0,0,0,0,0,0,0,-0.12343157364028,0,0,0,-0.132373376795448,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0291925544923642,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0815567503099475,0.0530264115880343,0,0,0,0,0,0,0.0743474735406369,0,0.416238584401835,0.074987325994696,0,0,0,0,0,0,0.238371508177542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.193199732954221,0,0,0,-0.0847006445450578,0,-0.0153139701973518,0,0,-0.00107580769843227,0,0,0,0,0,0,0
X000651.SZ,0,0.0536028365125166,0,0,0.108341065539838,0,0,0,0,0.0837351868951281,0,0,0.0869896484526354,0,0.131577469949007,0,0,0,0,0.132226671167264,0,0,0.0596911917757523,0.0217230703085633,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00622309075098599,0,0,0,0,0,0,0
X000858.SZ,0,0,0,0.029402666865192,0,0.002103739114429,0,0,0,0,0,0,0.618009584553328,0,0.0669566379452532,0,0,0,0,0,0,0,0,0,0.0757003579410821,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0848449630495111,0,0,0,0,0,0,0,0,0,0.000795047247056929,0,0,0,0,0,0,0
X000725.SZ,3.46944695195361e-18,0,0.209005024267056,0,0,0,0,0,0,0,0,0,0.181910916515883,0,-0.0162935648219679,-0.205958976927306,0,0,0.211872906491695,-0.0672606592454576,0,0,0,0,0,0,0,0.104372985451548,0,0.443753815905694,0,0,0.22576704890371,0,0,0,0,0.114618927832157,0.159114038764037,0,0,0,0,0.0664254676639649,0,0,0,0,0,0,-0.0152085074283672,0.0617813344124615,0,0,0,0,0,0
X600276.SH,0,0.0749744048817911,0.118678660055149,0,0.093630484293259,0,0,0,0,0,0,0.195831459744794,0,0,0,0,-0.279048634586463,0,-0.0820917577330943,0,0,0,0,0,0,0,0,0,0,-0.00313326496689045,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0306738437697868,0,-0.0846986416416342,-0.00925477026741693,0,0.00262585016457077,0,0.00814758310511306,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.372448962965834,0,0,0,0,0.252827849898928,0,0,0,0,0,0,0.0302083869654879,0,0.0438356295978964,0,0,0,0,0,0.0421848715215871,0,0,0,0,0,0.0233558556103842,0,0,0,0,0,0,0.107749313198705,0,0,0.0635427326307592,0,0,0,0,0,-0.193947694146122,0,0.196630934307726,0,0,0,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0,0.0182072877137837,0,-0.00359592065577151,0,-0.0133718375290796,0.12083853558022,0,0,0,6.93889390390723e-18,0,0,0,0,0,0.147317118353574,0,0,0.239395692134823,0,0,0,0,0,0,0.0169511727457625,0,0,0,0,0,0,0,0,0,0,0.144768741355279,0,3.46944695195361e-18,0,0,0.0720944589185427,0,0,0,-0.00560645985588195,-0.0127057321017283,0,0,0,0,0,0
X600690.SH,0,0.29740139844518,0,0.0713694993192534,0,0,0,0.0427329613580539,0,0,0,0.276083145762691,0,0,0.17791860699532,0,0,0,0,0,0,0,0,0,0,0,-0.159715177342075,0,0,0,0,0,0,0.00748058032750003,0,0,0,0,0,0,0,0,0,0,0,0,-2.16840434497101e-19,0,0,0,0.0195668758148126,0.00119371937313846,0,0,0,0,0,0
