,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X000568.SZ,X600276.SH,X002475.SZ,X600690.SH,X002304.SZ,X600104.SH,X000651.SZ,X000725.SZ,X300014.SZ,X300124.SZ,X600031.SH,X002371.SZ,X002129.SZ,X003816.SZ,X002049.SZ,X002241.SZ,X000338.SZ,X000063.SZ,X600703.SH,X000596.SZ,X002179.SZ,X300142.SZ,X000625.SZ,X601877.SH,X600089.SH,X000100.SZ,X600460.SH,X000661.SZ,X600741.SH,X002180.SZ,X600884.SH,X000733.SZ,X600522.SH,X000157.SZ,X002074.SZ,X600702.SH,X002236.SZ,X000799.SZ,X600563.SH,X600584.SH,X002008.SZ,X600779.SH,X000800.SZ,X002414.SZ,X000977.SZ,X600183.SH,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.343460434977981,0,0,0,0,0,0.153072139125872,0.100959132647102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.116201074798367,0,0,0,0,0,0,0,-0.0472998603634515,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0163299030706572,0,0,0,-0.0160243201137705,0,0,0,-0.0191436758666612,0,0
X000858.SZ,0,0,0,0,0.19638146624194,0,0,0.188078728314921,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0185701957712042,0,0.0482962425611826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.104432852170044,0.0642909561585382,0,0,0,0,0,0,0,0,0,0,0,-0.00799109322284706,0.0126644842550604,0,0,0,0,0,0
X002415.SZ,0,0,0,0.0370119313352983,0,0,0.00334626424437644,0,0.110713327644255,0,0,0,0.119402934822419,0.0182571782334966,0,0,0,0,0,0,0,0,0,0,0,-0.0325540219562326,0,0,0,0,0,0,0,0.0456438966051326,0,0,0,0,0,0.0347809088451273,0,0,0,0,0,0,0,0,0.227704667495731,0,0,0,0.000993946056477904,0,0,0,-2.71050543121376e-20,0,0
X600809.SH,0,0,0,0,0.594993174775634,0,0,0,0,0,0,0,0,0,0,0.0216198087724625,0,0,0,0,0,0,0,0,0,0,0,0.0541698171535211,-0.0467163036814513,0,0,0,0,0,0,0,0,0,0,0.0294106422933998,0,0.154950139817017,0,0,0,0,0,-0.0210501235700343,0,0,0,0,-0.00695811716008926,0,0,0,0,0,0
X000568.SZ,0.174876517948766,0.213530392700188,0,0.0769867666735859,0,0,0,0,0,0,0,0,0,0,0,0.038367627218243,0,0,0,0,0,0,0,0.169763789550674,0,0,0,0,0,0,0,0,0,0.103653515169833,0,0,0,0,0,-6.93889390390723e-18,0,0,0,0,0,0,0,0,0,0,0,0,0.0484975522242933,0,0,0,0,0,0
X600276.SH,0,0,0,-0.0238896015201238,0,0,0,0.205073595802057,0,0,0,0,0,0,0,0,0,0,0,0.0632747286943837,0.0526865297982651,0.210348331292851,0,0,0,0.0498159805168995,0,0,0,0,0,0.123657162411303,0,0,0,0,0.0175969811626331,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0125074100355448,-0.034646567722038,0,0,0,-0.0196038295552499,0,0
X002475.SZ,0.0491741034397902,0,0,0,0.150680888550549,0,0,0,0,0,0,0,0,0,0,0.1777947597991,0,-0.181881367847545,0,0.443048164659788,0,0,0,0,0,0,0,0,0,0,0,-0.041127258765713,0,0,0,0,0,-0.039983183712635,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00296072324555636,-0.033324878805776,0,0,0,0,0,0
X600690.SH,0,0.225862299375139,0,0,0,0.0587653989204998,0,0,0,0,0,0,0,0,0.0260481222215246,0,0,0,0,0,0,0,0,0.209714007496414,0,0,0,0,0,0,0,0,0,0,0,0,0.0508393898830863,0,0,0,0,0,0,0,0.172024213474487,0,0,0,0,0,0,-0.00835870582264486,-0.0131701754094465,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0.077031298550927,0,0,0,0,0,0,0,0,2.71050543121376e-20,0,0,0,0,0,0,0.0642799978453128,6.93889390390723e-18,0,0.28989812651292,0,0,0,0,0,0,0,0,0.0172670421878217,0,0,0,0,0,0,0,0,0,0,0,0,0.207241648337678,0,0,0,0,0,0,0.00201184766529358,0,0,0,0.0218523311467945,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0.0295133349794691,0.111447530234798,0,0,0.0156162510061332,0,0,0.159501722418112,0,0,0,0.0436092461610218,0,0,0,0,0.180530120589254,0,0,0,0,0,0,0,0,0,0,-1.0842021724855e-19,0,0,0,0,0,0,0,0,0,0,0.00232608391338848,0,0,0,0.00132165609735045,0,0,0,0.00653881577776347,0,0
