,X600519.SH,X000858.SZ,X600276.SH,X002475.SZ,X002415.SZ,X000651.SZ,X600104.SH,X002304.SZ,X000661.SZ,X000063.SZ,X600031.SH,X000568.SZ,X000725.SZ,X003816.SZ,X600690.SH,X600809.SH,X002241.SZ,X600703.SH,X000338.SZ,X300142.SZ,X000596.SZ,X002371.SZ,X002007.SZ,X300014.SZ,X300124.SZ,X000100.SZ,X002049.SZ,X600741.SH,X600584.SH,X002236.SZ,X002129.SZ,X300003.SZ,X601877.SH,X000157.SZ,X600183.SH,X000800.SZ,X002414.SZ,X300136.SZ,X000066.SZ,X000625.SZ,X000977.SZ,X002456.SZ,X002179.SZ,X002185.SZ,X601799.SH,X600118.SH,X002008.SZ,X002180.SZ,X002463.SZ,X002508.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.19050211721177,0,0,0,0,0,0,0,0,0,0.0812926283991179,0,0,0,0,0.0543405809610638,0,0,0,0.0831704876912051,0,0,0,0,0,0.0293196213939367,0,0.0283871120360503,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.000508129162171,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0,0,0,0.17281701742811,0,0,0,0.176464793373669,0,0,0,0.204627423292293,0.115034069415812,0,0,0,0.0843118859652624,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00623206162613786,0.00202745677954092,0,0,0,0,0,0
X600276.SH,0,0.051797477302299,0,0,0,0,0,0,0.20915066228993,0,0,0,0,0,0,0,0.0431905787865137,0.0346167363515166,0,0,0.004464289513267,0,0,0,0,0,0.045098891589225,0,0,0,0.0458826780603874,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00025160932089629,0,0,0,0,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342097242400395,0,0,0,0,0,0.0432347840191956,0,0,0,0.0138927114451105,0,0.0771528125570382,0,0.0499353953909615,0,0,0,0,0,0,0,0.0278351165659648,0,0,0.0279587696011127,0,0.0523648111798254,0,0,0,0,0,0,0,-0.00290411860833832,-0.0293699243725089,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0,0,0,0,0,0.129941844739772,0,0,0,0,0,0,0.0194230079622249,0,0,0,0,0,0,0,0,0,0.0921698779580289,0,0,0.209237694997562,0,0,0,0,0,0,0,0,0.0324893572386793,0,0,0,0,0,0,0,0.0683833161510445,0,0,0,0,-0.00482184204374695,-0.0116823787073527,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.240377648076056,0,0.0779459214446805,0,0,0,0,0,0,0,0,0.0026423748399483,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0914576608484634,0,0,0,0,0.00818054777140008,0,0,0,0,0.00677851300677504,-0.0133359350291174,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00124212458339798,0,0,0,0,0,0,0,0,-0.108361517520984,0,0,0,0,0,0.0297795291036939,0.00275151565600998,0,0.035875766945406,0,0.130143746783136,8.67361737988404e-19,0,0,0.172724534623074,0.116937875079066,0,0,0,0.0100211439001151,0,0,0.0141008290854239,0,0,0,0,-0.0138990731675052,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0,0,0,0,0,0,0,0,0.445086291214714,0,0,0,0,0,0,0,0,0.0409352093578828,0.0116838818314288,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0030167523664897,0,0,0,0,0,0
X000661.SZ,0,0,0.118225367386011,0.256792821329313,0,0,0,0,0,0,0,0,-0.142384152362422,0,0.197168466394339,0,0.0684912555557817,0,-0.0756038756353892,0,0,0.0836958711715972,0.0768647627350524,0,0,0,0,0,-0.0987559108903095,0,0,0.0957822228114926,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0109183907182337,-0.0265754615919701,0,0,0,0,0,0
X000063.SZ,0,0,0,0,0.0202747478653109,0,0,0,0,0,0.0283011666182636,0,0.100261337441986,0,0.140639078386744,0,0,0,0,0,0,0,0,0,0,0,0.0131876011786164,0,0,0.120991806952453,0,0,0,0,0.120838764243833,0,0,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0.0566649899607475,0.180876441459301,0,0,0,0.00973891226611596,0.00942798214156314,0,0,0,0,0,0
