,X600519.SH,X000858.SZ,X002415.SZ,X600809.SH,X600276.SH,X000568.SZ,X002304.SZ,X002475.SZ,X000651.SZ,X600690.SH,X600104.SH,X000725.SZ,X600031.SH,X300014.SZ,X300124.SZ,X000338.SZ,X002371.SZ,X002129.SZ,X002241.SZ,X600703.SH,X000625.SZ,X000063.SZ,X300142.SZ,X002049.SZ,X003816.SZ,X601877.SH,X000596.SZ,X002179.SZ,X000661.SZ,X000100.SZ,X600089.SH,X600460.SH,X002074.SZ,X600741.SH,X000799.SZ,X002236.SZ,X600702.SH,X000157.SZ,X002414.SZ,X600584.SH,X600779.SH,X000733.SZ,X600183.SH,X601799.SH,X600884.SH,X002007.SZ,X000800.SZ,X002008.SZ,X300003.SZ,X000977.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.199862801081707,0,0.0372353346979488,0,0.0881292804420621,0.0322398280265757,0,0,0,0,0,0,0,0.0318946033305624,0,0,0.12039137307542,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.069219768097855,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0112837849826977,0,0,0,0,0,0
X000858.SZ,0,0,0,0,0.09535443729969,0.288586404450004,0,0,0,0,0,0,0.0525699059024298,0,0,0,0,0.00254595529306005,0,0,0,0,0,0,0,0,0,0,0.108346335265811,0,0,0,0.023634660998673,0,0.0514280152007694,0,3.46944695195361e-18,0,0,0,0.183550307823841,0,0,0,0,0,0,0,0,0,0,0.00542520384925042,0,0,0,0,0,0,0
X002415.SZ,0,0.116862917039457,0,0,0,0,0,0,0,0,0,0,0,0.0542625580470366,0.014416881936578,0,0,0.0632992973102873,0,0.155037187771999,0,0,0.0414565672978755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00153488644425268,0,0,1.0842021724855e-19,0.119767459944359,0.0291482020186381,0,0,0,0,0,0.00310122033927723,0,0,0,0,0,0,0
X600809.SH,0,0,0,0,0,0.0650210362046628,0.225918324713158,0,0,0,0,0,0,-0.00329352974292601,0,0,-0.048072247298851,-0.0155904725739075,0,0,-0.0265396162752863,0,0,0,0,0,0,0,0,0,0,0,0,0,0.371163571610901,0,0.180358083086079,0,0,-0.0342108733970017,0.0881977704515967,0,0,0,0,0,0,0,0,0,0,-0.0601610245746221,0.0745557375863036,0,0,0,0,0,0
X600276.SH,0,0.182124375454148,0,0,0,0,0,0,0,0,0,0,0,0,0.0765588552641043,0,0,0.0483176429717325,0,0,0,0,0,-0.0355299251788897,0,0,0,0,0.151616766011918,0,0,0,0,0,0.220636986894242,0,0,0,0,0,0,0,-0.0280005263331907,0,0.160294497841275,0,0,0,0,0,0,0.0130149251595578,0,0,0,0,0,0,0
X000568.SZ,0,0.301108952850556,0,0.174176448694073,0,0,0.0605911988066353,0,0,0,-0.0630771641073348,0,0,0,0,0,-0.0539552535364732,0,0,0,0,0,0,0,0,0,0.15344672746492,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0486084428903247,0,0,0,0,0,0,0,0,0,0,-0.0285225354251937,0,0,0,0,0,0,0
X002304.SZ,0,0,0,0.222065400877287,0,0.382157278213857,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0388514633688275,0,0.089932384063776,0,0,0,0.0904110560216476,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.10598485658718,0,0,0,0,0,-0.0618994523921453,0,0,0,0,0,0,0
X002475.SZ,0,0,0,0.0902860042314956,0,0,0,0,0,0,0,0,0,0,0,0,0.0906317000372984,0,0.227077282512677,0,0.063473209070621,0,0,0.164918327686454,0,-0.123223140717949,-0.0168446166791692,0,0,0,-0.201135121398576,0.131107190740108,0,0,0,0,0,0,0,0,0,0,0,0.104364931430751,0,0.0242349213713961,0,0,0,0,0,0.0183898423667922,0,0,0,0,0,0,0
X000651.SZ,0,0,0,0,0.0292083291913508,0,0,0,0,0,0,0,0,0,0,0.0377384672538872,0,0,0,0,0,0.141181194054265,0,0,0,0,-0.0208033438352054,0,0,0,0,-0.053754450738681,0,0.0969130847691663,0,0,0,0,0,0,0.0516086725601185,0,0,-0.0680391809808326,0,0,0,0,0,0,0,0,0.0603963355897127,0,0,0,0,0,0
X600690.SH,0,0.0438484181670439,0.0485940583601384,0,0.0440264792329274,0,0.112477422927479,0,0,0,0,0,0,0.067672073592967,0,0,0,-0.0468800823896011,0,0,0,0,0,0,0,0,0,0,0.206380280788341,0,0,1.73472347597681e-18,0,0,0,0,0.0354115413662201,0.165331042916446,0,-0.0508745800152219,0,0,0,0,0,0,0,-0.0210742621489038,0,0,0,-0.00826144649518483,0,0,0,0,0,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.111213700404204,0,0.0800367064534742,0,0,0,0,0.0937404792213556,0,0,0,0,0,0.102397835385052,0.0882622877523772,0,0,0,0,0,0,-0.110853749850957,0,0,0.0455191194576903,0,0,0,0,0,0,-0.0160246137401032,-0.00293855941674169,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.329888851527875,0,0,0,0.027866360732203,0,0,0,0,0,0,0,0,0,0,0,0,0.114528566082815,0,0,0,0,0,-0.0332231789251722,0,0,0,0,0,0
X600031.SH,0,0.175451077336603,0,0,0,0,0,0,0,0,0,0,0,-1.73472347597681e-18,0.102278736265142,0,0,0,0,0.0407082306211963,0,0,0,0,0,0,0,0,0,0,0,0,0.0559305356515924,0,0,0,0.0106914205626049,0.20404950404618,0,0,0,0,0,0.0969920270956782,0,0,0,0,0,0,0,-4.33680868994202e-19,0.0898209007078478,0,0,0,0.0139476741086767,0,0
X300014.SZ,0,0,0.201515396502809,0,0,0,0,0,0,0,0,0,0,0,0.0401457993560095,0,0,0.317430840891541,0,0.0595666687710427,0.225447337958644,0,0,0,0,0,0,0,0,0,0.137965259556984,0,0.214066102612507,0,0,0,-0.00116478335449053,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X300124.SZ,0,0,0,0,0.041123616904082,0,0,0,0,0,0,0,0,0.100531564315562,0,0,0.0240888697270481,0.102930536889342,0,0.213387792012758,0,0,0,0.0960438695829074,0,0.0793843812120498,0,0,0.251811735410962,0,-0.0958433660704976,0,0,0,0,0,0,0,0,0,0,0.0189878677168117,0,0,-0.0084074774475625,0,0,0,0,0,0,0,-0.0536853995637151,0,0,0,0,0,0
X000338.SZ,0,0,0,0,0,0,0.0403087737669608,0,0,0,0,0,0.330571331410326,0,0,0,0,0,0,0,0,0,0.0970184496698693,0,0,0.0213815940299227,0,0,0,0.131551471012241,0,0.129173867891087,0,0,0.0495137105600415,0,0.0257961453366555,0,0,0,0,0,0,0,-0.0857216579340399,0,0,0,0,0,0,0.0238549575747176,0,0,0,0,0,0,0
