,X600519.SH,X000858.SZ,X002475.SZ,X600276.SH,X002415.SZ,X600690.SH,X000651.SZ,X600809.SH,X600104.SH,X002371.SZ,X003816.SZ,X000568.SZ,X000063.SZ,X000725.SZ,X300124.SZ,X600031.SH,X000625.SZ,X002304.SZ,X000338.SZ,X000100.SZ,X000596.SZ,X300014.SZ,X002241.SZ,X002179.SZ,X600418.SH,X002463.SZ,X000977.SZ,X600584.SH,X600089.SH,X000157.SZ,X600066.SH,X600703.SH,X600372.SH,X600183.SH,X002028.SZ,X600741.SH,X002049.SZ,X002236.SZ,X601877.SH,X600522.SH,X000921.SZ,X000066.SZ,X600839.SH,X600487.SH,X600460.SH,X000988.SZ,X002156.SZ,X600177.SH,X000661.SZ,X000800.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0.184837470409587,0,0,0,0,0,0.0489093080337171,0,0,0,0,0,0,0,0,0,0.343008871385021,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00487757115388098,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.030211188852625,0,0
X000858.SZ,0,0,0,0,0,0,0,0,0.0356046378869607,0,0,0.124007272167664,0,0,0,0,0.0515194157838667,0,0,0,0.186932018030469,0.0115872506979832,0,0,0,0,0,0,0,0,0.0665464968665498,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00714679938720574,0,0,0,-0.0346563923024908,0,0
X002475.SZ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.270430404718047,0,0,0,0,0,0,0.0467706931203793,0.182282380269733,0,0,0,0.0314760597735377,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0444645585906482,0,0,0,0,0,0,0,0,-0.0431177196057221,0.0232423660340902,0,0,0,0,0,0
X600276.SH,0,0,0,0,0,0,0.053887861278448,0,0,0,0,0,0,0,0,0,0.0267220016077536,0.0410472776077116,0,0,0.234186790867999,0.0358614270108126,0,0,0,0,0,0,0,0,0.121532776284516,0,0,0,0,0,0,0,0,0,0,0.0704543446356604,0,0,0,0,0,0,0,0,0,0,0.00647353242204727,0,0,0,-0.0551219038177066,0,0
X002415.SZ,0,0,0,0,0,0,0,0.0608680987931648,0,0,0,0,0.0921190367531446,0,0.0234650778911887,0,0,0,0,0,0,0.167469091166562,0,0,0,0,0,0.0343711879733452,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00997458624519433,0,0,0.00811239429172056,0.00243056834644164,0.0543294990376444,0,0,0,0,0,0,0,0,0,-0.0675729583824352,0,0
X600690.SH,0,0,0.180123966716853,0,0,0,0,0.065999253444572,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0196639836515746,0,0,0,0,0,0,0.182929273073089,0,0.0352205291719382,0,0,0,-0.0172064583744533,0,0,0,0,0.0197166232912852,0,0,0,0,0.0133239189724454,0,0
X000651.SZ,0,0.16282906809736,0.142552158474305,0,0,0.082505295387056,0,0,0.00155291328802765,0,0,0,0,0,0,0,0,0,0,0,0,0.0509184439757123,0.0236237931930755,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.035420241247228,0,0,0,-0.0217351323355416,0,0,0,0,0,0,-0.0114324578929041,0.00455026322119786,0,0,0,0,0,0
X600809.SH,0,0.0996879866554355,0,0,0,0,0,0,0.00317108817383878,0,0,0.507142471921661,0,0,0,0,0,0,0,0,0.245013531812414,0.0185772858590066,0.00463143151750245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00197531252867283,0,0
X600104.SH,0,0,0,0,0,0,0,0,0,0,0,0,0.168041050654875,0,0,0,0.306947366283869,0,0,0,0,-2.77555756156289e-17,0,0,0.254382218648464,0,0,0,0,0,0,0,0,0,0,0.667322004049211,-0.189749771456069,0,0,0,-0.0398313920982711,-0.116299979389131,0.0832556908719428,0,0,0,0,0,0,0,0,0.0468308368020848,0,0,0,0,0,0,0
X002371.SZ,0,0,0,0,0,0,0,0,-0.0353146665660305,0,0,0,0,0,0.306218836274863,0,0,0,0,0,0,0,-0.0135821246095684,0,0,0,0.192473012015134,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0515179214970691,0.133562145417539,0,0,0,0,-0.00715021774743226,0,0,0,0,0,0,0
X003816.SZ,0,0,0,0,0,0,0,0,0.0240669351920998,0,0,0,0,0,0.0629187896041775,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0461733373893406,0,0,0,0,0,0,0,0,0,0,0.0766223399214798,0.0165485617310304,0,0,0,0,0,0,0,0,-0.0281368131917712,0,0,0,0,0,0,0
X000568.SZ,0,0.310809386100689,0,0,0,0,0,0.269773551534112,0,0,0,0,0,0,0,0,0,0.0786516728769622,0,0,0.203246609655226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0127172225534165,0,0,0,0,-1.73472347597681e-18,0,0,0,0,0,0,0,0,0,0.00886786493915995,-0.0106614480476847,0,0,0,-0.0242421735822727,0,0
X000063.SZ,0,0,0,0,0,0,0,0,0.124375815902832,0,0,0,0,0,0.110348175789806,0,0,0,0,0,0,0,0,0,0,0,0.164110464606663,0.158046567518608,0,0,0,0,0,0.0552567986118168,0,0,0.326207617322532,0.0425606872780882,0,0,0,0.103522991942171,-0.0334432954779834,0,-0.0932322656454008,0.0489843543046523,0,0,0,0,0,0,-0.0117397406493661,0,0,0,0,0,0
X000725.SZ,0,0,0,0,0,0,0,0,0.0161667207905713,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0.0846126411292798,0,0.225897242557227,0,0.146853768361817,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0452730322950575,0,0,0.0183649448523913,0,0,0,0,0,-0.0208064729188481,0,0,0,0,0,0,0
