,X600519.SH,X600104.SH,X002415.SZ,X000651.SZ,X000858.SZ,X000725.SZ,X600276.SH,X002304.SZ,X000063.SZ,X600690.SH,X600703.SH,X000568.SZ,X002236.SZ,X000625.SZ,X600741.SH,X002475.SZ,X600031.SH,X002241.SZ,X000338.SZ,X002456.SZ,X600066.SH,X300124.SZ,X601877.SH,X002508.SZ,X002008.SZ,X600177.SH,X300136.SZ,X600089.SH,X300003.SZ,X000157.SZ,X600271.SH,X002294.SZ,X002085.SZ,X600522.SH,X600487.SH,X600118.SH,X000050.SZ,X600809.SH,X300115.SZ,X000981.SZ,X600699.SH,X600566.SH,X002074.SZ,X600867.SH,X600372.SH,X002179.SZ,X000066.SZ,X000559.SZ,X000623.SZ,Change_TY3M,Slope,TED,RealEstate_excess,MKreturn,MKvol,CarbonVol_Shenzhen,CarbonVol_Guangdong,CarbonVol_Hubei
X600519.SH,0,0,0,0,0.215396896916919,0.0344721883742648,0,0.0843689537710983,0,0,0,0.204732539764863,0,0,0,0,0,0.0129027928866151,-0.0112246392154104,0,0,0,0,0,0,0,0,0,0.0380933769020373,0,0,0,0.0239875390056691,0,-0.00167597961228111,0,0,0.0503238505156338,0,0,0,0,-0.0446227299529946,0,0,0,0,0,0,0,0.00359000657409064,-0.00938373990953303,0,0,0,0,0,0
X600104.SH,0,0,0,0.229768752201713,0,0,0,0,0,0.078190333343381,0,0,0,0,0.3928341379633,0,0,0,0,0,0,0,0,0,0,0,-0.104393885836245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0427143888880264,0,0,0,-0.100419953536948,0,0,0,0.0313988242914982,0,0,0,0,0,0,0
X002415.SZ,0,0,0,0,0.0948541095778729,0.0794220245464427,0,0,0,0,0,0,0.230937402218817,0,0.151013536357237,0,0,0,0,0,0,0,0,0.123372960654081,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00701076870454851,0,0,0,0,0,0,0
X000651.SZ,0,0.155737317921631,0,0,0.127350787620753,0.108191941916065,0,0,0,0,0,0,0.0991298452579523,0,0,0,0,0,0,0,0,0.0210209296219966,0,0.0102615888389503,0,0,0,0,0,0,0,0,0,0,0,0,-0.0677178102799229,0,0,0,0,0.0841101048057501,0,0,0,0,0,0,0,0,-0.00227640778816963,-0.0162353522440559,0,0,0,0,0,0
X000858.SZ,0,0,0,0.0104733702546078,0,0,0,0,0,0,0,0.728270721866056,0.0752690690247537,0,0,0,0.0260398447734037,0,0,0,0,0,0.0297472220424322,0,-0.022431422793702,0,0,0,0.0599838992723885,0,0,0,0.00153523128793223,0,0,0,0,0.111796009863236,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
X000725.SZ,0,0,0.071907650136058,0,0,0,0,0,0.132037225393142,0,0,0,0,0,0,0,0,0,0.130556616828359,0,0,0,0,0,0,0,0,0.0576508310598907,0,0,0.292849511389501,0.168159737601532,0,0,0,0,0.129287502554172,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00148084902790744,0.0017167369980076,0,0,0,0,0,0
X600276.SH,0,0,0.0528672880482922,0,0.0285412809883754,0,0,0.00104632772355191,0,0,0,0,0,0,0.0639736769413438,0,-0.0704065162419056,-0.0332222360747119,0,0,0,0,0,0,0,0,0,0,0.240532218191995,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0654375067913561,0,-0.0425427369945324,0,0,0,0.0183882098569758,-0.0293524418232999,0,0,0,0,0,0
X002304.SZ,0,0.0819489897883174,0,0,0.306832186131141,-0.0359459459369536,0,0,0,0,0,0,0,0,0.100818341083556,0,0,0,0,-0.0426879243527924,0,0,0.228998367404816,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.00958667571455349,0,0,0,0,0,0,0,0,0,0,0,0.0247782128964073,-0.0250301873306768,0,0,0,0,0,0
X000063.SZ,0,0,0.0286847961674145,0,0,0,0,0,0,0,0.156576504523042,0.00824086813450436,0.123671437216973,0,0.0551761998016954,0,0,0,0,0,0,-3.46944695195361e-18,0,0,0.18306809459835,0,0,0,0,0,0,0,0,0,3.46944695195361e-18,0,0,0,0,0,0,0,0,0,0.161761908703248,0,0,0,0,0,-0.0313907317164199,0.0752665859089974,0,0,0,-0.0516856551236324,0,0
X600690.SH,0,-1.73472347597681e-18,0,0.262937447648999,0,0,0.0701452147850633,0.0441491753029093,0,0,0,0,0.109446868487833,0.100590779475735,0.255323231756759,0,0,0,0,0,0,-0.085004049488212,0,0,0,0,-0.0942478102153139,0,0,0,0,0.201129523596753,0.0348183952951543,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.133796324452544,0,0,0,0.034081135858644,-0.0326698947847153,0,0,0,0,0,0
X600703.SH,0,0,0,0,0.108239744902776,6.93889390390723e-18,0,0,0.0314157650316534,0.0682742268672254,0,6.93889390390723e-18,0.0723009183497692,0,0,0,0,0.442530649496765,0,0,0,0.0311419648804204,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.0570929869108536,0,0,0,0.0214902161929379,8.67361737988404e-19,0,0,0,0,0,0
X000568.SZ,0,0,0,0,0.620296473488868,0.0364479505625894,0,0,0,-0.00908528096012634,0,0,0,0,0,0,0,0,0,0.053523473628988,0,0,0,0,0,0,0.0140687838273464,0,0,0,0,0,0,0.0696884236268841,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0103362264396257,-0.0377085552580816,0,0,0,0,0,0
X002236.SZ,0,0,0.320255153647575,0,0,0,0,0,0,0,0,0,0,0,0,0.29730497050472,0,0,0,0,0,0,0,0,0.0651424014076412,0,0,0,0,0,0,0,0,0,0,0,0,0,0.239252294950594,0,0,0,0.0143308348870761,0,0,0,0,0,0,0,0.00397628579277934,0,0,0,0,0,0,0
